/usr/local/lib/python3.12/dist-packages/torch/autograd/__init__.py:16: FutureWarning: `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.
  from torch import _vmap_internals
[run] fp32_muon_snapshot_s0 | reference_muon | cuda:0 | fp32 | 4096 updates | schedule horizon 4096 | 33554432 tokens
[eval] step 0 | val NLL 10.8634 | ppl 52230.97 | 65536 tokens
[train] 54/4096 | 442368 tok | loss 7.7832 | lr 9.998e-04 | 597.1 ms/update | 13720 tok/s
[train] 55/4096 | 450560 tok | loss 7.7472 | lr 9.998e-04 | 599.0 ms/update | 13675 tok/s
[train] 56/4096 | 458752 tok | loss 7.3615 | lr 9.998e-04 | 596.0 ms/update | 13744 tok/s
[train] 57/4096 | 466944 tok | loss 7.6360 | lr 9.998e-04 | 602.7 ms/update | 13591 tok/s
[train] 58/4096 | 475136 tok | loss 7.2111 | lr 9.998e-04 | 599.6 ms/update | 13663 tok/s
[train] 59/4096 | 483328 tok | loss 7.2270 | lr 9.998e-04 | 597.5 ms/update | 13710 tok/s
[train] 60/4096 | 491520 tok | loss 7.7778 | lr 9.998e-04 | 602.2 ms/update | 13604 tok/s
[train] 61/4096 | 499712 tok | loss 7.2953 | lr 9.998e-04 | 601.7 ms/update | 13616 tok/s
[train] 62/4096 | 507904 tok | loss 7.6439 | lr 9.998e-04 | 604.9 ms/update | 13542 tok/s
[train] 63/4096 | 516096 tok | loss 7.4333 | lr 9.998e-04 | 607.0 ms/update | 13497 tok/s
[train] 64/4096 | 524288 tok | loss 7.5632 | lr 9.997e-04 | 603.9 ms/update | 13565 tok/s
[train] 65/4096 | 532480 tok | loss 7.3186 | lr 9.997e-04 | 605.9 ms/update | 13520 tok/s
[train] 66/4096 | 540672 tok | loss 7.2911 | lr 9.997e-04 | 607.0 ms/update | 13497 tok/s
[train] 67/4096 | 548864 tok | loss 7.3767 | lr 9.997e-04 | 606.4 ms/update | 13510 tok/s
[train] 68/4096 | 557056 tok | loss 7.4975 | lr 9.997e-04 | 603.6 ms/update | 13572 tok/s
[train] 69/4096 | 565248 tok | loss 7.3933 | lr 9.997e-04 | 605.6 ms/update | 13527 tok/s
[train] 70/4096 | 573440 tok | loss 7.3765 | lr 9.997e-04 | 604.7 ms/update | 13547 tok/s
[train] 71/4096 | 581632 tok | loss 7.1219 | lr 9.997e-04 | 609.3 ms/update | 13445 tok/s
[train] 72/4096 | 589824 tok | loss 7.5994 | lr 9.996e-04 | 607.1 ms/update | 13493 tok/s
[train] 73/4096 | 598016 tok | loss 7.0536 | lr 9.996e-04 | 611.0 ms/update | 13408 tok/s
[train] 74/4096 | 606208 tok | loss 7.2517 | lr 9.996e-04 | 613.8 ms/update | 13346 tok/s
[train] 75/4096 | 614400 tok | loss 6.9419 | lr 9.996e-04 | 614.1 ms/update | 13339 tok/s
[train] 76/4096 | 622592 tok | loss 7.3393 | lr 9.996e-04 | 613.3 ms/update | 13357 tok/s
[train] 77/4096 | 630784 tok | loss 7.4671 | lr 9.996e-04 | 617.3 ms/update | 13271 tok/s
[train] 78/4096 | 638976 tok | loss 7.1292 | lr 9.996e-04 | 613.0 ms/update | 13365 tok/s
[train] 79/4096 | 647168 tok | loss 7.0347 | lr 9.995e-04 | 618.3 ms/update | 13249 tok/s
[train] 80/4096 | 655360 tok | loss 7.3057 | lr 9.995e-04 | 612.0 ms/update | 13386 tok/s
[train] 81/4096 | 663552 tok | loss 7.1604 | lr 9.995e-04 | 614.3 ms/update | 13335 tok/s
[train] 82/4096 | 671744 tok | loss 6.9252 | lr 9.995e-04 | 615.2 ms/update | 13316 tok/s
[train] 83/4096 | 679936 tok | loss 7.4019 | lr 9.995e-04 | 619.3 ms/update | 13229 tok/s
