seed,update,parameter_id,parameter_name,shape,rank_label,rank,rank_kind,energy_target,factor_precision,configuration,numel,fp32_bits,direct_int4_metadata_bits,storage_idealized_bits,storage_metadata_bits,storage_ratio_vs_fp32,compression_ratio_vs_fp32,extra_storage_vs_int4,low_rank_energy_fraction,raw_relative_l2,raw_cosine,raw_norm_ratio,update_relative_l2,update_cosine,update_norm_ratio,exact_polar_relative_l2,exact_polar_cosine,exact_polar_norm_ratio
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",fixed_1,1,fixed,,fp32,fixed_1_fp32,442368,14155776,1776536,1818656,1825720,0.12897350169994212,7.753530661875863,0.027685338208738804,0.3495803475379944,0.1479140818119049,0.9890826940536499,1.0017207860946655,0.8020301461219788,0.6784338355064392,1.0001808404922485,0.762277364730835,0.7094684839248657,1.0000004768371582
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",fixed_1,1,fixed,,bf16,fixed_1_bf16,442368,14155776,1776536,1794064,1801128,0.1272362603081597,7.859394779271656,0.013842669104369402,0.3495803475379944,0.1479189395904541,0.9890833497047424,1.001800537109375,0.8020297884941101,0.6784349083900452,1.0001822710037231,0.7622772455215454,0.7094683051109314,1.0000008344650269
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",fixed_1,1,fixed,,fp16,fixed_1_fp16,442368,14155776,1776536,1794064,1801128,0.1272362603081597,7.859394779271656,0.013842669104369402,0.3495803475379944,0.14791536331176758,0.9890832304954529,1.0017659664154053,0.8020299077033997,0.6784345507621765,1.0001814365386963,0.7622774243354797,0.7094684839248657,1.0000003576278687
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",fixed_1,1,fixed,,bf16_uv_fp32_sigma,fixed_1_bf16_uv_fp32_sigma,442368,14155776,1776536,1794080,1801144,0.12723739058883102,7.859324962357257,0.013851675395263592,0.3495803475379944,0.14791876077651978,0.9890826344490051,1.0017462968826294,0.8020305633544922,0.6784340143203735,1.000181794166565,0.7622772455215454,0.7094681262969971,1.0000009536743164
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",fixed_1,1,fixed,,fp16_uv_fp32_sigma,fixed_1_fp16_uv_fp32_sigma,442368,14155776,1776536,1794080,1801144,0.12723739058883102,7.859324962357257,0.013851675395263592,0.3495803475379944,0.14791527390480042,0.9890825152397156,1.0017116069793701,0.8020302653312683,0.6784338355064392,1.0001804828643799,0.762277364730835,0.7094684839248657,1.0000003576278687
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",fixed_2,2,fixed,,fp32,fixed_2_fp32,442368,14155776,1776536,1867840,1874904,0.13244798448350695,7.550133766848862,0.05537067641747761,0.5091644525527954,0.12800754606723785,0.9918208718299866,1.0014108419418335,0.7600719928741455,0.7126919627189636,1.0053226947784424,0.7164865732192993,0.7433263659477234,1.0
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",fixed_2,2,fixed,,bf16,fixed_2_bf16,442368,14155776,1776536,1818656,1825720,0.12897350169994212,7.753530661875863,0.027685338208738804,0.5091644525527954,0.1280221790075302,0.9918152689933777,1.0009392499923706,0.7600814700126648,0.7126813530921936,1.0053104162216187,0.7164867520332336,0.7433261275291443,1.000000238418579
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",fixed_2,2,fixed,,fp16,fixed_2_fp16,442368,14155776,1776536,1818656,1825720,0.12897350169994212,7.753530661875863,0.027685338208738804,0.5091644525527954,0.12800844013690948,0.9918216466903687,1.0014747381210327,0.7600705623626709,0.7126926779747009,1.0053244829177856,0.7164866924285889,0.7433264255523682,0.9999998807907104
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",fixed_2,2,fixed,,bf16_uv_fp32_sigma,fixed_2_bf16_uv_fp32_sigma,442368,14155776,1776536,1818688,1825752,0.1289757622612847,7.753394765554138,0.027703350790527183,0.5091644525527954,0.12801922857761383,0.991820216178894,1.0014443397521973,0.7600714564323425,0.7126924395561218,1.0053231716156006,0.7164867520332336,0.7433261275291443,1.000000238418579
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",fixed_2,2,fixed,,fp16_uv_fp32_sigma,fixed_2_fp16_uv_fp32_sigma,442368,14155776,1776536,1818688,1825752,0.1289757622612847,7.753394765554138,0.027703350790527183,0.5091644525527954,0.12800812721252441,0.9918208718299866,1.0014047622680664,0.7600722312927246,0.7126916646957397,1.0053231716156006,0.7164866328239441,0.7433264851570129,0.9999998211860657
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",fixed_4,4,fixed,,fp32,fixed_4_fp32,442368,14155776,1776536,1966208,1973272,0.13939695005063657,7.1737581032924,0.11074135283495522,0.6403294801712036,0.11055690795183182,0.9938938617706299,1.0004976987838745,0.711380660533905,0.7494207620620728,1.0095914602279663,0.6657431125640869,0.7783951759338379,1.0000008344650269
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",fixed_4,4,fixed,,bf16,fixed_4_bf16,442368,14155776,1776536,1867840,1874904,0.13244798448350695,7.550133766848862,0.05537067641747761,0.6403294801712036,0.11058859527111053,0.9938876628875732,1.0001331567764282,0.7113926410675049,0.7494097948074341,1.0095826387405396,0.6657426357269287,0.7783958911895752,1.0
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",fixed_4,4,fixed,,fp16,fixed_4_fp16,442368,14155776,1776536,1867840,1874904,0.13244798448350695,7.550133766848862,0.05537067641747761,0.6403294801712036,0.11055800318717957,0.9938934445381165,1.0005743503570557,0.7113784551620483,0.749422550201416,1.0095916986465454,0.6657429337501526,0.7783953547477722,1.0000004768371582
