rank_label,factor_precision,configuration,storage_idealized_bits_sum,storage_metadata_bits_sum,storage_ratio_vs_fp32,compression_ratio_vs_fp32,extra_storage_vs_int4,update_cosine_weighted,update_cosine_mean,update_cosine_median,update_relative_l2_weighted,update_relative_l2_mean,update_relative_l2_median,exact_polar_cosine_weighted,exact_polar_cosine_mean,exact_polar_cosine_median,exact_polar_relative_l2_weighted,exact_polar_relative_l2_mean,exact_polar_relative_l2_median,tensor_count,numel_total,rank,pareto_update_cosine_weighted,pareto_exact_polar_cosine_weighted,pareto_update_relative_l2_weighted,energy_target
fixed_1,fp32,fixed_1_fp32,437216640.0,438921120.0,0.129193765145761,7.74031160769844,0.029418419947607022,0.8066711762161166,0.7868673145771027,0.8625909686088562,0.5934031490374494,0.6265124893188476,0.5258961915969849,0.8030532885204863,0.7778620594739913,0.8651302456855774,0.589712181908113,0.6254918665687244,0.5202905535697937,300,106168320,1,False,False,False,
fixed_1,bf16,fixed_1_bf16,430944960.0,432649440.0,0.12734773423936632,7.852515052371269,0.014709209973803511,0.8066720169451501,0.7868679175774257,0.8625876307487488,0.5934010330449652,0.6265108639001846,0.5258956551551819,0.8030532719222484,0.7778620460629463,0.8651300668716431,0.589712178789907,0.6254918589194616,0.5202901363372803,300,106168320,1,True,False,False,
fixed_1,fp16,fixed_1_fp16,430944960.0,432649440.0,0.12734773423936632,7.852515052371269,0.014709209973803511,0.8066712349929192,0.7868671909968058,0.8625906705856323,0.5934027954108185,0.6265123783548673,0.5258961319923401,0.8030532795659922,0.7778620506326358,0.8651302456855774,0.5897121766375171,0.6254918592174848,0.5202904939651489,300,106168320,1,False,True,False,
fixed_1,bf16_uv_fp32_sigma,fixed_1_bf16_uv_fp32_sigma,430949760.0,432654240.0,0.12734914709020545,7.852427934139742,0.014720467596621363,0.8066710396497337,0.7868673715988795,0.8625913262367249,0.5934033578468694,0.6265124553442001,0.5258962512016296,0.803053269493911,0.7778620458642642,0.8651300668716431,0.5897121804179969,0.6254918601115544,0.520290195941925,300,106168320,1,False,False,False,
fixed_1,fp16_uv_fp32_sigma,fixed_1_fp16_uv_fp32_sigma,430949760.0,432654240.0,0.12734914709020545,7.852427934139742,0.014720467596621363,0.8066711245863526,0.7868672680854797,0.8625909090042114,0.5934032436046336,0.6265125734607379,0.5258961915969849,0.8030532753853886,0.7778620467583338,0.8651302456855774,0.5897121750094273,0.6254918596148491,0.5202904343605042,300,106168320,1,False,False,False,
fixed_2,fp32,fixed_2_fp32,449760000.0,451464480.0,0.13288582695855033,7.52525700360746,0.058836839895214044,0.8226114772260189,0.8037322062253952,0.8754845261573792,0.5675933560011563,0.6003999495506287,0.49916186928749084,0.8187989842836504,0.7941542263825735,0.8775495886802673,0.5638875910805331,0.6000282525022824,0.4957420229911804,300,106168320,2,False,False,False,
fixed_2,bf16,fixed_2_bf16,437216640.0,438921120.0,0.129193765145761,7.74031160769844,0.029418419947607022,0.8226119663980273,0.8037326300144195,0.8754820823669434,0.5675912106478656,0.6003981306155523,0.4991634488105774,0.8187989686098364,0.7941542154550553,0.877549409866333,0.5638876188132498,0.6000282800197602,0.49574196338653564,300,106168320,2,True,True,False,
fixed_2,fp16,fixed_2_fp16,437216640.0,438921120.0,0.129193765145761,7.74031160769844,0.029418419947607022,0.8226116098739483,0.8037321331103643,0.8754845857620239,0.5675929116154158,0.6003997978568077,0.49916285276412964,0.8187989579582656,0.7941541993618011,0.877549409866333,0.5638875821122417,0.6000282510121664,0.4957418143749237,300,106168320,2,False,False,False,
fixed_2,bf16_uv_fp32_sigma,fixed_2_bf16_uv_fp32_sigma,437226240.0,438930720.0,0.12919659084743923,7.740142316764705,0.029440935193242725,0.8226112768054008,0.8037322372198105,0.8754843473434448,0.5675935891491396,0.6003998614350955,0.49916160106658936,0.8187989603866029,0.7941542075077692,0.8775497078895569,0.5638876156122596,0.6000282800197602,0.49574196338653564,300,106168320,2,False,False,False,
fixed_2,fp16_uv_fp32_sigma,fixed_2_fp16_uv_fp32_sigma,437226240.0,438930720.0,0.12919659084743923,7.740142316764705,0.029440935193242725,0.8226114281625659,0.8037321668863296,0.8754846453666687,0.5675934227804343,0.6003999934593837,0.4991622865200043,0.8187989671197202,0.7941542075077692,0.8775494694709778,0.5638875861134794,0.6000282554825147,0.49574190378189087,300,106168320,2,False,False,False,
