objective,rank_label,factor_precision,configuration,storage_idealized_bits_sum,storage_metadata_bits_sum,storage_ratio_vs_fp32,compression_ratio_vs_fp32,extra_storage_vs_int4,update_cosine_weighted,update_cosine_mean,update_cosine_median,update_relative_l2_weighted,update_relative_l2_mean,update_relative_l2_median,exact_polar_cosine_weighted,exact_polar_cosine_mean,exact_polar_cosine_median,exact_polar_relative_l2_weighted,exact_polar_relative_l2_mean,exact_polar_relative_l2_median,tensor_count,numel_total,rank,pareto_update_cosine_weighted,pareto_exact_polar_cosine_weighted,pareto_update_relative_l2_weighted,energy_target
update_cosine_weighted,fixed_1,bf16,fixed_1_bf16,430944960.0,432649440.0,0.12734773423936632,7.852515052371269,0.014709209973803511,0.8066720169451501,0.7868679175774257,0.8625876307487488,0.5934010330449652,0.6265108639001846,0.5258956551551819,0.8030532719222484,0.7778620460629463,0.8651300668716431,0.589712178789907,0.6254918589194616,0.5202901363372803,300,106168320,1,True,False,False,
update_cosine_weighted,fixed_2,bf16,fixed_2_bf16,437216640.0,438921120.0,0.129193765145761,7.74031160769844,0.029418419947607022,0.8226119663980273,0.8037326300144195,0.8754820823669434,0.5675912106478656,0.6003981306155523,0.4991634488105774,0.8187989686098364,0.7941542154550553,0.877549409866333,0.5638876188132498,0.6000282800197602,0.49574196338653564,300,106168320,2,True,True,False,
update_cosine_weighted,fixed_4,fp16,fixed_4_fp16,449760000.0,451464480.0,0.13288582695855033,7.52525700360746,0.058836839895214044,0.8422500312880233,0.825034323334694,0.8898428082466125,0.5353990074385095,0.5669756953914961,0.46811196208000183,0.8375321235645701,0.8139287211497624,0.8948624730110168,0.5328147399204749,0.5689157675703367,0.46451669931411743,300,106168320,4,True,False,False,
update_cosine_weighted,fixed_8,fp16,fixed_8_fp16,474846720.0,476551200.0,0.14026995058412906,7.129110660092767,0.11767367979042809,0.8667505255175961,0.851814460158348,0.9106168746948242,0.4928170050183932,0.5222601881623268,0.4226202964782715,0.8598270895856398,0.8374343647559483,0.9121201038360596,0.49380311356098566,0.5299230894446373,0.41931095719337463,300,106168320,8,True,True,False,
update_cosine_weighted,fixed_16,fp16,fixed_16_fp16,525020160.0,526724640.0,0.15503819783528647,6.450023374642204,0.23534735958085617,0.8979181812317283,0.8864579937855402,0.9314855337142944,0.4323751743468973,0.4576836600402991,0.36880427598953247,0.8873066371789685,0.8669952750205994,0.933570921421051,0.44147554602887895,0.4770606780052185,0.36551767587661743,300,106168320,16,True,True,False,
update_cosine_weighted,energy_25,bf16,energy_25_bf16,435998912.0,437703392.0,0.12883533430688174,7.7618458117866265,0.02656243608953713,0.8118801199175694,0.7915504638353984,0.872873067855835,0.5817135241020609,0.6159891508022944,0.517107367515564,0.8084353798655448,0.7826956922809283,0.8688271641731262,0.5780117161571979,0.6149673282106718,0.5158334374427795,300,106168320,,True,False,False,0.25
update_cosine_weighted,direct_int4,none,direct_int4,424673280.0,426377760.0,0.12550170333297164,7.968019345099051,0.0,0.7640175448661601,0.7410357607404391,0.8379800319671631,0.655601390975493,0.6906314707795779,0.5665347576141357,0.7604723254563632,0.7328594150145848,0.8360643982887268,0.6515775489586371,0.6879091077049573,0.5745365023612976,300,106168320,,True,True,True,
update_cosine_weighted,direct_int8,none,direct_int8,849346560.0,851051040.0,0.25050170333297167,3.991988823608041,0.9960024181373813,0.9960620426745327,0.9955361233154932,0.9983635544776917,0.07409172043273295,0.08009277857840061,0.05824911221861839,0.9906799473696285,0.9855561019976934,0.9984011054039001,0.09921084895592044,0.12449674556031823,0.05671105161309242,300,106168320,,True,True,False,
exact_polar_cosine_weighted,fixed_1,fp16,fixed_1_fp16,430944960.0,432649440.0,0.12734773423936632,7.852515052371269,0.014709209973803511,0.8066712349929192,0.7868671909968058,0.8625906705856323,0.5934027954108185,0.6265123783548673,0.5258961319923401,0.8030532795659922,0.7778620506326358,0.8651302456855774,0.5897121766375171,0.6254918592174848,0.5202904939651489,300,106168320,1,False,True,False,
exact_polar_cosine_weighted,fixed_2,bf16,fixed_2_bf16,437216640.0,438921120.0,0.129193765145761,7.74031160769844,0.029418419947607022,0.8226119663980273,0.8037326300144195,0.8754820823669434,0.5675912106478656,0.6003981306155523,0.4991634488105774,0.8187989686098364,0.7941542154550553,0.877549409866333,0.5638876188132498,0.6000282800197602,0.49574196338653564,300,106168320,2,True,True,False,
exact_polar_cosine_weighted,fixed_4,bf16,fixed_4_bf16,449760000.0,451464480.0,0.13288582695855033,7.52525700360746,0.058836839895214044,0.8422499375210868,0.8250347505013148,0.8898414969444275,0.5353980171183745,0.5669741892814636,0.4681087136268616,0.8375325936962057,0.8139299172163009,0.8948630094528198,0.5328134354341914,0.5689125155409177,0.4645176827907562,300,106168320,4,False,True,False,
exact_polar_cosine_weighted,fixed_8,fp16,fixed_8_fp16,474846720.0,476551200.0,0.14026995058412906,7.129110660092767,0.11767367979042809,0.8667505255175961,0.851814460158348,0.9106168746948242,0.4928170050183932,0.5222601881623268,0.4226202964782715,0.8598270895856398,0.8374343647559483,0.9121201038360596,0.49380311356098566,0.5299230894446373,0.41931095719337463,300,106168320,8,True,True,False,
exact_polar_cosine_weighted,fixed_16,fp32,fixed_16_fp32,625367040.0,627071520.0,0.18457469233760126,5.417860852618534,0.47069471916171235,0.8979180573037377,0.8864582427342733,0.9314855337142944,0.4323755967396277,0.4576833318173885,0.36880409717559814,0.8873066563573149,0.8669952869415283,0.9335705637931824,0.44147555149263806,0.4770606849590937,0.36551737785339355,300,106168320,16,False,True,False,
exact_polar_cosine_weighted,fixed_16,fp16,fixed_16_fp16,525020160.0,526724640.0,0.15503819783528647,6.450023374642204,0.23534735958085617,0.8979181812317283,0.8864579937855402,0.9314855337142944,0.4323751743468973,0.4576836600402991,0.36880427598953247,0.8873066371789685,0.8669952750205994,0.933570921421051,0.44147554602887895,0.4770606780052185,0.36551767587661743,300,106168320,16,True,True,False,
exact_polar_cosine_weighted,fixed_16,fp16_uv_fp32_sigma,fixed_16_fp16_uv_fp32_sigma,525096960.0,526801440.0,0.1550608034487124,6.449083054898256,0.2355274815459418,0.8979180680932822,0.8864582614103953,0.9314859509468079,0.43237567226643914,0.45768337468306225,0.36880433559417725,0.8873066392485742,0.8669952762126922,0.9335709810256958,0.4414755522101014,0.477060685257117,0.36551758646965027,300,106168320,16,False,True,False,
exact_polar_cosine_weighted,energy_25,fp16,energy_25_fp16,435998912.0,437703392.0,0.12883533430688174,7.7618458117866265,0.02656243608953713,0.8118793293281837,0.7915497372547785,0.8728734850883484,0.5817153265630758,0.6159906939665476,0.5171090960502625,0.808435383921972,0.7826956956585248,0.8688279986381531,0.5780116746271098,0.6149672903617223,0.5158331990242004,300,106168320,,False,True,False,0.25
exact_polar_cosine_weighted,energy_25,fp16_uv_fp32_sigma,energy_25_fp16_uv_fp32_sigma,436007296.0,437711776.0,0.1288378020863474,7.761697140174725,0.02658209940405897,0.8118791887605632,0.7915497885147731,0.8728731274604797,0.5817158115130884,0.615990923345089,0.5171099901199341,0.8084353857294276,0.7826956973473231,0.8688279986381531,0.5780116789318898,0.6149672959248225,0.5158331394195557,300,106168320,,False,True,False,0.25
exact_polar_cosine_weighted,direct_int4,none,direct_int4,424673280.0,426377760.0,0.12550170333297164,7.968019345099051,0.0,0.7640175448661601,0.7410357607404391,0.8379800319671631,0.655601390975493,0.6906314707795779,0.5665347576141357,0.7604723254563632,0.7328594150145848,0.8360643982887268,0.6515775489586371,0.6879091077049573,0.5745365023612976,300,106168320,,True,True,True,
exact_polar_cosine_weighted,direct_int8,none,direct_int8,849346560.0,851051040.0,0.25050170333297167,3.991988823608041,0.9960024181373813,0.9960620426745327,0.9955361233154932,0.9983635544776917,0.07409172043273295,0.08009277857840061,0.05824911221861839,0.9906799473696285,0.9855561019976934,0.9984011054039001,0.09921084895592044,0.12449674556031823,0.05671105161309242,300,106168320,,True,True,False,
update_relative_l2_weighted,fixed_1,bf16,fixed_1_bf16,430944960.0,432649440.0,0.12734773423936632,7.852515052371269,0.014709209973803511,0.8066720169451501,0.7868679175774257,0.8625876307487488,0.5934010330449652,0.6265108639001846,0.5258956551551819,0.8030532719222484,0.7778620460629463,0.8651300668716431,0.589712178789907,0.6254918589194616,0.5202901363372803,300,106168320,1,True,False,False,
update_relative_l2_weighted,fixed_2,bf16,fixed_2_bf16,437216640.0,438921120.0,0.129193765145761,7.74031160769844,0.029418419947607022,0.8226119663980273,0.8037326300144195,0.8754820823669434,0.5675912106478656,0.6003981306155523,0.4991634488105774,0.8187989686098364,0.7941542154550553,0.877549409866333,0.5638876188132498,0.6000282800197602,0.49574196338653564,300,106168320,2,True,True,False,
update_relative_l2_weighted,fixed_4,bf16,fixed_4_bf16,449760000.0,451464480.0,0.13288582695855033,7.52525700360746,0.058836839895214044,0.8422499375210868,0.8250347505013148,0.8898414969444275,0.5353980171183745,0.5669741892814636,0.4681087136268616,0.8375325936962057,0.8139299172163009,0.8948630094528198,0.5328134354341914,0.5689125155409177,0.4645176827907562,300,106168320,4,False,True,False,
update_relative_l2_weighted,fixed_8,fp16,fixed_8_fp16,474846720.0,476551200.0,0.14026995058412906,7.129110660092767,0.11767367979042809,0.8667505255175961,0.851814460158348,0.9106168746948242,0.4928170050183932,0.5222601881623268,0.4226202964782715,0.8598270895856398,0.8374343647559483,0.9121201038360596,0.49380311356098566,0.5299230894446373,0.41931095719337463,300,106168320,8,True,True,False,
update_relative_l2_weighted,fixed_16,fp16,fixed_16_fp16,525020160.0,526724640.0,0.15503819783528647,6.450023374642204,0.23534735958085617,0.8979181812317283,0.8864579937855402,0.9314855337142944,0.4323751743468973,0.4576836600402991,0.36880427598953247,0.8873066371789685,0.8669952750205994,0.933570921421051,0.44147554602887895,0.4770606780052185,0.36551767587661743,300,106168320,16,True,True,False,
update_relative_l2_weighted,energy_25,bf16,energy_25_bf16,435998912.0,437703392.0,0.12883533430688174,7.7618458117866265,0.02656243608953713,0.8118801199175694,0.7915504638353984,0.872873067855835,0.5817135241020609,0.6159891508022944,0.517107367515564,0.8084353798655448,0.7826956922809283,0.8688271641731262,0.5780117161571979,0.6149673282106718,0.5158334374427795,300,106168320,,True,False,False,0.25
update_relative_l2_weighted,energy_50,bf16,energy_50_bf16,469516048.0,471220528.0,0.13870089966573834,7.209758569770967,0.1051714517192454,0.8358815683534851,0.8155387165149053,0.8989454507827759,0.532621909291656,0.5690775110324224,0.45290154218673706,0.8330113415778787,0.8069070161382357,0.9000099301338196,0.5278025089866585,0.5675693480173747,0.4505188465118408,300,106168320,,False,False,False,0.5
update_relative_l2_weighted,direct_int4,none,direct_int4,424673280.0,426377760.0,0.12550170333297164,7.968019345099051,0.0,0.7640175448661601,0.7410357607404391,0.8379800319671631,0.655601390975493,0.6906314707795779,0.5665347576141357,0.7604723254563632,0.7328594150145848,0.8360643982887268,0.6515775489586371,0.6879091077049573,0.5745365023612976,300,106168320,,True,True,True,
update_relative_l2_weighted,direct_int8,none,direct_int8,849346560.0,851051040.0,0.25050170333297167,3.991988823608041,0.9960024181373813,0.9960620426745327,0.9955361233154932,0.9983635544776917,0.07409172043273295,0.08009277857840061,0.05824911221861839,0.9906799473696285,0.9855561019976934,0.9984011054039001,0.09921084895592044,0.12449674556031823,0.05671105161309242,300,106168320,,True,True,False,
