seed,update,parameter_id,parameter_name,shape,quantizer,bits,codebook,block_size,update_direction_error,effective_condition_number,effective_rank,log_effective_condition_number,tail_relative_spectral_perturbation,tail_subspace_distortion,source_sigma_max,source_sigma_min,source_naive_condition_number,source_effective_rank,source_effective_condition_number,source_effective_rank_entropy,source_stable_rank,source_sigma_p10,source_sigma_p25,source_sigma_median,source_sigma_p75,source_sigma_p90,source_tail_energy_fraction_10pct,source_tail_energy_fraction_25pct,quantized_sigma_max,quantized_sigma_min,quantized_naive_condition_number,quantized_effective_rank,quantized_effective_condition_number,quantized_effective_rank_entropy,quantized_stable_rank,quantized_sigma_p10,quantized_sigma_p25,quantized_sigma_median,quantized_sigma_p75,quantized_sigma_p90,quantized_tail_energy_fraction_10pct,quantized_tail_energy_fraction_25pct,spectral_norm_error,frobenius_error,relative_singular_value_l2,effective_rank_change,condition_number_change,raw_relative_l2,raw_cosine,raw_norm_ratio,update_relative_l2,update_cosine,update_norm_ratio,muon_update_relative_l2,muon_update_cosine,muon_update_norm_ratio
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",int8-linear-b2048,8,linear,2048,0.00306856632232666,465.30328369140625,384,2.6677361174032996,0.005820375867187977,0.34720277786254883,0.2001640349626541,0.0004301797307562083,465.30328369140625,384,465.30328369140625,143.36256408691406,2.8605728149414062,0.0006417320109903812,0.0010397036094218493,0.0024738553911447525,0.006436873693019152,0.014583919197320938,0.00010107496927957982,0.0004453478613868356,0.20017129182815552,0.00043160910718142986,463.77911376953125,384,463.77911376953125,143.4996337890625,2.8605425357818604,0.0006470161606557667,0.0010478778276592493,0.002479586284607649,0.006440707482397556,0.014590544626116753,0.00010171128815272823,0.000449477432994172,0.00031267679878510535,0.0029203249141573906,0.0003988356329500675,0,-1.524169921875,0.008626184426248074,0.9999628663063049,1.0000308752059937,0.07836547493934631,0.9969314336776733,1.0005698204040527,,,
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",int4-linear-b2048,4,linear,2048,0.3409859538078308,465.30328369140625,384,2.6677361174032996,0.09991724044084549,1.2858380675315857,0.2001640349626541,0.0004301797307562083,465.30328369140625,384,465.30328369140625,143.36256408691406,2.8605728149414062,0.0006417320109903812,0.0010397036094218493,0.0024738553911447525,0.006436873693019152,0.014583919197320938,0.00010107496927957982,0.0004453478613868356,0.20017263293266296,0.0006664808024652302,300.3426818847656,384,300.3426818847656,172.44737243652344,2.9311323165893555,0.0010898516047745943,0.0018595893634483218,0.0036333641037344933,0.007318694144487381,0.015064602717757225,0.0002601838205009699,0.0013048648834228516,0.005631649866700172,0.05300262197852135,0.0489070899784565,0,-164.96060180664062,0.15656153857707977,0.9879679083824158,1.0123015642166138,0.82668536901474,0.6590140461921692,1.0021003484725952,,,
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",int4-dynamic-b2048,4,dynamic,2048,0.37573909759521484,465.30328369140625,384,2.6677361174032996,0.10448402166366577,1.2936881184577942,0.2001640349626541,0.0004301797307562083,465.30328369140625,384,465.30328369140625,143.36256408691406,2.8605728149414062,0.0006417320109903812,0.0010397036094218493,0.0024738553911447525,0.006436873693019152,0.014583919197320938,0.00010107496927957982,0.0004453478613868356,0.19769985973834991,0.0006844275631010532,288.85430908203125,384,288.85430908203125,178.23350524902344,2.952345848083496,0.001138712395913899,0.0019522443180903792,0.0038872831501066685,0.007475939579308033,0.01502683013677597,0.0002883104025386274,0.0014677448198199272,0.006497751455754042,0.06030471250414848,0.05887247994542122,0,-176.448974609375,0.17813090980052948,0.9841943979263306,1.0034077167510986,0.8662536144256592,0.6242609024047852,0.9985561370849609,,,
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",int8-linear-b2048,8,linear,2048,0.005510926246643066,82621.1015625,384,4.917090980997939,0.12440381944179535,0.4154047518968582,0.6639323234558105,8.035868631850462e-06,82621.1015625,384,82621.1015625,130.43069458007812,2.927672863006592,0.0006859669811092317,0.0022883708588778973,0.007560797035694122,0.021356333047151566,0.04890153929591179,4.624582288670354e-06,0.00010098050552187487,0.6640079021453857,8.537161875210586e-07,777785.3125,384,777785.3125,130.7396697998047,2.9275574684143066,0.000740470306482166,0.0022969592828303576,0.007605520077049732,0.021376386284828186,0.04889595881104469,5.051679636380868e-06,0.00010541571100475267,0.0013548044953495264,0.011427463963627815,0.0005661935429088771,0,695164.2109375,0.010059232823550701,0.99994957447052,1.0000940561294556,0.10509590804576874,0.9944890737533569,1.001827359199524,,,
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",int4-linear-b2048,4,linear,2048,0.4063876271247864,82621.1015625,384,4.917090980997939,4.858055591583252,1.2600585222244263,0.6639323234558105,8.035868631850462e-06,82621.1015625,384,82621.1015625,130.43069458007812,2.927672863006592,0.0006859669811092317,0.0022883708588778973,0.007560797035694122,0.021356333047151566,0.04890153929591179,4.624582288670354e-06,0.00010098050552187487,0.6652590036392212,7.013344293227419e-05,9485.6171875,384,9485.6171875,168.88356018066406,3.0187277793884277,0.002293011173605919,0.005890022497624159,0.012767653912305832,0.025409597903490067,0.051366038620471954,5.380483707995154e-05,0.0008013620390556753,0.02483796887099743,0.20730726420879364,0.0659015104174614,0,-73135.484375,0.18248607218265533,0.9837849736213684,1.017460823059082,0.9239479303359985,0.5936123728752136,1.0475457906723022,,,
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",int4-dynamic-b2048,4,dynamic,2048,0.4219582676887512,82621.1015625,384,4.917090980997939,2.654513120651245,1.2728521227836609,0.6639323234558105,8.035868631850462e-06,82621.1015625,384,82621.1015625,130.43069458007812,2.927672863006592,0.0006859669811092317,0.0022883708588778973,0.007560797035694122,0.021356333047151566,0.04890153929591179,4.624582288670354e-06,0.00010098050552187487,0.6548675298690796,3.6772551538888365e-05,17808.595703125,384,17808.595703125,170.75343322753906,3.0161690711975098,0.002317993436008692,0.006016803439706564,0.012972380965948105,0.025370454415678978,0.05061281844973564,5.279112156131305e-05,0.0008361301152035594,0.02707654796540737,0.215849831700325,0.06715743243694305,0,-64812.505859375,0.19000600278377533,0.9819701910018921,1.0011433362960815,0.9399246573448181,0.5780417323112488,1.0445078611373901,,,
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",int8-linear-b2048,8,linear,2048,0.0003120303153991699,65.37999725341797,384,1.8154448979998496,0.0013223453424870968,0.17038509994745255,0.15357491374015808,0.002348958747461438,65.37999725341797,384,65.37999725341797,264.7517395019531,3.629438877105713,0.0033300723880529404,0.004395552910864353,0.006507717538625002,0.009795079939067364,0.01513800397515297,0.003823199775069952,0.013757473789155483,0.15357476472854614,0.0023485173005610704,65.39221954345703,384,65.39221954345703,264.78607177734375,3.6298677921295166,0.0033275552559643984,0.00439038872718811,0.006507997401058674,0.009797257371246815,0.01513935998082161,0.0038284326437860727,0.013771869242191315,0.00027998577570542693,0.0030178443994373083,0.0003410078934393823,0,0.0122222900390625,0.01031474582850933,0.9999468326568604,1.0000580549240112,0.024976834654808044,0.9996879696846008,0.9999917149543762,,,
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",int4-linear-b2048,4,linear,2048,0.08636844158172607,65.37999725341797,384,1.8154448979998496,0.02780001610517502,0.9920770525932312,0.15357491374015808,0.002348958747461438,65.37999725341797,384,65.37999725341797,264.7517395019531,3.629438877105713,0.0033300723880529404,0.004395552910864353,0.006507717538625002,0.009795079939067364,0.01513800397515297,0.003823199775069952,0.013757473789155483,0.1535189151763916,0.0026505899149924517,57.91877365112305,384,57.91877365112305,273.8673095703125,3.7580344676971436,0.0037109802942723036,0.004896071739494801,0.007061082404106855,0.01032595057040453,0.015629105269908905,0.004636003635823727,0.016655687242746353,0.005096739158034325,0.05481715127825737,0.03357267752289772,0,-7.461223602294922,0.18736037611961365,0.9828900694847107,1.0171904563903809,0.4185105860233307,0.9136315584182739,1.012999415397644,,,
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",int4-dynamic-b2048,4,dynamic,2048,0.08572667837142944,65.37999725341797,384,1.8154448979998496,0.027853064239025116,0.9876049757003784,0.15357491374015808,0.002348958747461438,65.37999725341797,384,65.37999725341797,264.7517395019531,3.629438877105713,0.0033300723880529404,0.004395552910864353,0.006507717538625002,0.009795079939067364,0.01513800397515297,0.003823199775069952,0.013757473789155483,0.1513991355895996,0.0025821966119110584,58.63191604614258,384,58.63191604614258,273.0179748535156,3.740669012069702,0.0036254534497857094,0.004770034924149513,0.006889904383569956,0.010158851742744446,0.015224491246044636,0.004577609244734049,0.016343742609024048,0.005508737172931433,0.05481075495481491,0.026162149384617805,0,-6.748081207275391,0.18733885884284973,0.9824668765068054,1.0008249282836914,0.41660627722740173,0.9142733216285706,1.011518955230713,,,
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",int8-linear-b2048,8,linear,2048,0.0003077983856201172,63.810787200927734,384,1.8048941023235399,0.0011248005321249366,0.09712151437997818,0.14399127662181854,0.002256534993648529,63.810787200927734,384,63.810787200927734,264.3128967285156,3.8584890365600586,0.0031773350201547146,0.00425900099799037,0.006249104160815477,0.009445448406040668,0.014933395199477673,0.0037651120219379663,0.013666273094713688,0.1439962089061737,0.0022573499009013176,63.78993606567383,384,63.78993606567383,264.34857177734375,3.858626365661621,0.0031800309661775827,0.004258689936250448,0.006253838073462248,0.009445445612072945,0.014930744655430317,0.0037680668756365776,0.013680827803909779,0.0002702712663449347,0.002908244263380766,0.0003294634516350925,0,-0.02085113525390625,0.010282222181558609,0.9999470114707947,1.0000518560409546,0.024818232282996178,0.9996922016143799,1.0000405311584473,,,
