seed,update,parameter_id,parameter_name,shape,quantizer,band,side,principal_angle_mean,principal_angle_max,projection_distance,projection_distance_normalized
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",int4-linear-b2048,middle,right,1.157548427581787,1.5518490076065063,7.915371894836426,1.2674739360809326
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",int4-linear-b2048,tail,left,1.155648946762085,1.5549367666244507,7.892730236053467,1.2638483047485352
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",int4-linear-b2048,tail,right,1.1447796821594238,1.5614241361618042,7.845396041870117,1.2562687397003174
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",int4-dynamic-b2048,top,left,0.16196703910827637,0.9246312379837036,1.8212898969650269,0.2916397750377655
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",int4-dynamic-b2048,top,right,0.16089670360088348,0.9324706792831421,1.8204210996627808,0.29150065779685974
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",int4-dynamic-b2048,middle,left,1.1777794361114502,1.5570720434188843,7.969924449920654,1.2762092351913452
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",int4-dynamic-b2048,middle,right,1.1767001152038574,1.5658873319625854,7.9744696617126465,1.2769371271133423
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",int4-dynamic-b2048,tail,left,1.1765986680984497,1.566157579421997,7.970987319946289,1.2763794660568237
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",int4-dynamic-b2048,tail,right,1.162644624710083,1.5627559423446655,7.926930904388428,1.269324779510498
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",int8-linear-b2048,top,left,0.008387328125536442,0.046091724187135696,0.09767483174800873,0.015640489757061005
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",int8-linear-b2048,top,right,0.0067199221812188625,0.04525359719991684,0.08646102994680405,0.01384484488517046
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",int8-linear-b2048,middle,left,0.06547996401786804,0.3416513204574585,0.7574852705001831,0.12129472196102142
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",int8-linear-b2048,middle,right,0.061603888869285583,0.34267401695251465,0.7405984401702881,0.11859066039323807
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",int8-linear-b2048,tail,left,0.07725286483764648,0.7381988167762756,1.096860408782959,0.17563822865486145
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",int8-linear-b2048,tail,right,0.0566864088177681,0.7368673086166382,1.0312488079071045,0.16513197124004364
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",int4-linear-b2048,top,left,0.14945828914642334,0.5714070200920105,1.5712909698486328,0.2516079246997833
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",int4-linear-b2048,top,right,0.11837732791900635,0.5618540048599243,1.3541455268859863,0.2168368250131607
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",int4-linear-b2048,middle,left,0.8669317364692688,1.5494248867034912,6.582726955413818,1.0540798902511597
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",int4-linear-b2048,middle,right,0.8142879009246826,1.5342950820922852,6.298483371734619,1.0085644721984863
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",int4-linear-b2048,tail,left,0.9327453374862671,1.5310673713684082,6.969332218170166,1.1159863471984863
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",int4-linear-b2048,tail,right,0.657674252986908,1.5457727909088135,5.421705722808838,0.8681677579879761
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",int4-dynamic-b2048,top,left,0.15466910600662231,0.5835272073745728,1.6325994729995728,0.2614251375198364
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",int4-dynamic-b2048,top,right,0.13105151057243347,0.5820490121841431,1.4767026901245117,0.23646166920661926
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",int4-dynamic-b2048,middle,left,0.8911486864089966,1.5455126762390137,6.716994762420654,1.0755800008773804
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",int4-dynamic-b2048,middle,right,0.8432264924049377,1.548110842704773,6.463977336883545,1.0350648164749146
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",int4-dynamic-b2048,tail,left,0.9242379665374756,1.5675568580627441,6.926790237426758,1.109174132347107
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",int4-dynamic-b2048,tail,right,0.657088041305542,1.5651369094848633,5.408391952514648,0.8660358190536499
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",int8-linear-b2048,top,left,0.0077197314240038395,0.023420225828886032,0.07978653162717819,0.012776070274412632
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",int8-linear-b2048,top,right,0.006039366126060486,0.022514425218105316,0.06551749259233475,0.010491195134818554
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",int8-linear-b2048,middle,left,0.06445841491222382,0.47709575295448303,0.8295462131500244,0.13283370435237885
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",int8-linear-b2048,middle,right,0.060562171041965485,0.47755229473114014,0.8145017027854919,0.1304246485233307
