seed,update,parameter_id,parameter_name,shape,sigma_max,sigma_min,naive_condition_number,effective_rank,effective_condition_number,effective_rank_entropy,stable_rank,sigma_p10,sigma_p25,sigma_median,sigma_p75,sigma_p90,tail_energy_fraction_10pct,tail_energy_fraction_25pct
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",0.2001640349626541,0.0004301797307562083,465.30328369140625,384,465.30328369140625,143.36256408691406,2.8605728149414062,0.0006417320109903812,0.0010397036094218493,0.0024738553911447525,0.006436873693019152,0.014583919197320938,0.00010107496927957982,0.0004453478613868356
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",0.6639323234558105,8.035868631850462e-06,82621.1015625,384,82621.1015625,130.43069458007812,2.927672863006592,0.0006859669811092317,0.0022883708588778973,0.007560797035694122,0.021356333047151566,0.04890153929591179,4.624582288670354e-06,0.00010098050552187487
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",0.15357491374015808,0.002348958747461438,65.37999725341797,384,65.37999725341797,264.7517395019531,3.629438877105713,0.0033300723880529404,0.004395552910864353,0.006507717538625002,0.009795079939067364,0.01513800397515297,0.003823199775069952,0.013757473789155483
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",0.14399127662181854,0.002256534993648529,63.810787200927734,384,63.810787200927734,264.3128967285156,3.8584890365600586,0.0031773350201547146,0.00425900099799037,0.006249104160815477,0.009445448406040668,0.014933395199477673,0.0037651120219379663,0.013666273094713688
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",0.3889022469520569,0.005704514682292938,68.17446899414062,384,68.17446899414062,236.7642364501953,6.402994632720947,0.008220558054745197,0.011370019055902958,0.017847800627350807,0.030525410547852516,0.05529974400997162,0.0020397305488586426,0.007655521389096975
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",0.15844681859016418,0.00021297829516697675,743.9575805664062,384,743.9575805664062,124.88079833984375,3.107290029525757,0.0003370544291101396,0.0005780567298643291,0.0015329575398936868,0.004658479243516922,0.012085525318980217,3.944508353015408e-05,0.0001899143389891833
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",0.5971568822860718,1.331066528109659e-06,448630.375,384,448630.375,115.73595428466797,2.503481388092041,0.0003787914465647191,0.001300545991398394,0.004769772756844759,0.01537436805665493,0.03988755866885185,2.0036720798088936e-06,4.7180012188619e-05
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",0.11431194096803665,0.0013017255114391446,87.81570434570312,384,87.81570434570312,234.99130249023438,3.8300087451934814,0.0018670889548957348,0.0025537116453051567,0.003963206894695759,0.006509885191917419,0.011263024061918259,0.0020385764073580503,0.007614660542458296
0,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"[1024, 384]",0.10396552085876465,0.001217018230818212,85.42642974853516,384,85.42642974853516,234.42901611328125,4.283001899719238,0.0017784335650503635,0.002434802008792758,0.0038014561869204044,0.006309554912149906,0.011013161391019821,0.0020109876058995724,0.007574658375233412
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"[384, 1024]",0.27970707416534424,0.003563729813322425,78.48717498779297,384,78.48717498779297,220.60089111328125,7.423672199249268,0.005327525082975626,0.007486427202820778,0.012148050591349602,0.021797122433781624,0.042391758412122726,0.0014224124606698751,0.005469912197440863
0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",0.1452532410621643,0.00012395650264807045,1171.80810546875,384,1171.80810546875,116.1923599243164,2.4996278285980225,0.00021152914268895984,0.0003790754417423159,0.0010539238573983312,0.00348961865529418,0.009894092567265034,2.1381682017818093e-05,0.00011290155816823244
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",0.5028506517410278,1.5958027006490738e-06,315108.28125,384,315108.28125,108.73900604248047,2.4004669189453125,0.0002551380021031946,0.0008847393910400569,0.0033764259424060583,0.011542210355401039,0.0325259305536747,1.3833051752953907e-06,3.2254622055916116e-05
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",0.10930726677179337,0.000811615667771548,134.67860412597656,384,134.67860412597656,211.4795684814453,2.8442952632904053,0.0011781028006225824,0.0016372522804886103,0.002676599659025669,0.0046487473882734776,0.008678389713168144,0.001181257190182805,0.004515829496085644
0,128,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"[1024, 384]",0.10282281786203384,0.0007617264054715633,134.98654174804688,384,134.98654174804688,209.9918670654297,2.926380157470703,0.0011141413124278188,0.0015666576800867915,0.0025183726102113724,0.0044363634660840034,0.008464444428682327,0.0011524201836436987,0.0044332826510071754
0,128,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"[384, 1024]",0.265689492225647,0.0027300301007926464,97.32108306884766,384,97.32108306884766,212.2037353515625,5.345863342285156,0.003956877160817385,0.0055522131733596325,0.009079661220312119,0.0165833942592144,0.032024044543504715,0.0011970024788752198,0.004634118173271418
0,128,transformer.h.3.attn.c_attn.weight,transformer.h.3.attn.c_attn.weight,"[1152, 384]",0.15170884132385254,8.155369869200513e-05,1860.2325439453125,384,1860.2325439453125,105.79349517822266,2.022334098815918,0.00014625627954956144,0.00028419296722859144,0.000846223090775311,0.0028492724522948265,0.008148317225277424,1.1521728993102442e-05,6.69347500661388e-05
0,128,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"[384, 384]",0.4847295880317688,2.8302545160840964e-06,171267.140625,384,171267.140625,103.03137969970703,2.098820924758911,0.00020484585547819734,0.0007140926318243146,0.0027143913321197033,0.009680408053100109,0.02691434882581234,1.103117028833367e-06,2.5192875909851864e-05
0,128,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",0.10710827261209488,0.0006302774418145418,169.93829345703125,384,169.93829345703125,196.89761352539062,2.4517154693603516,0.0009097571601159871,0.001287889084778726,0.002104080282151699,0.00375772500410676,0.007402668707072735,0.0008604287868365645,0.0033231093548238277
0,128,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"[1024, 384]",0.11398693174123764,0.000590615498367697,192.99685668945312,384,192.99685668945312,191.2484588623047,2.2382349967956543,0.0008718086173757911,0.0012281812960281968,0.002017682883888483,0.003666640492156148,0.007156005594879389,0.0007471939898096025,0.0029086836148053408
0,128,transformer.h.3.mlp.c_proj.weight,transformer.h.3.mlp.c_proj.weight,"[384, 1024]",0.2917916178703308,0.0023856116458773613,122.31312561035156,384,122.31312561035156,207.90672302246094,3.594514846801758,0.0033950621727854013,0.004784156568348408,0.0078114671632647514,0.01404547318816185,0.02718748338520527,0.00111616519279778,0.004263113718479872
0,128,transformer.h.4.attn.c_attn.weight,transformer.h.4.attn.c_attn.weight,"[1152, 384]",0.16906805336475372,7.14275156497024e-05,2366.98779296875,384,2366.98779296875,96.8840103149414,1.7073440551757812,0.00012639992928598076,0.00024943670723587275,0.0007634780486114323,0.0025193141773343086,0.0071068438701331615,8.014670129341539e-06,4.86073040519841e-05
0,128,transformer.h.4.attn.c_proj.weight,transformer.h.4.attn.c_proj.weight,"[384, 384]",0.513049304485321,3.0028490982658695e-06,170854.171875,384,170854.171875,95.28067779541016,1.8715652227401733,0.00018511303642299026,0.0006403026054613292,0.002395535819232464,0.008449757471680641,0.023571189492940903,8.357081924259546e-07,2.0386692995089106e-05
0,128,transformer.h.4.mlp.w1.weight,transformer.h.4.mlp.w1.weight,"[1024, 384]",0.1063350960612297,0.000514466199092567,206.69015502929688,384,206.69015502929688,183.7701873779297,2.2598812580108643,0.0007507054251618683,0.0010682758875191212,0.0017702837940305471,0.0032754098065197468,0.006509031169116497,0.0006324736750684679,0.0024718951899558306
0,128,transformer.h.4.mlp.w2.weight,transformer.h.4.mlp.w2.weight,"[1024, 384]",0.09461221843957901,0.00048276796587742865,195.97865295410156,384,195.97865295410156,186.11843872070312,2.496647834777832,0.0007232135394588113,0.0010173636255785823,0.0017050239257514477,0.0032097334042191505,0.006404489744454622,0.0006662537343800068,0.0025919359177351
0,128,transformer.h.4.mlp.c_proj.weight,transformer.h.4.mlp.c_proj.weight,"[384, 1024]",0.3092978596687317,0.002071957103908062,149.2781219482422,384,149.2781219482422,199.3893585205078,2.9155609607696533,0.0030297047924250364,0.0042141214944422245,0.006813486106693745,0.01240310538560152,0.024502797052264214,0.000957969983574003,0.0036641114857047796
0,128,transformer.h.5.attn.c_attn.weight,transformer.h.5.attn.c_attn.weight,"[1152, 384]",0.19001081585884094,6.195784953888506e-05,3066.775634765625,384,3066.775634765625,86.36717224121094,1.532630443572998,0.0001117389474529773,0.00022495044686365873,0.0006824714946560562,0.002261257730424404,0.00634700758382678,5.360685008781729e-06,3.382127033546567e-05
0,128,transformer.h.5.attn.c_proj.weight,transformer.h.5.attn.c_proj.weight,"[384, 384]",0.7171411514282227,9.210984330820793e-07,778571.6875,384,778571.6875,79.97227478027344,1.3949962854385376,0.00017491339531261474,0.0005983967566862702,0.0021927503403276205,0.0075811902061104774,0.021117258816957474,4.845910552830901e-07,1.2130693903600331e-05
0,128,transformer.h.5.mlp.w1.weight,transformer.h.5.mlp.w1.weight,"[1024, 384]",0.10491959750652313,0.0004429465043358505,236.867431640625,384,236.867431640625,172.64451599121094,2.195434331893921,0.0006597839528694749,0.0009364853613078594,0.0015519659500569105,0.0028800065629184246,0.00582246296107769,0.000519706285558641,0.002024522516876459
0,128,transformer.h.5.mlp.w2.weight,transformer.h.5.mlp.w2.weight,"[1024, 384]",0.09753789752721786,0.00043432050733827055,224.5758514404297,384,224.5758514404297,173.6327362060547,2.3017075061798096,0.0006277645588852465,0.0008909919415600598,0.0014993350487202406,0.0028069554828107357,0.005772303324192762,0.0005233281990513206,0.0020365568343549967
0,128,transformer.h.5.mlp.c_proj.weight,transformer.h.5.mlp.c_proj.weight,"[384, 1024]",0.32986748218536377,0.0018534024711698294,177.9794158935547,384,177.9794158935547,193.48641967773438,2.3277335166931152,0.0027346902061253786,0.0037943192292004824,0.006064414978027344,0.010919083841145039,0.02169092185795307,0.0008565956959500909,0.0032613975927233696
0,512,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",0.1825409233570099,0.00037644270923919976,484.9102478027344,384,484.9102478027344,135.23562622070312,3.630613327026367,0.0005797977210022509,0.0009368805913254619,0.0022316803224384785,0.006153056863695383,0.0153266666457057,7.648653991054744e-05,0.00034241838147863746
0,512,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",0.5399425029754639,7.137769443943398e-06,75645.828125,384,75645.828125,124.88187408447266,3.287135362625122,0.000594660930801183,0.0018115416169166565,0.00594253558665514,0.017143074423074722,0.04331599920988083,4.755415375257144e-06,9.079565643332899e-05
0,512,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",0.19167031347751617,0.002795682055875659,68.55941009521484,384,68.55941009521484,278.130615234375,2.930359125137329,0.003936139866709709,0.00526478560641408,0.00791222881525755,0.012304316274821758,0.019149525091052055,0.004276012070477009,0.015454452484846115
0,512,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",0.17479176819324493,0.002643388696014881,66.1241226196289,384,66.1241226196289,277.74615478515625,3.2362167835235596,0.003743457142263651,0.005049201659858227,0.007622118107974529,0.011999472044408321,0.01863821968436241,0.004191787447780371,0.015374347567558289
0,512,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",0.4591391086578369,0.007131357677280903,64.38312530517578,384,64.38312530517578,267.455078125,4.828732490539551,0.010310479439795017,0.014399053528904915,0.02297700196504593,0.04000544548034668,0.06847339123487473,0.003032196080312133,0.011615028604865074
0,512,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",0.1622479408979416,0.0002590992080513388,626.2000732421875,384,626.2000732421875,127.96955108642578,2.935453176498413,0.00040474749403074384,0.0006542569608427584,0.0015340799000114202,0.004659721627831459,0.012884503230452538,5.8428660850040615e-05,0.00026162966969422996
0,512,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",0.4937240183353424,1.2468912018448464e-06,395964.0,384,395964.0,119.3707504272461,2.444533348083496,0.00034538807813078165,0.0011210055090487003,0.003985083196312189,0.012819967232644558,0.03640282526612282,2.6331099434173666e-06,5.3604875574819744e-05
0,512,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",0.10471361875534058,0.00172215118072927,60.80396270751953,384,60.80396270751953,266.4579772949219,5.2173566818237305,0.0024554207921028137,0.0034012957476079464,0.0054491301998496056,0.00919261109083891,0.01546059176325798,0.0030821783002465963,0.01164970826357603
0,512,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"[1024, 384]",0.10080909729003906,0.001602738513611257,62.898033142089844,384,62.898033142089844,264.83001708984375,5.345447063446045,0.0023486583959311247,0.0032601046841591597,0.005268313456326723,0.008984051644802094,0.015162027440965176,0.0029551489278674126,0.01121386419981718
0,512,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"[384, 1024]",0.2819507122039795,0.005090189166367054,55.39101028442383,384,55.39101028442383,261.9201965332031,7.328723907470703,0.0073681543581187725,0.010351790115237236,0.016844041645526886,0.03025907836854458,0.05348115786910057,0.002733606845140457,0.010438905097544193
0,512,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",0.15765786170959473,0.00017941169789992273,878.7490844726562,384,878.7490844726562,119.30900573730469,2.3052403926849365,0.0002859334053937346,0.00047075649490579963,0.0011251326650381088,0.0036342430394142866,0.010249651968479156,3.7796526157762855e-05,0.00017821275105234236
0,512,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",0.41703182458877563,5.674436124536442e-06,73493.0859375,384,73493.0859375,113.26963806152344,2.33543062210083,0.0002455408393871039,0.0008031798060983419,0.00288913631811738,0.00983627513051033,0.029009776189923286,1.797669256120571e-06,3.9989168726606295e-05
0,512,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",0.08149301260709763,0.0011592492228373885,70.298095703125,384,70.298095703125,257.7504577636719,5.325411796569824,0.0017208540812134743,0.0024377191439270973,0.0040097348392009735,0.007207720540463924,0.012575827538967133,0.002437400398775935,0.009410703554749489
0,512,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"[1024, 384]",0.0869990810751915,0.0010599205270409584,82.08075714111328,384,82.08075714111328,252.6300506591797,4.5823774337768555,0.0016207885928452015,0.002302752807736397,0.0038098825607448816,0.006885985843837261,0.01221904531121254,0.0021933959797024727,0.008533540181815624
0,512,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"[384, 1024]",0.19153240323066711,0.0039888834580779076,48.016544342041016,384,48.016544342041016,266.5495910644531,9.052472114562988,0.005864676088094711,0.008183116093277931,0.01320234127342701,0.02323208376765251,0.0410945862531662,0.003020175499841571,0.011505656875669956
0,512,transformer.h.3.attn.c_attn.weight,transformer.h.3.attn.c_attn.weight,"[1152, 384]",0.1318318247795105,0.00013239399413578212,995.7538452148438,384,995.7538452148438,116.47549438476562,2.4416260719299316,0.00021989177912473679,0.0003700644592754543,0.0009371323976665735,0.00302599323913455,0.00921301543712616,2.9990698749315925e-05,0.00014352123253047466
0,512,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"[384, 384]",0.31811684370040894,7.257037282215606e-08,4383563.5,383,51808.6953125,113.07940673828125,2.8338093757629395,0.000208241879590787,0.0006748715532012284,0.00245879334397614,0.008600310422480106,0.024640275165438652,1.869941684162768e-06,3.968057717429474e-05
0,512,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",0.07332555949687958,0.0009719263180159032,75.44353485107422,384,75.44353485107422,248.2354278564453,5.553351402282715,0.001429836847819388,0.002030044561251998,0.0034387409687042236,0.0063106403686106205,0.011377807706594467,0.0019882256165146828,0.007755942642688751
0,512,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"[1024, 384]",0.06858281791210175,0.0009445491596125066,72.60905456542969,384,72.60905456542969,246.95420837402344,5.969698429107666,0.0013746502809226513,0.0019574067555367947,0.0032782533671706915,0.006119652185589075,0.011001169681549072,0.0019256853265687823,0.0075499629601836205
0,512,transformer.h.3.mlp.c_proj.weight,transformer.h.3.mlp.c_proj.weight,"[384, 1024]",0.22121328115463257,0.003627066034823656,60.989593505859375,384,60.989593505859375,265.451416015625,5.550963878631592,0.005260085687041283,0.007276138290762901,0.011684681288897991,0.02059148997068405,0.036672208458185196,0.0029489726293832064,0.011217348277568817
0,512,transformer.h.4.attn.c_attn.weight,transformer.h.4.attn.c_attn.weight,"[1152, 384]",0.10701633244752884,0.00011278762394795194,948.8304443359375,384,948.8304443359375,113.77799224853516,3.072214365005493,0.0001864189252955839,0.00032311389804817736,0.0008269727695733309,0.0027379479724913836,0.008396702818572521,2.557844163675327e-05,0.00012792323832400143
0,512,transformer.h.4.attn.c_proj.weight,transformer.h.4.attn.c_proj.weight,"[384, 384]",0.26899996399879456,1.7252959878533147e-06,155915.25,384,155915.25,112.44026947021484,3.208920955657959,0.00018678307242225856,0.0006048089126124978,0.0021894993260502815,0.0076426854357123375,0.021984172984957695,1.911910203489242e-06,4.0516821172786877e-05
0,512,transformer.h.4.mlp.w1.weight,transformer.h.4.mlp.w1.weight,"[1024, 384]",0.06849253177642822,0.0008511027554050088,80.47504425048828,384,80.47504425048828,241.85733032226562,5.7855143547058105,0.0012782898265868425,0.0018294223118573427,0.003077259287238121,0.005838523618876934,0.010994229465723038,0.0017265835776925087,0.00679676653817296
0,512,transformer.h.4.mlp.w2.weight,transformer.h.4.mlp.w2.weight,"[1024, 384]",0.07157688587903976,0.0008228999795392156,86.98126983642578,384,86.98126983642578,238.18240356445312,5.134709358215332,0.0012073256075382233,0.0017265515634790063,0.002936834469437599,0.0056719728745520115,0.010601268149912357,0.001626676064915955,0.006287033203989267
0,512,transformer.h.4.mlp.c_proj.weight,transformer.h.4.mlp.c_proj.weight,"[384, 1024]",0.2909533679485321,0.003360042115673423,86.59217834472656,384,86.59217834472656,255.51304626464844,3.2685372829437256,0.0048421830870211124,0.006725706160068512,0.010773953050374985,0.0186726376414299,0.03262418881058693,0.0024906715843826532,0.009379344061017036
