seed,update,parameter_id,parameter_name,shape,danger_log10_start,danger_log10_end,active_rank,danger_mode_count,danger_fraction_active_rank,danger_residual_energy_fraction
0,512,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",-3.0,-2.0,384,0,0.0,0.0
0,512,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",-3.0,-2.0,384,196,0.5104166666666666,0.6824014046382239
0,512,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",-3.0,-2.0,384,159,0.4140625,0.6539741079702602
0,512,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,512,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,512,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"[384, 1024]",-3.0,-2.0,384,0,0.0,0.0
0,512,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",-3.0,-2.0,384,222,0.578125,0.7551298758524679
0,512,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",-3.0,-2.0,384,162,0.421875,0.6573863186746655
0,512,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,512,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,512,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"[384, 1024]",-3.0,-2.0,384,0,0.0,0.0
0,512,transformer.h.3.attn.c_attn.weight,transformer.h.3.attn.c_attn.weight,"[1152, 384]",-3.0,-2.0,384,223,0.5807291666666666,0.7649401309683044
0,512,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"[384, 384]",-3.0,-2.0,383,158,0.412532637075718,0.6443802745417906
0,512,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,512,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,512,transformer.h.3.mlp.c_proj.weight,transformer.h.3.mlp.c_proj.weight,"[384, 1024]",-3.0,-2.0,384,0,0.0,0.0
0,512,transformer.h.4.attn.c_attn.weight,transformer.h.4.attn.c_attn.weight,"[1152, 384]",-3.0,-2.0,384,216,0.5625,0.7451489670571367
0,512,transformer.h.4.attn.c_proj.weight,transformer.h.4.attn.c_proj.weight,"[384, 384]",-3.0,-2.0,384,156,0.40625,0.6381600330612166
0,512,transformer.h.4.mlp.w1.weight,transformer.h.4.mlp.w1.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,512,transformer.h.4.mlp.w2.weight,transformer.h.4.mlp.w2.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,512,transformer.h.4.mlp.c_proj.weight,transformer.h.4.mlp.c_proj.weight,"[384, 1024]",-3.0,-2.0,384,0,0.0,0.0
0,512,transformer.h.5.attn.c_attn.weight,transformer.h.5.attn.c_attn.weight,"[1152, 384]",-3.0,-2.0,384,219,0.5703125,0.7637969260660799
0,512,transformer.h.5.attn.c_proj.weight,transformer.h.5.attn.c_proj.weight,"[384, 384]",-3.0,-2.0,384,166,0.4322916666666667,0.6743530642850025
0,512,transformer.h.5.mlp.w1.weight,transformer.h.5.mlp.w1.weight,"[1024, 384]",-3.0,-2.0,384,8,0.020833333333333332,0.0347028486721513
0,512,transformer.h.5.mlp.w2.weight,transformer.h.5.mlp.w2.weight,"[1024, 384]",-3.0,-2.0,384,7,0.018229166666666668,0.028595901266228026
0,512,transformer.h.5.mlp.c_proj.weight,transformer.h.5.mlp.c_proj.weight,"[384, 1024]",-3.0,-2.0,384,6,0.015625,0.026163556930136844
0,1024,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",-3.0,-2.0,384,169,0.4401041666666667,0.6145424256845277
0,1024,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",-3.0,-2.0,384,149,0.3880208333333333,0.6176747660062247
0,1024,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,1024,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
0,1024,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",-3.0,-2.0,384,0,0.0,0.0
0,1024,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",-3.0,-2.0,384,200,0.5208333333333334,0.6974016708001113
0,1024,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",-3.0,-2.0,384,172,0.4479166666666667,0.6895147771527131
0,1024,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",-3.0,-2.0,384,4,0.010416666666666666,0.0178563484177814
0,1024,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"[1024, 384]",-3.0,-2.0,384,4,0.010416666666666666,0.01750080796984347
0,1024,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"[384, 1024]",-3.0,-2.0,384,0,0.0,0.0
0,1024,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",-3.0,-2.0,384,222,0.578125,0.7940911833316764
0,1024,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",-3.0,-2.0,384,176,0.4583333333333333,0.6888971780166233
0,1024,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",-3.0,-2.0,384,0,0.0,0.0
