seed,update,parameter_id,parameter_name,shape,component,removed_energy,removed_energy_fraction,coefficient_count,budget_fraction,baseline_update_cosine,baseline_update_relative_l2,baseline_update_norm_ratio,restored_update_cosine,restored_update_relative_l2,restored_update_norm_ratio,polar_baseline_cosine,polar_baseline_relative_l2,polar_restored_cosine,polar_restored_relative_l2,polar_restored_norm_ratio,update_cosine_gain,update_l2_reduction,recovered_cosine_error_fraction,recovered_l2_error_fraction,polar_update_cosine_gain,polar_update_l2_reduction,selection,clipped,budget_norm
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",diagonal,5.150747892912477e-05,0.000999999970617876,1,0.001,0.6242625713348389,0.8662538528442383,0.9985569715499878,0.624304473400116,0.8662016987800598,0.9985465407371521,0.6566484570503235,0.8286778926849365,0.6566839218139648,0.8286350965499878,1.0000003576278687,4.190206527709961e-05,5.21540641784668e-05,0.00011151954019050012,6.020644411245655e-05,3.546476364135742e-05,4.279613494873047e-05,diagonal,False,5.150748044252396e-05
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",diagonal,0.00012876870459876955,0.002500000067804902,1,0.0025,0.6242625713348389,0.8662538528442383,0.9985569715499878,0.6243647933006287,0.8661248087882996,0.9985306262969971,0.6566484570503235,0.8286778926849365,0.6567348837852478,0.8285735845565796,1.0000008344650269,0.00010222196578979492,0.0001290440559387207,0.0002720569152584747,0.0001489679445753925,8.64267349243164e-05,0.0001043081283569336,diagonal,False,0.0001287687011063099
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",diagonal,0.0002575374091975391,0.005000000135609804,1,0.005,0.6242625713348389,0.8662538528442383,0.9985569715499878,0.6244584321975708,0.8660054802894592,0.9985036253929138,0.6566484570503235,0.8286778926849365,0.6568162441253662,0.828475832939148,1.0000005960464478,0.0001958608627319336,0.00024837255477905273,0.0005212705676614273,0.0002867202887046931,0.0001677870750427246,0.00020205974578857422,diagonal,False,0.0002575374022126198
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",diagonal,0.0005150748183950782,0.010000000271219608,3,0.01,0.6242625713348389,0.8662538528442383,0.9985569715499878,0.6245304942131042,0.8659250140190125,0.9985086917877197,0.6566484570503235,0.8286778926849365,0.6568984389305115,0.828376829624176,1.000000238418579,0.00026792287826538086,0.0003288388252258301,0.0007130587953859147,0.00037961023104962605,0.0002499818801879883,0.00030106306076049805,diagonal,False,0.0005150748044252395
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",diagonal,0.0010301496367901564,0.020000000542439215,21,0.02,0.6242625713348389,0.8662538528442383,0.9985569715499878,0.6248075366020203,0.8655948638916016,0.9984831213951111,0.6566484570503235,0.8286778926849365,0.657127857208252,0.8280989527702332,1.000001311302185,0.0005449652671813965,0.0006589889526367188,0.0014503885575558215,0.0007607342241226511,0.0004794001579284668,0.0005789399147033691,diagonal,False,0.001030149608850479
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",diagonal,0.0014698364539071918,0.028536368723128466,170,0.05,0.6242625713348389,0.8662538528442383,0.9985569715499878,0.6260228753089905,0.8641670346260071,0.9984254837036133,0.6566484570503235,0.8286778926849365,0.6581155061721802,0.8269063234329224,1.0000003576278687,0.0017603039741516113,0.002086818218231201,0.004684931124389815,0.0024090146455099616,0.0014670491218566895,0.0017715692520141602,diagonal,True,0.002575374022126198
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",cross,5.150747892912477e-05,0.000999999970617876,1,0.001,0.6242625713348389,0.8662538528442383,0.9985569715499878,0.6242690682411194,0.8662463426589966,0.9985554218292236,0.6566484570503235,0.8286778926849365,0.6566529870033264,0.8286723494529724,1.0000007152557373,6.496906280517578e-06,7.510185241699219e-06,1.7291080911471568e-05,8.669727952193744e-06,4.5299530029296875e-06,5.543231964111328e-06,cross,False,5.150748044252396e-05
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",cross,0.00012876870459876955,0.002500000067804902,1,0.0025,0.6242625713348389,0.8662538528442383,0.9985569715499878,0.6242773532867432,0.8662371039390564,0.9985529184341431,0.6566484570503235,0.8286778926849365,0.656658947467804,0.8286653757095337,1.0000005960464478,1.4781951904296875e-05,1.6748905181884766e-05,3.934117491784357e-05,1.9334869480686046e-05,1.049041748046875e-05,1.2516975402832031e-05,cross,False,0.0001287687011063099
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",cross,0.0002575374091975391,0.005000000135609804,1,0.005,0.6242625713348389,0.8662538528442383,0.9985569715499878,0.6242864727973938,0.8662241697311401,0.9985502362251282,0.6566484570503235,0.8286778926849365,0.6566662192344666,0.8286569118499756,1.000000238418579,2.390146255493164e-05,2.968311309814453e-05,6.361214170183577e-05,3.426606762057527e-05,1.7762184143066406e-05,2.09808349609375e-05,cross,False,0.0002575374022126198
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",cross,0.0005150748183950782,0.010000000271219608,1,0.01,0.6242625713348389,0.8662538528442383,0.9985569715499878,0.6242926716804504,0.866213321685791,0.9985398054122925,0.6566484570503235,0.8286778926849365,0.6566688418388367,0.8286533951759338,1.0000003576278687,3.0100345611572266e-05,4.0531158447265625e-05,8.011005376415727e-05,4.678900799596624e-05,2.0384788513183594e-05,2.4497509002685547e-05,cross,False,0.0005150748044252395
