band,correction_type,budget,metric,mean,median,count
head,diagonal,2,update_l2_reduction_fraction,0.0006293249769443324,0.00042777517228387296,300
head,diagonal,2,residual_energy_fraction_captured,0.003929655898440008,0.0032092167530208826,300
head,diagonal,2,update_cosine,0.7411504362026851,0.8375799059867859,300
head,diagonal,2,update_relative_l2,0.6903358330329259,0.5646349787712097,300
head,diagonal,4,update_cosine_gain,0.00014304399490356446,0.00014454126358032227,300
head,diagonal,4,update_l2_reduction_fraction,0.0007969619728680136,0.0006169678526930511,300
head,diagonal,4,residual_energy_fraction_captured,0.005113577778683975,0.004267632029950619,300
head,diagonal,4,update_cosine,0.741175044576327,0.8375775218009949,300
head,diagonal,4,update_relative_l2,0.6902590404947598,0.5645772814750671,300
head,diagonal,8,update_cosine_gain,0.00019939959049224853,0.00020617246627807617,300
head,diagonal,8,update_l2_reduction_fraction,0.0010004727792311996,0.0008172207744792104,300
head,diagonal,8,residual_energy_fraction_captured,0.006467054209982355,0.005359970033168793,300
head,diagonal,8,update_cosine,0.7412314001719157,0.8376298546791077,300
head,diagonal,8,update_relative_l2,0.6901644783218702,0.5645071864128113,300
head,diagonal,16,update_cosine_gain,0.00021558562914530437,0.0002497434616088867,300
head,diagonal,16,update_l2_reduction_fraction,0.0012477297547588608,0.0009676047484390438,300
head,diagonal,16,residual_energy_fraction_captured,0.008006899966082226,0.006562556140124798,300
head,diagonal,16,update_cosine,0.7412475862105687,0.8376861214637756,300
head,diagonal,16,update_relative_l2,0.6900466246406237,0.5642571449279785,300
head,full,0,update_cosine_gain,0.0,0.0,300
head,full,0,update_l2_reduction_fraction,0.0,0.0,300
head,full,0,residual_energy_fraction_captured,0.0,0.0,300
head,full,0,update_cosine,0.7410320005814235,0.8375340700149536,300
head,full,0,update_relative_l2,0.6906314886609713,0.5651208162307739,300
head,full,1,update_cosine_gain,8.992324272791544e-05,7.283687591552734e-05,300
head,full,1,update_l2_reduction_fraction,0.0004702938291994993,0.00027795066125690937,300
head,full,1,residual_energy_fraction_captured,0.0029094305633528468,0.0022108759731054306,300
head,full,1,update_cosine,0.7411219238241513,0.8375498652458191,300
head,full,1,update_relative_l2,0.6904071760177612,0.5646775364875793,300
head,full,2,update_cosine_gain,0.00011843581994374593,0.00010710954666137695,300
head,full,2,update_l2_reduction_fraction,0.0006293089934292582,0.00042777517228387296,300
head,full,2,residual_energy_fraction_captured,0.0039758909495625026,0.0032392400316894054,300
head,full,2,update_cosine,0.7411504364013672,0.8375798463821411,300
head,full,2,update_relative_l2,0.6903358426690102,0.5646350383758545,300
head,full,4,update_cosine_gain,0.00014311591784159342,0.00014495849609375,300
head,full,4,update_l2_reduction_fraction,0.0007969982179019937,0.000619222060777247,300
head,full,4,residual_energy_fraction_captured,0.005285698247607797,0.004386560991406441,300
