seed,update,parameter_id,method,t,model_residual,sigma_min_active_over_max,condition_active,tail_spectral_mass,error_norm,state_error_relative_l2,shape
1,128,transformer.h.0.attn.c_attn.weight,direct_scalar_int4,0.05,0.000938602619236617,0.0019054617859529728,524.8071661011418,9.846691065379105e-05,0.05887535586953163,0.17502816021442413,"(1152, 384)"
1,128,transformer.h.0.attn.c_attn.weight,direct_scalar_int4,0.1,0.0036151588719475214,0.0019054617859529728,524.8071661011418,9.846691065379105e-05,0.05887535586953163,0.17502816021442413,"(1152, 384)"
1,128,transformer.h.0.attn.c_attn.weight,direct_scalar_int4,0.2,0.01229617656480364,0.0019054617859529728,524.8071661011418,9.846691065379105e-05,0.05887535586953163,0.17502816021442413,"(1152, 384)"
1,128,transformer.h.0.attn.c_attn.weight,direct_scalar_int4,0.4,0.025700090682258314,0.0019054617859529728,524.8071661011418,9.846691065379105e-05,0.05887535586953163,0.17502816021442413,"(1152, 384)"
1,128,transformer.h.0.attn.c_attn.weight,direct_scalar_int4,0.6,0.01740829966304336,0.0019054617859529728,524.8071661011418,9.846691065379105e-05,0.05887535586953163,0.17502816021442413,"(1152, 384)"
1,128,transformer.h.0.attn.c_attn.weight,direct_scalar_int4,0.8,-0.005992740646201811,0.0019054617859529728,524.8071661011418,9.846691065379105e-05,0.05887535586953163,0.17502816021442413,"(1152, 384)"
1,128,transformer.h.0.attn.c_attn.weight,direct_scalar_int4,1.0,-0.03163107015398681,0.0019054617859529728,524.8071661011418,9.846691065379105e-05,0.05887535586953163,0.17502816021442413,"(1152, 384)"
1,128,transformer.h.0.attn.c_attn.weight,direct_scalar_int4,1.25,-0.0582384204002212,0.0019054617859529728,524.8071661011418,9.846691065379105e-05,0.05887535586953163,0.17502816021442413,"(1152, 384)"
1,128,transformer.h.0.attn.c_attn.weight,direct_scalar_int4,1.5,-0.07807060837491075,0.0019054617859529728,524.8071661011418,9.846691065379105e-05,0.05887535586953163,0.17502816021442413,"(1152, 384)"
1,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,0.05,0.0004518090105821715,0.0019054617859529728,524.8071661011418,9.846691065379105e-05,0.04116307944059372,0.12237204611301422,"(1152, 384)"
1,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,0.1,0.0017974604287523954,0.0019054617859529728,524.8071661011418,9.846691065379105e-05,0.04116307944059372,0.12237204611301422,"(1152, 384)"
1,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,0.2,0.006830743067270828,0.0019054617859529728,524.8071661011418,9.846691065379105e-05,0.04116307944059372,0.12237204611301422,"(1152, 384)"
1,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,0.4,0.021280260836052167,0.0019054617859529728,524.8071661011418,9.846691065379105e-05,0.04116307944059372,0.12237204611301422,"(1152, 384)"
1,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,0.6,0.031562238685787225,0.0019054617859529728,524.8071661011418,9.846691065379105e-05,0.04116307944059372,0.12237204611301422,"(1152, 384)"
1,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,0.8,0.031819215418735,0.0019054617859529728,524.8071661011418,9.846691065379105e-05,0.04116307944059372,0.12237204611301422,"(1152, 384)"
1,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,1.0,0.023257873404111784,0.0019054617859529728,524.8071661011418,9.846691065379105e-05,0.04116307944059372,0.12237204611301422,"(1152, 384)"
1,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,1.25,0.0063351023708539955,0.0019054617859529728,524.8071661011418,9.846691065379105e-05,0.04116307944059372,0.12237204611301422,"(1152, 384)"
1,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,1.5,-0.011387878989204792,0.0019054617859529728,524.8071661011418,9.846691065379105e-05,0.04116307944059372,0.12237204611301422,"(1152, 384)"
1,128,transformer.h.0.attn.c_attn.weight,structural_int4_k8,0.05,0.00025208411834209965,0.0019054617859529728,524.8071661011418,9.846691065379105e-05,0.030295858159661293,0.09006532281637192,"(1152, 384)"
1,128,transformer.h.0.attn.c_attn.weight,structural_int4_k8,0.1,0.0010001250187888777,0.0019054617859529728,524.8071661011418,9.846691065379105e-05,0.030295858159661293,0.09006532281637192,"(1152, 384)"
1,128,transformer.h.0.attn.c_attn.weight,structural_int4_k8,0.2,0.0038486560093488054,0.0019054617859529728,524.8071661011418,9.846691065379105e-05,0.030295858159661293,0.09006532281637192,"(1152, 384)"
1,128,transformer.h.0.attn.c_attn.weight,structural_int4_k8,0.4,0.013088722226095473,0.0019054617859529728,524.8071661011418,9.846691065379105e-05,0.030295858159661293,0.09006532281637192,"(1152, 384)"
1,128,transformer.h.0.attn.c_attn.weight,structural_int4_k8,0.6,0.022591386793822332,0.0019054617859529728,524.8071661011418,9.846691065379105e-05,0.030295858159661293,0.09006532281637192,"(1152, 384)"
1,128,transformer.h.0.attn.c_attn.weight,structural_int4_k8,0.8,0.028033539478704683,0.0019054617859529728,524.8071661011418,9.846691065379105e-05,0.030295858159661293,0.09006532281637192,"(1152, 384)"
1,128,transformer.h.0.attn.c_attn.weight,structural_int4_k8,1.0,0.027646914140449508,0.0019054617859529728,524.8071661011418,9.846691065379105e-05,0.030295858159661293,0.09006532281637192,"(1152, 384)"
1,128,transformer.h.0.attn.c_attn.weight,structural_int4_k8,1.25,0.01969491371175014,0.0019054617859529728,524.8071661011418,9.846691065379105e-05,0.030295858159661293,0.09006532281637192,"(1152, 384)"
1,128,transformer.h.0.attn.c_attn.weight,structural_int4_k8,1.5,0.006376551743494385,0.0019054617859529728,524.8071661011418,9.846691065379105e-05,0.030295858159661293,0.09006532281637192,"(1152, 384)"
1,128,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,0.05,0.00024376400772396778,0.0019054617859529728,524.8071661011418,9.846691065379105e-05,0.031163325533270836,0.09264418482780457,"(1152, 384)"
