seed,update,parameter_id,method,t,exact_polar_distortion,exact_polar_relative_l2,s_perp,s_full
0,128,transformer.h.0.attn.c_attn.weight,direct_scalar_int4,0.05,0.0031865063984173325,0.07983115179450909,1.6050651802722786,1.605065180272279
0,128,transformer.h.0.attn.c_attn.weight,direct_scalar_int4,0.1,0.012355823293143886,0.15719938481526347,1.6050651802722786,1.605065180272279
0,128,transformer.h.0.attn.c_attn.weight,direct_scalar_int4,0.2,0.04427267569938975,0.2975657093799346,1.6050651802722786,1.605065180272279
0,128,transformer.h.0.attn.c_attn.weight,direct_scalar_int4,0.4,0.12998996495895432,0.50988227064482,1.6050651802722786,1.605065180272279
0,128,transformer.h.0.attn.c_attn.weight,direct_scalar_int4,0.6,0.21281783338253413,0.6524075925102903,1.6050651802722786,1.605065180272279
0,128,transformer.h.0.attn.c_attn.weight,direct_scalar_int4,0.8,0.2837099349954405,0.7532727726334522,1.6050651802722786,1.605065180272279
0,128,transformer.h.0.attn.c_attn.weight,direct_scalar_int4,1.0,0.34335332384480255,0.8286776500483193,1.6050651802722786,1.605065180272279
0,128,transformer.h.0.attn.c_attn.weight,direct_scalar_int4,1.25,0.4050197134801822,0.9000219036003348,1.6050651802722786,1.605065180272279
0,128,transformer.h.0.attn.c_attn.weight,direct_scalar_int4,1.5,0.4556124376239109,0.9545809945980633,1.6050651802722786,1.605065180272279
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,0.05,0.0014708573442853146,0.05423757635233742,1.084636283405085,1.0846362834050853
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,0.1,0.0058248891390502155,0.10793413861292392,1.084636283405085,1.0846362834050853
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,0.2,0.022212710738087504,0.2107733889184847,1.084636283405085,1.0846362834050853
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,0.4,0.07496640813531741,0.38721159108507824,1.084636283405085,1.0846362834050853
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,0.6,0.13698014065659314,0.5234121524317052,1.084636283405085,1.0846362834050853
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,0.8,0.19735889242223248,0.6282656960589735,1.084636283405085,1.0846362834050853
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,1.0,0.2525216650973966,0.7106640065423305,1.084636283405085,1.0846362834050853
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,1.25,0.31339055234409263,0.7916950831527182,1.084636283405085,1.0846362834050853
0,128,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,1.5,0.36616164343695157,0.8557588952934746,1.084636283405085,1.0846362834050853
0,128,transformer.h.0.attn.c_attn.weight,structural_int4_k8,0.05,0.0008335711996257933,0.04083065514113351,0.8169251458639292,0.8169251458639294
0,128,transformer.h.0.attn.c_attn.weight,structural_int4_k8,0.1,0.003311714390119125,0.08138445048193083,0.8169251458639292,0.8169251458639294
0,128,transformer.h.0.attn.c_attn.weight,structural_int4_k8,0.2,0.012853624667572228,0.16033480387969742,0.8169251458639292,0.8169251458639294
0,128,transformer.h.0.attn.c_attn.weight,structural_int4_k8,0.4,0.04601907479846834,0.30337789899223166,0.8169251458639292,0.8169251458639294
0,128,transformer.h.0.attn.c_attn.weight,structural_int4_k8,0.6,0.08917993582555717,0.422326735657496,0.8169251458639292,0.8169251458639294
0,128,transformer.h.0.attn.c_attn.weight,structural_int4_k8,0.8,0.13472591635369124,0.5190875000492627,0.8169251458639292,0.8169251458639294
0,128,transformer.h.0.attn.c_attn.weight,structural_int4_k8,1.0,0.178874034970662,0.5981204476870265,0.8169251458639292,0.8169251458639294
0,128,transformer.h.0.attn.c_attn.weight,structural_int4_k8,1.25,0.2299460980397433,0.6781535195510587,0.8169251458639292,0.8169251458639294
0,128,transformer.h.0.attn.c_attn.weight,structural_int4_k8,1.5,0.2759137517737684,0.7428509295595862,0.8169251458639292,0.8169251458639294
0,128,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,0.05,0.0007906794168395237,0.0397663027409574,0.7949521970707603,0.7949521970707615
0,128,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,0.1,0.003148486625631164,0.07935347031644732,0.7949521970707603,0.7949521970707615
0,128,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,0.2,0.012292204094652925,0.15679415865812346,0.7949521970707603,0.7949521970707615
0,128,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,0.4,0.04462818250192013,0.2987580375552209,0.7949521970707603,0.7949521970707615
0,128,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,0.6,0.08770679239504953,0.41882404991846134,0.7949521970707603,0.7949521970707615
0,128,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,0.8,0.1341625951232598,0.5180011488853333,0.7949521970707603,0.7949521970707615
0,128,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,1.0,0.1799223372954769,0.5998705481943235,0.7949521970707603,0.7949521970707615
0,128,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,1.25,0.23348707068562335,0.6833550624464944,0.7949521970707603,0.7949521970707615
0,128,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,1.5,0.2821234129893442,0.751163647934781,0.7949521970707603,0.7949521970707615
0,1024,transformer.h.0.attn.c_attn.weight,direct_scalar_int4,0.05,0.004819794980665093,0.09818141352275009,1.9792911329184877,1.9792911329184832
0,1024,transformer.h.0.attn.c_attn.weight,direct_scalar_int4,0.1,0.01834711559364144,0.19155738353631604,1.9792911329184877,1.9792911329184832
0,1024,transformer.h.0.attn.c_attn.weight,direct_scalar_int4,0.2,0.062191747060754254,0.35268044193221343,1.9792911329184877,1.9792911329184832
0,1024,transformer.h.0.attn.c_attn.weight,direct_scalar_int4,0.4,0.16516352024497993,0.5747408463733534,1.9792911329184877,1.9792911329184832
0,1024,transformer.h.0.attn.c_attn.weight,direct_scalar_int4,0.6,0.2541139903652466,0.7129011016476896,1.9792911329184877,1.9792911329184832
0,1024,transformer.h.0.attn.c_attn.weight,direct_scalar_int4,0.8,0.3257181485069941,0.8071160368955501,1.9792911329184877,1.9792911329184832
0,1024,transformer.h.0.attn.c_attn.weight,direct_scalar_int4,1.0,0.3837564888114844,0.8760781800860976,1.9792911329184877,1.9792911329184832
0,1024,transformer.h.0.attn.c_attn.weight,direct_scalar_int4,1.25,0.4423838522239689,0.94062091431561,1.9792911329184877,1.9792911329184832
0,1024,transformer.h.0.attn.c_attn.weight,direct_scalar_int4,1.5,0.4898301602881695,0.9897779147749947,1.9792911329184877,1.9792911329184832
0,1024,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,0.05,0.0021331625412593924,0.06531711171289564,1.3065539064350566,1.3065539064350546
0,1024,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,0.1,0.008393040206604807,0.12956110686932837,1.3065539064350566,1.3065539064350546
0,1024,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,0.2,0.031186510134334933,0.2497459114153068,1.3065539064350566,1.3065539064350546
0,1024,transformer.h.0.attn.c_attn.weight,structural_scalar_int3_p98_k8,0.4,0.09838033596163887,0.443577131875928,1.3065539064350566,1.3065539064350546
