seed,update,parameter_id,parameter_name,shape,method,state_error_relative_l2,s_perp,s_full,local_cosine_coefficient,derivative_radial_fraction,sigma_min_active_over_max,condition_active,tail_spectral_mass,active_rank,matrix_norm,error_norm,tail_angle_prior,raw_relative_l2_prior,gram_fro_prior,cached_update_distortion_prior
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.17813079059123993,1.605648604819903,1.6056608884131383,1.2890537210800506,0.003911559729461694,0.00214913598657456,465.3032689633887,0.00010107497038078696,384,0.33854177594184875,0.06030471250414848,0.9103423469397569,0.17813079059123993,0.04082731530070305,0.37573742866516113
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.12345220893621445,1.0851491714404156,1.085159421379392,0.5887743621389102,0.0043463814599181355,0.00214913598657456,465.3032689633887,0.00010107497038078696,384,0.33854177594184875,0.04179373010993004,0.8767981639414376,0.12345220893621445,0.023187581449747086,0.28275102376937866
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.08968377858400345,0.8143614975649209,0.8143671766595989,0.3315923243580904,0.003734596318189175,0.00214913598657456,465.3032689633887,0.00010107497038078696,384,0.33854177594184875,0.030361706390976906,0.8341387949048116,0.08968377858400345,0.016442446038126945,0.20240181684494019
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.09249845147132874,0.796287576727208,0.7962885589970743,0.31703695242504454,0.0015707064833068276,0.00214913598657456,465.3032689633887,0.00010107497038078696,384,0.33854177594184875,0.03131458908319473,0.8318065580294705,0.09249845147132874,0.01892169378697872,0.20371484756469727
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.1900058537721634,1.974986881013726,1.974997921551854,1.950286590088163,0.003343691416624716,1.2103445408446524e-05,82621.1021947634,4.624581854391871e-06,384,1.1360167264938354,0.215849831700325,0.8950221999127533,0.1900058537721634,0.04725277051329613,0.42195767164230347
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.12062928825616837,1.231543657691448,1.2315809945894345,0.7583498904000152,0.007786626324837522,1.2103445408446524e-05,82621.1021947634,4.624581854391871e-06,384,1.1360167264938354,0.13703688979148865,0.8517247895069376,0.12062928825616837,0.023136239498853683,0.3206844925880432
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_int4_k8,0.08723220229148865,0.9074248108967352,0.9074278928163891,0.41170989371548783,0.0026062689074427352,1.2103445408446524e-05,82621.1021947634,4.624581854391871e-06,384,1.1360167264938354,0.09909723699092865,0.8146804802842829,0.08723220229148865,0.015884529799222946,0.23155415058135986
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,0.08977789431810379,0.8940852478992051,0.8940895931503373,0.3996942152554915,0.0031176789521140144,1.2103445408446524e-05,82621.1021947634,4.624581854391871e-06,384,1.1360167264938354,0.10198918730020523,0.8149437585044124,0.08977789431810379,0.01821870356798172,0.23434454202651978
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,0.18733878433704376,0.44318437902521607,0.44318555143691424,0.09820619690598319,0.0023001808606909167,0.01529519822121321,65.37999609662334,0.0038231997901214732,384,0.2925755977630615,0.05481075495481491,0.6734193903676462,0.18733878433704376,0.04421692341566086,0.0857207179069519
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.15957117080688477,0.3668504313672719,0.36687236850780464,0.06728961949717674,0.010935559616745378,0.01529519822121321,65.37999609662334,0.0038231997901214732,384,0.2925755977630615,0.04668663069605827,0.6259358169608561,0.15957117080688477,0.03021213598549366,0.0655057430267334
