family,sigma_i,sigma_j,e,t,s,angle,linear_angle,cosine,distortion,local_cosine_quadratic_coefficient,numeric_cosine_distortion,formula_abs_error,rotation_angle_error,minimum_eigenvalue,smooth_positive_definite
pure_skew,2.0,1.0,0.2,0.05,0.13333333333333333,0.006666567903868229,0.006666666666666667,0.9999777785184911,2.222148150887726e-05,0.008888888888888889,2.2221481509099306e-05,2.220446049250313e-16,0.013333135807736459,,
pure_skew,2.0,1.0,0.2,0.1,0.13333333333333333,0.013332543294145679,0.013333333333333334,0.9999111229612074,8.887703879256748e-05,0.008888888888888889,8.887703879278952e-05,2.220446049250313e-16,0.026665086588291358,,
pure_skew,2.0,1.0,0.2,0.2,0.13333333333333333,0.026660348374597954,0.02666666666666667,0.9996446339617708,0.0003553660382291657,0.008888888888888889,0.0003553660382292767,1.1102230246251565e-16,0.0533206967491959,,
pure_skew,2.0,1.0,0.2,0.4,0.13333333333333333,0.05328285155969237,0.05333333333333334,0.9985808046778265,0.0014191953221734943,0.008888888888888889,0.0014191953221733833,1.1102230246251565e-16,0.10656570311938474,,
pure_skew,2.0,1.0,0.2,0.6,0.13333333333333333,0.07982998571223732,0.08,0.996815278536125,0.003184721463875051,0.008888888888888889,0.003184721463875162,1.1102230246251565e-16,0.15965997142447463,,
pure_skew,2.0,1.0,0.2,0.8,0.13333333333333333,0.10626486289107881,0.10666666666666667,0.9943592005519288,0.005640799448071165,0.008888888888888889,0.005640799448071276,1.1102230246251565e-16,0.21252972578215762,,
pure_skew,2.0,1.0,0.2,1.0,0.13333333333333333,0.13255153229667402,0.13333333333333333,0.9912279006826348,0.008772099317365223,0.008888888888888889,0.008772099317365445,2.220446049250313e-16,0.265103064593348,,
pure_skew,2.0,1.0,0.2,1.25,0.13333333333333333,0.16514867741462683,0.16666666666666666,0.9863939238321439,0.01360607616785614,0.008888888888888889,0.013606076167856251,1.1102230246251565e-16,0.3302973548292536,,
pure_skew,2.0,1.0,0.2,1.5,0.13333333333333333,0.19739555984988078,0.2,0.9805806756909201,0.01941932430907989,0.008888888888888889,0.01941932430907989,0.0,0.3947911196997616,,
pure_skew,2.3,0.6,0.4,0.05,0.27586206896551724,0.01379222883683349,0.013793103448275862,0.999904888719587,9.511128041295169e-05,0.03804994054696789,9.511128041295169e-05,0.0,0.027584457673666983,,
pure_skew,2.3,0.6,0.4,0.1,0.27586206896551724,0.02757921239974079,0.027586206896551724,0.9996197176265968,0.0003802823734031513,0.03804994054696789,0.00038028237340337334,2.220446049250313e-16,0.05515842479948159,,
pure_skew,2.3,0.6,0.4,0.2,0.27586206896551724,0.055116534294087326,0.05517241379310345,0.9984814683024948,0.0015185316975051544,0.03804994054696789,0.0015185316975050434,1.1102230246251565e-16,0.11023306858817468,,
pure_skew,2.3,0.6,0.4,0.4,0.27586206896551724,0.10990021904748945,0.1103448275862069,0.9939670467920692,0.006032953207930847,0.03804994054696789,0.006032953207930847,0.0,0.21980043809497896,,
pure_skew,2.3,0.6,0.4,0.6,0.27586206896551724,0.16403010964847992,0.16551724137931034,0.9865771981168434,0.013422801883156588,0.03804994054696789,0.013422801883156588,0.0,0.32806021929695983,,
pure_skew,2.3,0.6,0.4,0.8,0.27586206896551724,0.21720802653344312,0.2206896551724138,0.9765029362419206,0.023497063758079362,0.03804994054696789,0.023497063758079584,2.220446049250313e-16,0.43441605306688624,,
pure_skew,2.3,0.6,0.4,1.0,0.27586206896551724,0.26916749278570046,0.27586206896551724,0.9639926182060737,0.03600738179392626,0.03804994054696789,0.036007381793926374,1.1102230246251565e-16,0.5383349855714009,,
pure_skew,2.3,0.6,0.4,1.25,0.27586206896551724,0.3320594675428855,0.3448275862068966,0.945372981626272,0.054627018373727965,0.03804994054696789,0.054627018373727854,1.1102230246251565e-16,0.664118935085771,,
pure_skew,2.3,0.6,0.4,1.5,0.27586206896551724,0.3923401442155158,0.41379310344827586,0.9240168324218909,0.07598316757810908,0.03804994054696789,0.0759831675781093,2.220446049250313e-16,0.7846802884310315,,
pure_skew,0.9,0.35,0.3,0.05,0.48,0.023995393591869883,0.024,0.9997121243563105,0.0002878756436894836,0.1152,0.00028787564368970564,2.220446049250313e-16,0.047990787183739766,,
pure_skew,0.9,0.35,0.3,0.1,0.48,0.0479631868770767,0.048,0.9988499868416297,0.0011500131583702666,0.1152,0.0011500131583701556,1.1102230246251565e-16,0.09592637375415342,,
pure_skew,0.9,0.35,0.3,0.2,0.48,0.09570670808680372,0.096,0.9954236078405162,0.0045763921594838,0.1152,0.004576392159483689,1.1102230246251565e-16,0.19141341617360746,,
pure_skew,0.9,0.35,0.3,0.4,0.48,0.18969155202238064,0.192,0.9820624415465404,0.017937558453459568,0.1152,0.01793755845345968,1.1102230246251565e-16,0.3793831040447613,,
pure_skew,0.9,0.35,0.3,0.6,0.48,0.2804115882833608,0.288,0.9609416121632366,0.03905838783676341,0.1152,0.03905838783676363,2.220446049250313e-16,0.5608231765667216,,
pure_skew,0.9,0.35,0.3,0.8,0.48,0.3666376408401143,0.384,0.9335379540856628,0.06646204591433724,0.1152,0.06646204591433746,2.220446049250313e-16,0.7332752816802286,,
pure_skew,0.9,0.35,0.3,1.0,0.48,0.44751997515716985,0.48,0.9015230574682737,0.09847694253172634,0.1152,0.09847694253172645,1.1102230246251565e-16,0.8950399503143397,,
pure_skew,0.9,0.35,0.3,1.25,0.48,0.5404195002705842,0.6,0.8574929257125443,0.14250707428745568,0.1152,0.1425070742874559,2.220446049250313e-16,1.080839000541168,,
pure_skew,0.9,0.35,0.3,1.5,0.48,0.6240230529767569,0.72,0.8115343414514943,0.18846565854850572,0.1152,0.1884656585485056,1.1102230246251565e-16,1.2480461059535135,,
pure_skew,0.3,0.08,0.15,0.05,0.7894736842105263,0.03945320109703949,0.03947368421052632,0.9992218234090149,0.0007781765909851135,0.31163434903047094,0.0007781765909851135,0.0,0.07890640219407898,,
pure_skew,0.3,0.08,0.15,0.1,0.7894736842105263,0.07878396098914381,0.07894736842105264,0.9968981486534686,0.0031018513465314035,0.31163434903047094,0.0031018513465316255,2.220446049250313e-16,0.1575679219782876,,
pure_skew,0.3,0.08,0.15,0.2,0.7894736842105263,0.1566018769820154,0.15789473684210528,0.987762965329069,0.012237034670930957,0.31163434903047094,0.012237034670930846,1.1102230246251565e-16,0.3132037539640308,,
pure_skew,0.3,0.08,0.15,0.4,0.7894736842105263,0.3058788714048522,0.31578947368421056,0.9535826651341417,0.046417334865858306,0.31163434903047094,0.046417334865858306,0.0,0.6117577428097043,,
pure_skew,0.3,0.08,0.15,0.6,0.7894736842105263,0.4423742229767449,0.47368421052631576,0.9037378388935388,0.09626216110646124,0.31163434903047094,0.09626216110646146,2.220446049250313e-16,0.8847484459534899,,
pure_skew,0.3,0.08,0.15,0.8,0.7894736842105263,0.5633162614919682,0.6315789473684211,0.8454889030309711,0.15451109696902887,0.31163434903047094,0.15451109696902898,1.1102230246251565e-16,1.1266325229839365,,
pure_skew,0.3,0.08,0.15,1.0,0.7894736842105263,0.668289418830584,0.7894736842105263,0.7848827655334262,0.21511723446657383,0.31163434903047094,0.21511723446657394,1.1102230246251565e-16,1.3365788376611683,,
