seed,update,parameter_id,method,selected_mode_pairs,full_error_distortion_t1,top5_combined_distortion_t1,sum_top5_isolated_distortions_t1,actual_interaction_vs_sum,full_s_perp,top5_combined_s_perp,sum_top5_isolated_s_perp_sq,frechet_cross_term_s_perp_sq
0,128,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,5,0.20371752049410508,0.0030692722445861964,0.0030750100670403624,-5.737822454165986e-06,0.796287576727208,0.08147926018086908,0.006638869839112042,5.097155336697412e-13
1,128,transformer.h.0.attn.c_attn.weight,structural_vq64_int3_k8,5,0.20729907140845505,0.0025835213970148985,0.002587419898174348,-3.898501159449452e-06,0.8080900447210827,0.07427265846700849,0.005516427795885764,-1.2887607647726895e-13
1,4096,transformer.h.5.mlp.c_proj.weight,structural_vq64_int3_k8,5,0.05761389818042917,5.2731612180112464e-05,5.2797392834147416e-05,-6.578065403495259e-08,0.34266960817579445,0.010291766103060594,0.00010592044737106378,2.1490432588859576e-12
