predictor,pearson_vs_common_curve_residual,spearman_vs_common_curve_residual,n
sigma_min_active_over_max,0.19757570518307946,0.04088789776984901,10800
condition_active,-0.09654005992371018,-0.04088789776984901,10800
tail_spectral_mass,0.19342411093921494,0.041452554887314336,10800
error_norm,-0.09030310100675548,-0.02519005360761635,10800
state_error_relative_l2,-0.188679660002981,-0.12902268689927168,10800
