seed,update,parameter_id,method,n_t,monotone_non_decreasing,monotone_step_fraction,minimum_step_change,t1_distortion
0,128,transformer.h.2.mlp.w1.weight,structural_vq64_int3_k8,9,True,1.0,0.0008293227802663727,0.09297068170159928
0,128,transformer.h.2.mlp.w2.weight,direct_scalar_int4,9,True,1.0,0.002459329265940946,0.1866750308266517
0,128,transformer.h.2.mlp.w2.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.0013483321061971143,0.13357692124756015
0,128,transformer.h.2.mlp.w2.weight,structural_int4_k8,9,True,1.0,0.0008493413888751578,0.0904919928954423
0,128,transformer.h.2.mlp.w2.weight,structural_vq64_int3_k8,9,True,1.0,0.0008417447398832989,0.09406672152318818
0,128,transformer.h.2.mlp.c_proj.weight,direct_scalar_int4,9,True,1.0,0.003134603819430426,0.21798637023759249
0,128,transformer.h.2.mlp.c_proj.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.001576986167807659,0.14845788142700667
0,128,transformer.h.2.mlp.c_proj.weight,structural_int4_k8,9,True,1.0,0.0011750093427231878,0.11536474325919632
0,128,transformer.h.2.mlp.c_proj.weight,structural_vq64_int3_k8,9,True,1.0,0.001020397283039487,0.10872410119035258
0,128,transformer.h.3.attn.c_attn.weight,direct_scalar_int4,9,True,1.0,0.025746690835960262,0.5001678192075061
0,128,transformer.h.3.attn.c_attn.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.008134448777596837,0.3817537796316295
0,128,transformer.h.3.attn.c_attn.weight,structural_int4_k8,9,True,1.0,0.004582940555309389,0.29278244103446693
0,128,transformer.h.3.attn.c_attn.weight,structural_vq64_int3_k8,9,True,1.0,0.004393025842380882,0.2916662622507691
0,128,transformer.h.3.attn.c_proj.weight,direct_scalar_int4,9,True,1.0,0.026253952321492524,0.5081846170367312
0,128,transformer.h.3.attn.c_proj.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.008983848824789753,0.3946930904211081
0,128,transformer.h.3.attn.c_proj.weight,structural_int4_k8,9,True,1.0,0.005045468035999923,0.3081726962859408
0,128,transformer.h.3.attn.c_proj.weight,structural_vq64_int3_k8,9,True,1.0,0.004764003413034401,0.3051980673887752
0,128,transformer.h.3.mlp.w1.weight,direct_scalar_int4,9,True,1.0,0.003408082942230606,0.22670425728134203
0,128,transformer.h.3.mlp.w1.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.001701423260536128,0.1586552344203438
0,128,transformer.h.3.mlp.w1.weight,structural_int4_k8,9,True,1.0,0.0010535582715324177,0.10838019264133614
0,128,transformer.h.3.mlp.w1.weight,structural_vq64_int3_k8,9,True,1.0,0.0010305231171826579,0.1113774441061931
0,128,transformer.h.3.mlp.w2.weight,direct_scalar_int4,9,True,1.0,0.003514201851125387,0.23091819488888243
0,128,transformer.h.3.mlp.w2.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.0018286270709979568,0.16735364320306734
0,128,transformer.h.3.mlp.w2.weight,structural_int4_k8,9,True,1.0,0.001139324426629007,0.1159023041246936
0,128,transformer.h.3.mlp.w2.weight,structural_vq64_int3_k8,9,True,1.0,0.0011347712207855354,0.12118647540438388
0,128,transformer.h.3.mlp.c_proj.weight,direct_scalar_int4,9,True,1.0,0.0035647811352849113,0.2351681118636355
0,128,transformer.h.3.mlp.c_proj.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.0015883070262678878,0.15029459182565263
0,128,transformer.h.3.mlp.c_proj.weight,structural_int4_k8,9,True,1.0,0.0011586226185903437,0.11452225055339482
0,128,transformer.h.3.mlp.c_proj.weight,structural_vq64_int3_k8,9,True,1.0,0.0009948130437705816,0.10747427452322655
0,128,transformer.h.4.attn.c_attn.weight,direct_scalar_int4,9,True,1.0,0.026996082618992445,0.513594097038337
0,128,transformer.h.4.attn.c_attn.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.007176121786271694,0.36802097680680357
0,128,transformer.h.4.attn.c_attn.weight,structural_int4_k8,9,True,1.0,0.00410074721755771,0.2822413156929261
0,128,transformer.h.4.attn.c_attn.weight,structural_vq64_int3_k8,9,True,1.0,0.0038115211713232178,0.2748061392775464
0,128,transformer.h.4.attn.c_proj.weight,direct_scalar_int4,9,True,1.0,0.028630212688341428,0.5242790836983833
0,128,transformer.h.4.attn.c_proj.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.008097258543476538,0.3846532836561173
0,128,transformer.h.4.attn.c_proj.weight,structural_int4_k8,9,True,1.0,0.004700594529647106,0.30017946711698507
0,128,transformer.h.4.attn.c_proj.weight,structural_vq64_int3_k8,9,True,1.0,0.004288931302816379,0.28984132263379203
0,128,transformer.h.4.mlp.w1.weight,direct_scalar_int4,9,True,1.0,0.004620446496664599,0.26606037706850294
0,128,transformer.h.4.mlp.w1.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.0020579504531874626,0.18439111753144477
0,128,transformer.h.4.mlp.w1.weight,structural_int4_k8,9,True,1.0,0.001263670913239423,0.1253815725929598
0,128,transformer.h.4.mlp.w1.weight,structural_vq64_int3_k8,9,True,1.0,0.0012524595722006593,0.13139966475510834
0,128,transformer.h.4.mlp.w2.weight,direct_scalar_int4,9,True,1.0,0.004532779929109387,0.26126598969750126
0,128,transformer.h.4.mlp.w2.weight,structural_scalar_int3_p98_k8,9,True,1.0,0.0020748308371209,0.18266884591809796
