seed,update,parameter_id,parameter_name,shape,raw_relative_l2,raw_cosine,update_error,polar_update_error,effective_rank,baseline_update_cosine,baseline_update_relative_l2,polar_update_cosine
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",0.17813079059123993,0.984199583530426,0.37573742866516113,0.3433516025543213,384,0.6242625713348389,0.8662538528442383,0.6566483974456787
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",0.1900058537721634,0.9819839596748352,0.42195767164230347,0.44990092515945435,384,0.5780423283576965,0.9399250745773315,0.5500990748405457
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",0.18733878433704376,0.9824833273887634,0.08572065830230713,0.0878261923789978,384,0.9142793416976929,0.4166063070297241,0.9121738076210022
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",0.18681688606739044,0.9825870990753174,0.08548682928085327,0.0881187915802002,384,0.9145131707191467,0.4161347448825836,0.9118812084197998
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",0.22116975486278534,0.9754047989845276,0.15611392259597778,0.16393548250198364,384,0.8438860774040222,0.5611578822135925,0.8360645174980164
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",0.18376359343528748,0.9831404089927673,0.43112969398498535,0.4215158224105835,384,0.5688703060150146,0.9444178342819214,0.5784841775894165
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",0.18688231706619263,0.9825796484947205,0.46144455671310425,0.5034363865852356,384,0.5385554432868958,0.9973449110984802,0.4965636134147644
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",0.19061550498008728,0.9818564653396606,0.12389463186264038,0.12885528802871704,384,0.8761053681373596,0.499017596244812,0.871144711971283
0,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"[1024, 384]",0.19078850746154785,0.9818307757377625,0.12499600648880005,0.13056719303131104,384,0.8750039935112,0.5012667179107666,0.869432806968689
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"[384, 1024]",0.2299676388502121,0.9732839465141296,0.19947999715805054,0.2022087574005127,384,0.8005200028419495,0.6287870407104492,0.7977912425994873
0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",0.18812666833400726,0.9823247194290161,0.4692280888557434,0.471760630607605,384,0.5307719111442566,0.9996792078018188,0.528239369392395
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",0.1924431174993515,0.9815079569816589,0.4919874668121338,0.5372907817363739,384,0.5080125331878662,1.04104483127594,0.4627092182636261
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",0.19071868062019348,0.9818148612976074,0.1823522448539734,0.1762692928314209,384,0.8176477551460266,0.5978706479072571,0.8237307071685791
0,128,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"[1024, 384]",0.19136880338191986,0.9817337989807129,0.18667012453079224,0.179659903049469,384,0.8133298754692078,0.6043349504470825,0.820340096950531
0,128,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"[384, 1024]",0.22534488141536713,0.9743679165840149,0.21798193454742432,0.21630430221557617,384,0.7820180654525757,0.6540921926498413,0.7836956977844238
0,128,transformer.h.3.attn.c_attn.weight,transformer.h.3.attn.c_attn.weight,"[1152, 384]",0.1992119997739792,0.9801381826400757,0.5001667737960815,0.516154021024704,384,0.49983322620391846,1.045671820640564,0.483845978975296
0,128,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"[384, 384]",0.19287680089473724,0.9814147353172302,0.5081837773323059,0.5551920533180237,384,0.4918162226676941,1.0638861656188965,0.4448079466819763
0,128,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",0.18826396763324738,0.9823282361030579,0.22670042514801025,0.20943206548690796,384,0.7732995748519897,0.6603936553001404,0.790567934513092
0,128,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"[1024, 384]",0.18625923991203308,0.982681930065155,0.23091208934783936,0.20872902870178223,384,0.7690879106521606,0.6642628312110901,0.7912709712982178
0,128,transformer.h.3.mlp.c_proj.weight,transformer.h.3.mlp.c_proj.weight,"[384, 1024]",0.22489292919635773,0.9744769334793091,0.23516297340393066,0.2298474907875061,384,0.7648370265960693,0.6780970692634583,0.7701525092124939
0,128,transformer.h.4.attn.c_attn.weight,transformer.h.4.attn.c_attn.weight,"[1152, 384]",0.18866373598575592,0.9822251200675964,0.5135930776596069,0.5364750027656555,384,0.48640692234039307,1.0690826177597046,0.4635249972343445
0,128,transformer.h.4.attn.c_proj.weight,transformer.h.4.attn.c_proj.weight,"[384, 384]",0.19307395815849304,0.9813591241836548,0.5242783725261688,0.5733542442321777,384,0.4757216274738312,1.0856568813323975,0.42664575576782227
0,128,transformer.h.4.mlp.w1.weight,transformer.h.4.mlp.w1.weight,"[1024, 384]",0.18852896988391876,0.9822323322296143,0.2660559415817261,0.23981022834777832,384,0.7339440584182739,0.7095724940299988,0.7601897716522217
0,128,transformer.h.4.mlp.w2.weight,transformer.h.4.mlp.w2.weight,"[1024, 384]",0.18941837549209595,0.9820935726165771,0.2612614631652832,0.23746824264526367,384,0.7387385368347168,0.703188955783844,0.7625317573547363
0,128,transformer.h.4.mlp.c_proj.weight,transformer.h.4.mlp.c_proj.weight,"[384, 1024]",0.21865621209144592,0.9759160876274109,0.25443798303604126,0.24388402700424194,384,0.7455620169639587,0.7015199661254883,0.7561159729957581
0,128,transformer.h.5.attn.c_attn.weight,transformer.h.5.attn.c_attn.weight,"[1152, 384]",0.1879076510667801,0.9823610782623291,0.5366685092449188,0.5675475001335144,384,0.4633314907550812,1.1027864217758179,0.4324524998664856
0,128,transformer.h.5.attn.c_proj.weight,transformer.h.5.attn.c_proj.weight,"[384, 384]",0.18804746866226196,0.9823344349861145,0.5589013993740082,0.6160545647144318,384,0.4410986006259918,1.1408506631851196,0.38394543528556824
0,128,transformer.h.5.mlp.w1.weight,transformer.h.5.mlp.w1.weight,"[1024, 384]",0.18690404295921326,0.9825521111488342,0.2997850179672241,0.267015278339386,384,0.7002149820327759,0.7494101524353027,0.732984721660614
0,128,transformer.h.5.mlp.w2.weight,transformer.h.5.mlp.w2.weight,"[1024, 384]",0.18789219856262207,0.9823580980300903,0.2966993451118469,0.2650794982910156,384,0.7033006548881531,0.7453073859214783,0.7349205017089844
0,128,transformer.h.5.mlp.c_proj.weight,transformer.h.5.mlp.c_proj.weight,"[384, 1024]",0.22857670485973358,0.9736018180847168,0.28486955165863037,0.2690674662590027,384,0.7151304483413696,0.7389942407608032,0.7309325337409973
0,512,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",0.182791069149971,0.9833477139472961,0.4108702540397644,0.3821392059326172,384,0.5891297459602356,0.91032475233078,0.6178607940673828
0,512,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",0.19148167967796326,0.9816883206367493,0.44084906578063965,0.4666900634765625,384,0.5591509342193604,0.9624216556549072,0.5333099365234375
0,512,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",0.187323197722435,0.9824904203414917,0.0768858790397644,0.07884091138839722,384,0.9231141209602356,0.39399394392967224,0.9211590886116028
0,512,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",0.1891905814409256,0.9821022748947144,0.07746660709381104,0.07935357093811035,384,0.922533392906189,0.3954657018184662,0.9206464290618896
0,512,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",0.22068998217582703,0.9754934906959534,0.11417853832244873,0.12061983346939087,384,0.8858214616775513,0.4812588095664978,0.8793801665306091
0,512,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",0.18704670667648315,0.9825369119644165,0.42888742685317993,0.41047561168670654,384,0.5711125731468201,0.9342045783996582,0.5895243883132935
0,512,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",0.1844218522310257,0.9830532073974609,0.44872117042541504,0.48605239391326904,384,0.551278829574585,0.9827387928962708,0.513947606086731
0,512,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",0.1929456889629364,0.9814074635505676,0.08831584453582764,0.09377413988113403,384,0.9116841554641724,0.42246970534324646,0.906225860118866
0,512,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"[1024, 384]",0.19391067326068878,0.9811890721321106,0.09132081270217896,0.09730809926986694,384,0.908679187297821,0.4294179081916809,0.9026919007301331
0,512,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"[384, 1024]",0.22540171444416046,0.9743581414222717,0.12262928485870361,0.12954914569854736,384,0.8773707151412964,0.4987705647945404,0.8704508543014526
0,512,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",0.19258613884449005,0.9814459085464478,0.46959394216537476,0.4609510898590088,384,0.5304060578346252,0.9936093091964722,0.5390489101409912
0,512,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",0.19195114076137543,0.9815993905067444,0.4786716103553772,0.519203245639801,384,0.5213283896446228,1.0201696157455444,0.480796754360199
0,512,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",0.1899767965078354,0.9819936156272888,0.09958690404891968,0.1060832142829895,384,0.9004130959510803,0.4478406310081482,0.8939167857170105
0,512,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"[1024, 384]",0.1921621710062027,0.9815189838409424,0.10836279392242432,0.11486601829528809,384,0.8916372060775757,0.46622878313064575,0.8851339817047119
0,512,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"[384, 1024]",0.22241376340389252,0.9750790596008301,0.11539798974990845,0.1212618350982666,384,0.8846020102500916,0.4838106334209442,0.8787381649017334
0,512,transformer.h.3.attn.c_attn.weight,transformer.h.3.attn.c_attn.weight,"[1152, 384]",0.19100676476955414,0.9817976355552673,0.48167097568511963,0.4754641056060791,384,0.5183290243148804,1.014466404914856,0.5245358943939209
0,512,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"[384, 384]",0.19435061514377594,0.9811315536499023,0.4848906993865967,0.5249209702014923,383,0.5151093006134033,1.027978539466858,0.4750790297985077
