seed,update,bin_label,kind,invalid,sensitivity_update_l2,sensitivity_update_cosine_error,polar_sensitivity_update_l2,polar_sensitivity_update_cosine_error,aggregation,samples
0,128,"[-0.5,0)",magnitude,False,0.6702492828480899,-0.00286102294921875,0.004604775313055143,-0.0029802322387695312,,
0,128,"[-0.5,0)",orientation,False,0.09886047337204218,-0.003337860107421875,0.10125587868969887,-0.0032186508178710938,,
0,128,"[-1,-0.5)",magnitude,False,1.0727113112807274,-0.00286102294921875,0.004570821602101205,-0.0032186508178710938,,
0,128,"[-1,-0.5)",orientation,False,0.29607018223032355,-0.0034570693969726562,0.30954257817938924,-0.0032186508178710938,,
0,128,"[-1.5,-1)",magnitude,False,2.238102024421096,-0.0007152557373046875,0.004558728505799081,-0.0030994415283203125,,
0,128,"[-1.5,-1)",orientation,False,0.8781728683970869,-0.00286102294921875,0.8869695011526346,-0.00286102294921875,,
0,128,"[-2,-1.5)",magnitude,False,6.469971500337124,0.01817941665649414,0.0046631898840132635,-0.0029802322387695312,,
0,128,"[-2,-1.5)",orientation,False,2.1254303865134716,-0.0013113021850585938,2.7631258126348257,0.0007152557373046875,,
0,128,"[-2.5,-2)",magnitude,False,13.893760740756989,0.07599592208862305,0.004488965714699589,-0.0030994415283203125,,
0,128,"[-2.5,-2)",orientation,False,9.630543179810047,0.0432133674621582,8.67481715977192,0.03409385681152344,,
0,128,"[-3,-2.5)",magnitude,False,21.100781857967377,0.209808349609375,0.004413783699419582,-0.0029802322387695312,,
0,128,"[-3,-2.5)",orientation,False,23.9255428314209,0.28246641159057617,27.933211997151375,0.38689374923706055,,
0,128,"[-3.5,-3)",magnitude,False,28.55699323117733,0.4044771194458008,0.0113546775537543,-0.0013113021850585938,,
0,128,"[-3.5,-3)",orientation,False,28.759362176060677,0.41216611862182617,91.99126809835434,4.230082035064697,,
0,128,"[-4,-3.5)",magnitude,False,28.769023716449738,0.4115104675292969,0.011242249456699938,-0.0010728836059570312,,
0,128,"[-4,-3.5)",orientation,True,0.006088026566430926,-0.001430511474609375,0.013227015188022051,-0.0011920928955078125,,
0,128,"[-4.5,-4)",magnitude,False,28.377145528793335,0.4010796546936035,0.011309284673188813,-0.0013113021850585938,,
0,128,"[-4.5,-4)",orientation,True,0.006088026566430926,-0.001430511474609375,0.013227015188022051,-0.0011920928955078125,,
0,128,"[-5,-4.5)",magnitude,False,28.15016731619835,0.39505958557128906,0.012725132364721503,-0.0008344650268554688,,
0,128,"[-5,-4.5)",orientation,True,0.006088026566430926,-0.001430511474609375,0.013227015188022051,-0.0011920928955078125,,
0,128,"[-5.5,-5)",magnitude,False,29.738623648881912,0.4418492317199707,0.023440015866071917,-0.0010728836059570312,,
0,128,"[-5.5,-5)",orientation,True,0.007681436727580149,5.9604644775390625e-05,0.025945439119823277,-0.0013113021850585938,,
0,128,"[-6,-5.5)",magnitude,False,28.903832659125328,0.4163384437561035,0.019062244973611087,-0.0007152557373046875,,
0,128,"[-6,-5.5)",orientation,True,0.006911907348694513,-0.0016689300537109375,0.02144464451703243,-0.0005960464477539062,,
