rank,offset,calibration_seed,calibration_tensor_count,mean_update_cosine
4,0.0,0,12,0.7183984766403834
4,0.09817477042468103,0,12,0.7184204409519831
4,0.19634954084936207,0,12,0.7175952941179276
4,0.2945243112740431,0,12,0.7174717535575231
8,0.0,0,12,0.7541337857643763
8,0.09817477042468103,0,12,0.7546180039644241
8,0.19634954084936207,0,12,0.7546212176481882
8,0.2945243112740431,0,12,0.7547171215216318
