seed,update,parameter_id,parameter_name,shape,numel,rank,method,evaluation_scope,pairing,codewords,nominal_bits_per_value,scale,paired_vectors,singleton_values,zero_pair_fraction,codebook_occupied,mean_vector_error,mean_alpha,storage_ratio_vs_fp32_unamortized,persistent_bits_unamortized,shared_codebook_bits,fp32_bits,vector_mean_magnitude_relative_error,vector_mean_direction_cosine,vector_mean_angular_error_deg,vector_small_norm_magnitude_error,vector_large_norm_magnitude_error,residual_relative_l2,residual_cosine,residual_norm_ratio,full_state_raw_relative_l2,full_state_raw_cosine,full_state_raw_norm_ratio,update_relative_l2,update_cosine,update_norm_ratio,evaluation_wall_seconds,source_seed_role,scalar_int3_update_cosine,delta_vs_scalar_int3,structural_int4_update_cosine,exact_polar_relative_l2,exact_polar_cosine,exact_polar_norm_ratio,spectral_danger_diagonal_fraction_error,spectral_danger_cross_fraction_error,spectral_danger_associated_fraction_error,spectral_local_mixing_fraction_error,spectral_medium_mixing_fraction_error,spectral_distant_mixing_fraction_error,spectral_danger_diagonal_energy,spectral_danger_cross_energy
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",442368,4,mse64_contiguous,all_tensors,contiguous,64,3.0,p98,221184,0,0.018152307718992233,64,4.641798295779154e-05,0.0005045050056651235,0.1014873363353588,1436632,4096,14155776,0.1564563810825348,0.9645070433616638,9.602459907531738,0.18502189218997955,0.1278913915157318,0.18844671547412872,0.9822115898132324,0.9665931463241577,0.11304818838834763,0.9936090111732483,0.9876424074172974,0.706601619720459,0.7528454661369324,1.0098625421524048,0.5913614100136328,calibration,0.6820143461227417,0.07083112001419067,0.7494097948074341,,,,,,,,,,,
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",442368,4,mse64_row,all_tensors,row,64,3.0,p98,221184,0,0.018152307718992233,64,4.641798295779154e-05,0.0005045050056651235,0.1014873363353588,1436632,4096,14155776,0.1564563810825348,0.9645070433616638,9.602459907531738,0.18502189218997955,0.1278913915157318,0.18844671547412872,0.9822115898132324,0.9665931463241577,0.11304818838834763,0.9936090111732483,0.9876424074172974,0.706601619720459,0.7528454661369324,1.0098625421524048,0.6181193740048911,calibration,0.6820143461227417,0.07083112001419067,,,,,,,,,,,,
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",442368,4,mse64_column,all_tensors,column,64,3.0,p98,221184,0,0.3928765058517456,64,6.657323683612049e-05,0.0009756676154211164,0.1014873363353588,1436632,4096,14155776,0.5259523987770081,0.5767905116081238,43.35419845581055,0.8529331088066101,0.1989775449037552,0.23591724038124084,0.9732587337493896,0.9195176959037781,0.14150702953338623,0.9901137351989746,0.9714916944503784,0.8509262204170227,0.645850658416748,1.0216079950332642,0.8031707170011941,calibration,0.6820143461227417,-0.03616368770599365,,,,,,,,,,,,
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",442368,4,mse64_checkerboard,all_tensors,checkerboard,64,3.0,p98,221184,0,0.01679144985973835,64,4.6610784920630977e-05,0.0005044520949013531,0.1014873363353588,1436632,4096,14155776,0.1541566103696823,0.9663650393486023,9.395573616027832,0.18080966174602509,0.12750405073165894,0.18877921998500824,0.9821551442146301,0.965903639793396,0.11324429512023926,0.9935869574546814,0.9876171350479126,0.7111610770225525,0.7498849034309387,1.0107907056808472,0.6577159390144516,calibration,0.6820143461227417,0.06787055730819702,,,,,,,,,,,,
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",442368,8,mse64_contiguous,all_tensors,contiguous,64,3.0,p98,221184,0,0.01920572854578495,64,3.8974310882622376e-05,0.0004206756129860878,0.10843630190248843,1535000,4096,14155776,0.1600007265806198,0.9639045000076294,9.491714477539062,0.1903763711452484,0.12962563335895538,0.18618875741958618,0.9826247096061707,0.9679664969444275,0.09271635860204697,0.9957005381584167,0.9921013116836548,0.6408795118331909,0.797540545463562,1.0138554573059082,0.5740081190015189,calibration,0.7172489762306213,0.08029156923294067,0.7975981831550598,,,,,,,,,,,
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",442368,8,mse64_row,all_tensors,row,64,3.0,p98,221184,0,0.01920572854578495,64,3.8974310882622376e-05,0.0004206756129860878,0.10843630190248843,1535000,4096,14155776,0.1600007265806198,0.9639045000076294,9.491714477539062,0.1903763711452484,0.12962563335895538,0.18618875741958618,0.9826247096061707,0.9679664969444275,0.09271635860204697,0.9957005381584167,0.9921013116836548,0.6408795118331909,0.797540545463562,1.0138554573059082,0.7087168529978953,calibration,0.7172489762306213,0.08029156923294067,,,,,,,,,,,,
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",442368,8,mse64_column,all_tensors,column,64,3.0,p98,221184,0,0.38129791617393494,64,5.6747197959339246e-05,0.0008051159675233066,0.10843630190248843,1535000,4096,14155776,0.5174258947372437,0.5880012512207031,42.42326354980469,0.8467673063278198,0.18809036910533905,0.23482653498649597,0.9733661413192749,0.9225326776504517,0.11693045496940613,0.9932170510292053,0.9809973835945129,0.7922614812850952,0.6949747204780579,1.0276331901550293,0.7185541219951119,calibration,0.7172489762306213,-0.022274255752563477,,,,,,,,,,,,
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",442368,8,mse64_checkerboard,all_tensors,checkerboard,64,3.0,p98,221184,0,0.017962420359253883,64,3.9093611121643335e-05,0.00042158778524026275,0.10843630190248843,1535000,4096,14155776,0.15825054049491882,0.9655567407608032,9.313241004943848,0.18677321076393127,0.12972839176654816,0.1860821545124054,0.9826544523239136,0.9675317406654358,0.09266292303800583,0.9957081079483032,0.9915148019790649,0.6448084115982056,0.7948479652404785,1.012923240661621,0.6302248550055083,calibration,0.7172489762306213,0.07759898900985718,,,,,,,,,,,,
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",147456,4,mse64_contiguous,all_tensors,contiguous,64,3.0,p98,73728,0,0.012600368820130825,64,0.00037861833698116243,0.004085681401193142,0.10556877983940972,498136,4096,4718592,0.141873300075531,0.972693681716919,8.5838623046875,0.1848526895046234,0.09889625757932663,0.18557339906692505,0.982751190662384,0.9674564599990845,0.10867170244455338,0.9940938949584961,0.9887050986289978,0.7709134221076965,0.7178777456283569,1.0490186214447021,0.2081163710099645,calibration,0.6440421342849731,0.07383561134338379,0.7211350798606873,,,,,,,,,,,
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",147456,4,mse64_row,all_tensors,row,64,3.0,p98,73728,0,0.012600368820130825,64,0.00037861833698116243,0.004085681401193142,0.10556877983940972,498136,4096,4718592,0.141873300075531,0.972693681716919,8.5838623046875,0.1848526895046234,0.09889625757932663,0.18557339906692505,0.982751190662384,0.9674564599990845,0.10867170244455338,0.9940938949584961,0.9887050986289978,0.7709134221076965,0.7178777456283569,1.0490186214447021,0.20535953200305812,calibration,0.6440421342849731,0.07383561134338379,,,,,,,,,,,,
