seed,update,parameter_id,parameter_name,shape,numel,rank,method,evaluation_scope,pairing,codewords,nominal_bits_per_value,scale,paired_vectors,singleton_values,zero_pair_fraction,codebook_occupied,mean_vector_error,mean_alpha,storage_ratio_vs_fp32_unamortized,persistent_bits_unamortized,shared_codebook_bits,fp32_bits,vector_mean_magnitude_relative_error,vector_mean_direction_cosine,vector_mean_angular_error_deg,vector_small_norm_magnitude_error,vector_large_norm_magnitude_error,residual_relative_l2,residual_cosine,residual_norm_ratio,full_state_raw_relative_l2,full_state_raw_cosine,full_state_raw_norm_ratio,update_relative_l2,update_cosine,update_norm_ratio,evaluation_wall_seconds,source_seed_role,scalar_int3_update_cosine,delta_vs_scalar_int3,structural_int4_update_cosine,exact_polar_relative_l2,exact_polar_cosine,exact_polar_norm_ratio,spectral_danger_diagonal_fraction_error,spectral_danger_cross_fraction_error,spectral_danger_associated_fraction_error,spectral_local_mixing_fraction_error,spectral_medium_mixing_fraction_error,spectral_distant_mixing_fraction_error,spectral_danger_diagonal_energy,spectral_danger_cross_energy,storage_ratio_amortized_global_codebook
1,512,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",147456,4,spectral_local_mse64,seed1_sample,spectral-local,64,3.0,p98,73728,0,0.01703559048473835,,,,2.10556877983941,9935320,4096,4718592,,,,,,0.9999995827674866,0.2736676037311554,1.225841742780176e-06,0.6071682572364807,0.7945747375488281,0.7936211824417114,0.9956842064857483,0.09404993802309036,0.10929642617702484,,,,,,,,,,,,,,,,,1.5302884056454613
1,512,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",147456,8,spectral_local_mse64,seed1_sample,spectral-local,64,3.0,p98,73728,0,0.0169677734375,,,,2.115999009874132,9984536,4096,4718592,,,,,,0.9999996423721313,0.2658858001232147,1.4909260244166944e-06,0.49725496768951416,0.8676061630249023,0.8666934370994568,0.9897356629371643,0.14405831694602966,0.16223248839378357,,,,,,,,,,,,,,,,,1.5377346947079613
1,512,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",393216,4,spectral_local_mse64,seed1_sample,spectral-local,64,3.0,p98,73728,0,0.0169406458735466,,,,1.476742426554362,18581720,4096,12582912,,,,,,0.9999997019767761,0.1786031872034073,1.3823679410052137e-06,0.7351779937744141,0.6778797507286072,0.6764752864837646,0.9968980550765991,0.08451266586780548,0.11532168835401535,,,,,,,,,,,,,,,,,1.5302884056454613
1,512,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",393216,8,spectral_local_mse64,seed1_sample,spectral-local,64,3.0,p98,73728,0,0.01741536520421505,,,,1.483908971150716,18671896,4096,12582912,,,,,,0.9999997019767761,0.1726699322462082,1.4833876775810495e-06,0.6857876181602478,0.7278076410293579,0.7265345454216003,0.9939643740653992,0.11670661717653275,0.15652593970298767,,,,,,,,,,,,,,,,,1.5377346947079613
1,512,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"(1024, 384)",393216,4,spectral_local_mse64,seed1_sample,spectral-local,64,3.0,p98,73728,0,0.015109592117369175,,,,1.476742426554362,18581720,4096,12582912,,,,,,0.9999997615814209,0.16856129467487335,1.2834735798605834e-06,0.7418387532234192,0.6705843806266785,0.6715309619903564,0.9967328310012817,0.08596152067184448,0.1154133528470993,,,,,,,,,,,,,,,,,1.5302884056454613
1,512,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"(1024, 384)",393216,8,spectral_local_mse64,seed1_sample,spectral-local,64,3.0,p98,73728,0,0.0150010846555233,,,,1.483908971150716,18671896,4096,12582912,,,,,,0.9999997019767761,0.16292186081409454,1.3714706028622459e-06,0.6912161111831665,0.7226545214653015,0.7233778834342957,0.9935768246650696,0.11885586380958557,0.1552167385816574,,,,,,,,,,,,,,,,,1.5377346947079613
1,1024,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",442368,4,spectral_local_mse64,seed1_sample,spectral-local,64,3.0,p98,73728,0,0.0161268450319767,,,,1.434820669668692,20311000,4096,14155776,,,,,,0.9999997019767761,0.260617196559906,1.3708727237826679e-06,0.6148825883865356,0.78862065076828,0.7892566919326782,0.9963122606277466,0.08649370074272156,0.09739907085895538,,,,,,,,,,,,,,,,,1.5302884056454613
1,1024,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",442368,8,spectral_local_mse64,seed1_sample,spectral-local,64,3.0,p98,73728,0,0.01679144985973835,,,,1.4417696352358218,20409368,4096,14155776,,,,,,0.9999996423721313,0.2456599920988083,1.6647139773340314e-06,0.5136079788208008,0.8580266237258911,0.8585798144340515,0.9910614490509033,0.1334441602230072,0.13653744757175446,,,,,,,,,,,,,,,,,1.5377346947079613
1,1024,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",147456,4,spectral_local_mse64,seed1_sample,spectral-local,64,3.0,p98,73728,0,0.01654730923473835,,,,2.10556877983941,9935320,4096,4718592,,,,,,0.9999997615814209,0.24851591885089874,1.0965018191200215e-06,0.6440930366516113,0.7649503946304321,0.7664721608161926,0.9944922924041748,0.1076144129037857,0.1320667564868927,,,,,,,,,,,,,,,,,1.5302884056454613
1,1024,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",147456,8,spectral_local_mse64,seed1_sample,spectral-local,64,3.0,p98,73728,0,0.01689995639026165,,,,2.115999009874132,9984536,4096,4718592,,,,,,0.9999997019767761,0.2478768676519394,1.3142359875928378e-06,0.5210931301116943,0.8535023927688599,0.8549078106880188,0.9886447787284851,0.15027065575122833,0.15107519924640656,,,,,,,,,,,,,,,,,1.5377346947079613
