seed,update,parameter_id,parameter_name,shape,numel,k,codebook_family,method,candidate_scales_per_block,number_of_blocks,storage_ratio_vs_fp32,residual_relative_l2,residual_cosine,residual_mse,full_state_raw_relative_l2,full_state_raw_cosine,full_state_raw_norm_ratio,scale_over_absmax_mean,scale_over_absmax_median,scale_mean,block_absmax_mean,zero_fraction,clipping_fraction,mae,median_ae,mse,small_lt_001_mae,small_001_005_mae,middle_005_025_mae,large_ge_025_mae,small_lt_005_mae,block_count,update_relative_l2,update_cosine,update_norm_ratio,exact_polar_relative_l2,exact_polar_cosine,exact_polar_norm_ratio,estimated_block_passes,estimated_scale_reductions,scale_scalar_metadata_count,evaluation_wall_seconds,source_seed_role,transform_steps,mean_absolute_error
1,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",442368,4,mulaw_mu5,percentile:p=98,1,216,0.10119798448350695,0.24852657318115234,0.9708701372146606,5.408443026766463e-09,0.14542318880558014,0.989626407623291,1.0121172666549683,0.5879407525062561,0.5873066186904907,0.0004961544764228165,0.0008256714208982885,0.15559895833333334,0.02001953125,3.923748226952739e-05,1.2179123586975038e-05,5.408443026766463e-09,3.776491212192923e-06,2.2961021386436187e-05,3.335653309477493e-05,6.53253446216695e-05,1.9034281649510376e-05,216,0.803679883480072,0.6783909201622009,1.0041390657424927,,,,1,1,216,0.26431990099081304,held_out,5,
1,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",442368,8,global_lloyd_max,percentile:p=98,1,216,0.10814695005063657,0.24972262978553772,0.9683434963226318,3.829096151264366e-09,0.12237204611301422,0.9924869537353516,0.9941500425338745,0.5833743214607239,0.5877184271812439,0.0004210578044876456,0.0007113204919733107,0.19594545717592593,0.02001953125,3.290005406597629e-05,1.0897012543864548e-05,3.829096151264366e-09,3.295542455816758e-06,1.952446655195672e-05,2.3247386707225814e-05,6.364985165419057e-05,1.6220446923398413e-05,216,0.7635294795036316,0.7109185457229614,1.0082005262374878,,,,1,1,216,0.2215517979930155,held_out,5,
1,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",147456,4,mulaw_mu5,percentile:p=98,1,72,0.10470072428385417,0.2480544149875641,0.9711605310440063,1.7915895966780226e-07,0.1519855558872223,0.988761305809021,1.0160685777664185,0.6140455007553101,0.6173427700996399,0.0040298583917319775,0.006621880456805229,0.13307020399305555,0.02001953125,0.0003256951167713851,0.00025946670211851597,1.7915895966780226e-07,3.336914232932031e-05,0.0002049502363661304,0.0002828073629643768,0.00046805909369140863,0.00017030411981977522,72,0.8732725977897644,0.6370980143547058,1.0475808382034302,,,,1,1,72,0.08519586399779655,held_out,5,
1,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",147456,8,global_lloyd_max,percentile:p=98,1,72,0.1151309543185764,0.24858605861663818,0.9687012434005737,1.237019091604452e-07,0.12630976736545563,0.9920026063919067,0.996616005897522,0.6366614103317261,0.636082649230957,0.0033155602868646383,0.005245257634669542,0.16953531901041666,0.02001953125,0.0002657226868905127,0.00021043798187747598,1.237019091604452e-07,2.645819040481001e-05,0.0001578547671670094,0.0001943254319485277,0.0004250656929798424,0.000131120890728198,72,0.8240413069725037,0.6780316233634949,1.0505481958389282,,,,1,1,72,0.07499656800064258,held_out,5,
1,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",393216,4,mulaw_mu5,percentile:p=98,1,192,0.10141690572102864,0.26287686824798584,0.9663572311401367,7.3070225425908575e-09,0.18212632834911346,0.9836342930793762,1.0098917484283447,0.5551231503486633,0.5580491423606873,0.0008196511189453304,0.0015319958329200745,0.16175079345703125,0.02001953125,6.156180461402982e-05,4.775344496010803e-05,7.3070225425908575e-09,8.577416338084731e-06,4.770210216520354e-05,5.422759204520844e-05,9.951067477231845e-05,3.975467188865878e-05,192,0.40112045407295227,0.9207537174224854,1.0138894319534302,,,,1,1,192,0.24769801799266133,held_out,5,
1,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",393216,8,global_lloyd_max,percentile:p=98,1,192,0.10858345031738281,0.25569775700569153,0.9667322039604187,5.524510626742085e-09,0.15836720168590546,0.9873877763748169,0.9873085618019104,0.5631589293479919,0.5658310055732727,0.0007234315271489322,0.0013201963156461716,0.19687398274739584,0.02001953125,5.378843707148917e-05,4.220349364914e-05,5.524510626742085e-09,7.1450735958933365e-06,4.0421178709948435e-05,4.031233402201906e-05,0.00010113833559444174,3.365583688719198e-05,192,0.36648526787757874,0.9332389831542969,1.0055962800979614,,,,1,1,192,0.2287148809991777,held_out,5,
1,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"(1024, 384)",393216,4,mulaw_mu5,percentile:p=98,1,192,0.10141690572102864,0.26347967982292175,0.9662097692489624,6.931593077297293e-09,0.18794119358062744,0.9825806617736816,1.0103789567947388,0.5583270788192749,0.5641443729400635,0.0008029600139707327,0.0014902424300089478,0.16381072998046875,0.02001953125,6.0083126300014555e-05,4.6672168537043035e-05,6.931593077297293e-09,8.343347872141749e-06,4.702734077000059e-05,5.2914252592017874e-05,9.691027662483975e-05,3.909925726475194e-05,192,0.4077797532081604,0.9180321097373962,1.0131958723068237,,,,1,1,192,0.23117227100010496,held_out,5,
1,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"(1024, 384)",393216,8,global_lloyd_max,percentile:p=98,1,192,0.10858345031738281,0.25583797693252563,0.9667155146598816,5.193145469206684e-09,0.16268034279346466,0.9866861701011658,0.9865556955337524,0.5711713433265686,0.5752452611923218,0.0007029366679489613,0.0012686605332419276,0.199493408203125,0.02001953125,5.2233885071473196e-05,4.102509410586208e-05,5.193145469206684e-09,6.908592695253901e-06,3.9237176679307595e-05,3.924387419829145e-05,9.637909533921629e-05,3.275786730227992e-05,192,0.3706229329109192,0.9317583441734314,1.0060839653015137,,,,1,1,192,0.21816681099880952,held_out,5,
1,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",393216,4,mulaw_mu5,percentile:p=98,1,192,0.10141690572102864,0.2939647138118744,0.9564381837844849,1.2393395820708974e-07,0.22082114219665527,0.9755229353904724,0.9953822493553162,0.4002297818660736,0.4051155149936676,0.003122733673080802,0.008158133365213871,0.17380777994791666,0.02001953125,0.00023374310694634914,0.00018148220260627568,1.2393395820708974e-07,4.284602255211212e-05,0.00017003451648633927,0.00022324749443214387,0.0006114038405939937,0.00014338571054395288,192,0.5294231176376343,0.8608322739601135,1.0068186521530151,,,,1,1,192,0.24275132900220342,held_out,5,
1,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",393216,8,global_lloyd_max,percentile:p=98,1,192,0.10858345031738281,0.2744024395942688,0.9617487788200378,7.962051284948757e-08,0.1770045906305313,0.9842323064804077,0.9787273406982422,0.439563512802124,0.4459894895553589,0.0026250965893268585,0.006163090467453003,0.20801798502604166,0.02001953125,0.0001929732970893383,0.00015314912889152765,7.962051284948757e-08,3.182408545399085e-05,0.0001563542173244059,0.00015506090130656958,0.000503441144246608,0.00013109428982716054,192,0.47400394082069397,0.8873568177223206,0.997227132320404,,,,1,1,192,0.21272207799484022,held_out,5,
