seed,update,parameter_id,parameter_name,shape,numel,rank,method,evaluation_scope,pairing,codewords,nominal_bits_per_value,scale,paired_vectors,singleton_values,zero_pair_fraction,codebook_occupied,mean_vector_error,mean_alpha,storage_ratio_vs_fp32_unamortized,persistent_bits_unamortized,shared_codebook_bits,fp32_bits,vector_mean_magnitude_relative_error,vector_mean_direction_cosine,vector_mean_angular_error_deg,vector_small_norm_magnitude_error,vector_large_norm_magnitude_error,residual_relative_l2,residual_cosine,residual_norm_ratio,full_state_raw_relative_l2,full_state_raw_cosine,full_state_raw_norm_ratio,update_relative_l2,update_cosine,update_norm_ratio,evaluation_wall_seconds,source_seed_role,scalar_int3_update_cosine,delta_vs_scalar_int3,structural_int4_update_cosine,exact_polar_relative_l2,exact_polar_cosine,exact_polar_norm_ratio,spectral_danger_diagonal_fraction_error,spectral_danger_cross_fraction_error,spectral_danger_associated_fraction_error,spectral_local_mixing_fraction_error,spectral_medium_mixing_fraction_error,spectral_distant_mixing_fraction_error,spectral_danger_diagonal_energy,spectral_danger_cross_energy,storage_ratio_amortized_global_codebook
1,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",147456,8,polar_16x4_uniform,seed1_sample,contiguous,49,3.0,p98,73728,0,0.0782199427485466,49,0.0003741597756743431,0.0033155602868646383,0.1157955593532986,546392,3136,4718592,0.2523362338542938,0.9158293604850769,12.232657432556152,0.37340062856674194,0.131278395652771,0.21551397442817688,0.9765028953552246,0.9757477641105652,0.10950405150651932,0.9939873218536377,0.9942876696586609,0.773796796798706,0.7161883115768433,1.0503785610198975,0.1933454849931877,held_out,0.6780316233634949,0.03815668821334839,,,,,,,,,,,,,0.10915890648251488
1,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",147456,8,polar_32x2_log,seed1_sample,contiguous,33,3.0,p98,73728,0,0.0001220703125,33,0.0017310538096353412,0.0033155602868646383,0.11557854546440972,545368,2112,4718592,0.9705884456634521,0.9982177019119263,2.8557097911834717,0.9553079009056091,0.9858682155609131,0.985413670539856,0.880903959274292,0.016594184562563896,0.50056391954422,0.8657069802284241,0.8625028133392334,0.8755314946174622,0.5293233394622803,0.313133180141449,0.18570400201133452,held_out,0.6780316233634949,-0.1487082839012146,,,,,,,,,,,,,0.10915425618489584
1,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",393216,4,polar_8x8_sqrt,seed1_sample,contiguous,57,3.0,p98,196608,0,0.1587727814912796,57,0.00011271031689830124,0.0008196511189453304,0.10170682271321614,1279768,3648,12582912,0.30371707677841187,0.8198224902153015,23.729177474975586,0.5232542157173157,0.08418439328670502,0.3117918074131012,0.9501557350158691,0.9500269293785095,0.21601064503192902,0.9764004349708557,0.9765134453773499,0.4680774509906769,0.8921820521354675,1.0149610042572021,0.5829083599965088,held_out,0.9207537174224854,-0.028571665287017822,,0.471996009349823,0.8886147737503052,0.9999998807907104,0.0,0.0,0.0,0.6000956892967224,0.19302891194820404,0.0021996607538312674,0.0,0.0,0.1017149425688244
1,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",393216,4,polar_16x4_uniform,seed1_sample,contiguous,49,3.0,p98,196608,0,0.1233927384018898,49,9.293300536228344e-05,0.0008196511189453304,0.10166613260904948,1279256,3136,12582912,0.311804860830307,0.8708823323249817,16.071426391601562,0.4674491286277771,0.1561637669801712,0.25922396779060364,0.9658578634262085,0.9568802118301392,0.17958736419677734,0.9837580323219299,0.979741632938385,0.3938569128513336,0.9233725070953369,1.0112942457199097,0.5268468540161848,held_out,0.9207537174224854,0.0026187896728515625,,,,,,,,,,,,,0.10171261742001488
1,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",393216,4,polar_32x2_log,seed1_sample,contiguous,33,3.0,p98,196608,0,0.0001373291015625,33,0.00037111842539161444,0.0008196511189453304,0.10158475240071614,1278232,2112,12582912,0.9639732241630554,0.9981619715690613,2.8752849102020264,0.9446475505828857,0.9832984805107117,0.9847447872161865,0.8264565467834473,0.0185259822756052,0.6822109222412109,0.7312300205230713,0.7213008403778076,0.7392160892486572,0.7176048159599304,0.46982622146606445,0.47300402700784616,held_out,0.9207537174224854,-0.20314890146255493,,,,,,,,,,,,,0.10170796712239584
1,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",393216,8,polar_8x8_sqrt,seed1_sample,contiguous,57,3.0,p98,196608,0,0.1426493376493454,57,9.923517791321501e-05,0.0007234315271489322,0.10887336730957031,1369944,3648,12582912,0.28510409593582153,0.8355216979980469,22.46053123474121,0.4943290054798126,0.07588343322277069,0.299532413482666,0.9540736675262451,0.9541243314743042,0.18550848960876465,0.9826507568359375,0.9829056262969971,0.4197462797164917,0.9129538536071777,1.0112545490264893,0.5446672620018944,held_out,0.9332389831542969,-0.02028512954711914,,0.4253794848918915,0.9095315337181091,0.9999995827674866,0.0,0.0,0.0,0.6283947825431824,0.17871396243572235,0.0020519131794571877,0.0,0.0,0.1091612316313244
1,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",393216,8,polar_16x4_uniform,seed1_sample,contiguous,49,3.0,p98,196608,0,0.1096750870347023,49,8.169710781658068e-05,0.0007234315271489322,0.10883267720540364,1369432,3136,12582912,0.2964257299900055,0.8845435976982117,14.898419380187988,0.4403844177722931,0.15246999263763428,0.24731101095676422,0.9689554572105408,0.9622098207473755,0.1531701385974884,0.9882103800773621,0.9860580563545227,0.34846723079681396,0.9397661685943604,1.0074368715286255,0.5023938840022311,held_out,0.9332389831542969,0.0065271854400634766,,,,,,,,,,,,,0.10915890648251488
1,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",393216,8,polar_32x2_log,seed1_sample,contiguous,33,3.0,p98,196608,0,9.663899982115254e-05,33,0.0003386736207176,0.0007234315271489322,0.10875129699707031,1368408,2112,12582912,0.9656139016151428,0.9982118606567383,2.8678932189941406,0.9472640752792358,0.9839633107185364,0.9848414063453674,0.8430192470550537,0.018038276582956314,0.6099075675010681,0.7925127744674683,0.7852561473846436,0.7519716620445251,0.7345977425575256,0.41041746735572815,0.4593020530010108,held_out,0.9332389831542969,-0.19864124059677124,,,,,,,,,,,,,0.10915425618489584
1,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"(1024, 384)",393216,4,polar_8x8_sqrt,seed1_sample,contiguous,57,3.0,p98,196608,0,0.1620534211397171,57,0.00011053573689423501,0.0008029600139707327,0.10170682271321614,1279768,3648,12582912,0.30861639976501465,0.8165577054023743,24.001102447509766,0.5337561368942261,0.08348124474287033,0.3135611116886139,0.9495645761489868,0.9496479034423828,0.22366534173488617,0.9746724963188171,0.9747705459594727,0.478303998708725,0.8875858187675476,1.016324520111084,0.565020326001104,held_out,0.9180321097373962,-0.030446290969848633,,0.4809141755104065,0.884365439414978,1.000000238418579,0.0,0.0,0.0,0.6007280945777893,0.19134430587291718,0.0015388341853395104,0.0,0.0,0.1017149425688244
1,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"(1024, 384)",393216,4,polar_16x4_uniform,seed1_sample,contiguous,49,3.0,p98,196608,0,0.1256815642118454,49,9.090649109566584e-05,0.0008029600139707327,0.10166613260904948,1279256,3136,12582912,0.31516292691230774,0.8686222434043884,16.252361297607422,0.47818177938461304,0.15214739739894867,0.26124057173728943,0.965328574180603,0.9559796452522278,0.18634605407714844,0.9824999570846558,0.978139340877533,0.4010477066040039,0.9205640554428101,1.011490821838379,0.4889563430042472,held_out,0.9180321097373962,0.0025319457054138184,,,,,,,,,,,,,0.10171261742001488
1,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"(1024, 384)",393216,4,polar_32x2_log,seed1_sample,contiguous,33,3.0,p98,196608,0,0.00011189778888365254,33,0.00036029386683367193,0.0008029600139707327,0.10158475240071614,1278232,2112,12582912,0.9633668065071106,0.9981924891471863,2.8673338890075684,0.9435721039772034,0.9831613898277283,0.9846991300582886,0.8242121338844299,0.018634822219610214,0.7023687958717346,0.7119070887565613,0.7006213068962097,0.7337563037872314,0.7134522199630737,0.4957117736339569,0.5261552800075151,held_out,0.9180321097373962,-0.2045798897743225,,,,,,,,,,,,,0.10170796712239584
