seed,role,rank,method,tensor_count,mean_update_cosine,median_update_cosine,weighted_update_cosine,p25_update_cosine,p75_update_cosine,p10_update_cosine,p90_update_cosine,mean_update_relative_l2,mean_full_state_raw_cosine,mean_residual_relative_l2,mean_storage_ratio,mean_delta_vs_scalar
1,held_out,4,mse128_contiguous,20,0.8831060051918029,0.8973069489002228,0.8997390793902533,0.7969940304756165,0.9715808629989624,0.7609142065048218,0.973961353302002,0.44662302657961844,0.9948904484510421,0.1534522742033005,0.11736057826450892,0.09667357802391052
1,held_out,8,mse128_contiguous,20,0.9065508782863617,0.9186135828495026,0.9193377682140895,0.8371342420578003,0.9751681089401245,0.8114440441131592,0.9772784113883972,0.40070541724562647,0.9960430562496185,0.1504085510969162,0.12480686732700892,0.0988448828458786
1,held_out,4,mse32_contiguous,20,0.7763162821531295,0.7890855073928833,0.8013877698353359,0.6336000561714172,0.9191325306892395,0.5975077748298645,0.9259213805198669,0.6385514512658119,0.9849567532539367,0.26374481022357943,0.08608267647879464,-0.010116145014762878
1,held_out,8,mse32_contiguous,20,0.8051786899566651,0.8189736902713776,0.826677765590804,0.6819428205490112,0.928250789642334,0.6524563431739807,0.9338498711585999,0.5969137668609619,0.9881370216608047,0.2613931126892567,0.09352896554129464,-0.0025273054838180543
1,held_out,4,mse64_checkerboard,150,0.8252167415618896,0.8843951225280762,0.8422086456307658,0.700472354888916,0.9320083260536194,0.6513397097587585,0.9443311095237732,0.5676670332749685,0.9889551734924317,0.21062527984380722,0.10163823822398245,0.04724138498306275
1,held_out,8,mse64_checkerboard,150,0.8512042133013408,0.9039377570152283,0.8658368902625861,0.7404719591140747,0.9416713118553162,0.7010915279388428,0.9505847692489624,0.5243414511283239,0.9914697400728861,0.2065650021036466,0.10902236184956116,0.0517043141523997
1,held_out,4,mse64_column,150,0.8108314581712087,0.8821787238121033,0.8222442187092922,0.6673417091369629,0.9318732619285583,0.6010263562202454,0.9438434839248657,0.5873321866989136,0.9874437121550242,0.22782261262337367,0.10163823822398245,0.032856101592381795
1,held_out,8,mse64_column,150,0.8362495664755504,0.9022331833839417,0.8454077860271489,0.712874174118042,0.9407300353050232,0.6576528549194336,0.9507301449775696,0.5463557960589727,0.9904440903663635,0.22269065817197164,0.10902236184956116,0.036749667326609295
1,held_out,4,mse64_contiguous,150,0.8257766846815745,0.8851640224456787,0.8427654374528815,0.6984955668449402,0.9326444864273071,0.6515905857086182,0.9447886943817139,0.5666707956790924,0.9889154251416524,0.21103422224521637,0.10163823822398245,0.0478013281027476
1,held_out,8,mse64_contiguous,150,0.8516114457448324,0.9051488935947418,0.8662745009969782,0.7397340536117554,0.9418300986289978,0.7041619420051575,0.9507044553756714,0.5234555472930272,0.9914548703034719,0.20677440216143925,0.10902236184956116,0.05211154659589132
1,held_out,4,mse64_contiguous_absmax,20,0.8043911188840867,0.8151837885379791,0.827547344139644,0.6750726103782654,0.9348629713058472,0.6378106474876404,0.9407645463943481,0.5943047285079956,0.9892258018255233,0.22351183816790582,0.10171697707403274,0.01795869171619415
1,held_out,8,mse64_contiguous_absmax,20,0.8325238138437271,0.8457829654216766,0.8514721934284483,0.7269006371498108,0.9411622881889343,0.6867868900299072,0.946075439453125,0.5519510865211487,0.9912858068943023,0.22391490638256073,0.10916326613653274,0.02481781840324402
1,held_out,4,mse64_contiguous_perdim,20,0.8337050318717957,0.8488135933876038,0.8552657446690968,0.7193840146064758,0.9521406292915344,0.679439902305603,0.9566121697425842,0.5405575007200241,0.9913865268230438,0.19954723492264748,0.10220525832403274,0.047272604703903195
1,held_out,8,mse64_contiguous_perdim,20,0.8622387409210205,0.8759265244007111,0.879573010121073,0.7645606994628906,0.9585645198822021,0.7331944704055786,0.9621493220329285,0.49318142980337143,0.9933626711368561,0.19546188414096832,0.10965154738653274,0.054532745480537416
1,held_out,4,mse64_contiguous_rms2,20,0.8189196854829788,0.8346090912818909,0.8410458828721727,0.7015503644943237,0.9416458606719971,0.6569460034370422,0.9458264708518982,0.5697366327047348,0.987977734208107,0.23564611822366716,0.10171697707403274,0.032487258315086365
1,held_out,8,mse64_contiguous_rms2,20,0.8468334823846817,0.86063352227211,0.8650437069790704,0.745154857635498,0.9477200508117676,0.7154495716094971,0.9515920877456665,0.5254853054881096,0.9907142490148544,0.23033731579780578,0.10916326613653274,0.03912748694419861
1,held_out,4,mse64_row,150,0.8257766846815745,0.8851640224456787,0.8427654374528815,0.6984955668449402,0.9326444864273071,0.6515905857086182,0.9447886943817139,0.5666707956790924,0.9889154251416524,0.21103422224521637,0.10163823822398245,0.0478013281027476
1,held_out,8,mse64_row,150,0.8516114457448324,0.9051488935947418,0.8662745009969782,0.7397340536117554,0.9418300986289978,0.7041619420051575,0.9507044553756714,0.5234555472930272,0.9914548703034719,0.20677440216143925,0.10902236184956116,0.05211154659589132
1,held_out,4,muon_aware_polar_oracle,20,0.7571870595216751,0.767821878194809,0.7826879445995604,0.6103989481925964,0.9045352339744568,0.5728039145469666,0.9128848314285278,0.6702311351895333,0.9822114825248718,0.28581795692443845,0.1017149425688244,-0.029245367646217345
1,held_out,8,muon_aware_polar_oracle,20,0.7866388976573944,0.7993037402629852,0.8088741553681237,0.6574017405509949,0.9151009321212769,0.6258108019828796,0.9221329689025879,0.6286879613995552,0.9860294997692108,0.2830313235521317,0.1091612316313244,-0.021067097783088684
1,held_out,4,pca_rotated_mse64,20,0.8347506076097488,0.8496956527233124,0.8561958938837051,0.721247673034668,0.9525266289710999,0.6831624507904053,0.9568601846694946,0.5388414204120636,0.991480553150177,0.19847765415906907,0.10172860281808035,0.04831818044185639
1,held_out,8,pca_rotated_mse64,20,0.8618430823087693,0.8762763142585754,0.8791516738278525,0.7615829706192017,0.958308756351471,0.7340821027755737,0.9617325067520142,0.4940737321972847,0.9933121055364609,0.19614833667874337,0.10917489188058035,0.05413708686828613
1,held_out,4,polar_16x4_uniform,20,0.8013377338647842,0.8140460848808289,0.8248909609658378,0.6690347194671631,0.9335233569145203,0.6323131322860718,0.9392690062522888,0.5989243298768997,0.9881141245365143,0.23334160521626474,0.10171261742001488,0.014905306696891784
1,held_out,8,polar_16x4_uniform,20,0.8303469866514206,0.8446493446826935,0.8499290772846767,0.7167469263076782,0.9415931701660156,0.6893724203109741,0.9462854862213135,0.5544426813721657,0.9907080322504044,0.23022704422473908,0.10915890648251488,0.0226409912109375
1,held_out,4,polar_32x2_log,20,0.6192071452736855,0.6185829639434814,0.6366113064544542,0.490966796875,0.7397534847259521,0.4881834387779236,0.7561512589454651,0.8013416081666946,0.7652974992990493,0.9851050049066543,0.10170796712239584,-0.167225281894207
1,held_out,8,polar_32x2_log,20,0.6339110255241394,0.6363408863544464,0.6508654654026031,0.5101079344749451,0.7508611083030701,0.501818835735321,0.7659716010093689,0.8064293205738068,0.8173901617527009,0.985150271654129,0.10915425618489584,-0.1737949699163437
1,held_out,4,polar_8x8_sqrt,20,0.7576274245977401,0.7677161693572998,0.7829053848981857,0.6106023788452148,0.9046021699905396,0.5766010880470276,0.9124749898910522,0.6698613062500953,0.9821964710950851,0.28590657711029055,0.1017149425688244,-0.028805002570152283
1,held_out,8,polar_8x8_sqrt,20,0.7868341714143753,0.799633800983429,0.8090123321328845,0.6559525728225708,0.9154685139656067,0.626376748085022,0.921911358833313,0.6285549476742744,0.9860415309667587,0.2829448372125626,0.1091612316313244,-0.020871824026107787
1,held_out,4,spectral_local_mse64,20,0.0963884137570858,0.09669480472803116,0.09510130525699684,0.08649370074272156,0.09897005558013916,0.08451266586780548,0.1076144129037857,0.9954983860254287,0.756730991601944,0.9999996960163117,1.5302884056454613,
