seed,update,parameter_id,method,delta_magnitude_energy,delta_symmetric_energy,delta_skew_energy,delta_out_of_subspace_energy
0,128,transformer.h.0.attn.c_attn.weight,mse,0.0,0.0,0.0,0.0
0,128,transformer.h.0.attn.c_attn.weight,pair_local_frechet_hutchinson,0.27039387407083315,9.68489673794776,33.28568796027879,64.94084952105138
0,128,transformer.h.0.attn.c_attn.weight,pair_local_skew_hutchinson,5.074771962532743,100.59337438192348,355.31292523331854,862.5996287300025
0,128,transformer.h.0.attn.c_attn.weight,mix_025,31.770826222922,329.2073764607279,1158.2950720005717,2288.6420781571196
0,128,transformer.h.0.attn.c_attn.weight,mix_050,10.942828244797548,138.58019045713513,492.6771590390236,981.1275961835247
0,128,transformer.h.0.attn.c_attn.weight,mix_075,1.9868058680965874,48.20574312784164,169.53798527223705,342.7816366529902
0,128,transformer.h.0.attn.c_proj.weight,mse,0.0,0.0,0.0,0.0
0,128,transformer.h.0.attn.c_proj.weight,pair_local_frechet_hutchinson,1.0468563422232653,52.13134200059616,83.61004758626618,0.0
0,128,transformer.h.0.attn.c_proj.weight,pair_local_skew_hutchinson,2.8119327539722136,219.97946441102778,339.2098950799024,0.0
0,128,transformer.h.0.attn.c_proj.weight,mix_025,-0.015749380859887196,2.3821699470402535,3.0283808141082886,0.0
0,128,transformer.h.0.attn.c_proj.weight,mix_050,0.05443807181767246,2.087926948354678,4.218537051861148,0.0
0,128,transformer.h.0.attn.c_proj.weight,mix_075,0.29156300997977436,3.838180861175843,8.039930326149317,0.0
0,128,transformer.h.0.mlp.w1.weight,mse,0.0,0.0,0.0,0.0
0,128,transformer.h.0.mlp.w1.weight,pair_local_frechet_hutchinson,0.012419942222211877,0.051670351637596035,0.1068048880464012,0.41389420584929937
0,128,transformer.h.0.mlp.w1.weight,pair_local_skew_hutchinson,1.0295551901382078,5.579661540796707,11.831138395447756,58.28621019123544
0,128,transformer.h.0.mlp.w1.weight,mix_025,0.3160320477603208,1.7145099365512033,1.231812668712335,7.166304212265061
0,128,transformer.h.0.mlp.w1.weight,mix_050,0.31608895329211306,1.547487424132032,1.0951616635333323,6.385350904790343
0,128,transformer.h.0.mlp.w1.weight,mix_075,0.29326447646856957,1.1700439398871412,0.8338927804916727,4.79601966318182
0,128,transformer.h.0.mlp.w2.weight,mse,0.0,0.0,0.0,0.0
0,128,transformer.h.0.mlp.w2.weight,pair_local_frechet_hutchinson,0.015090352574055332,0.06584087357277335,0.11801716946172025,0.4109431097626839
0,128,transformer.h.0.mlp.w2.weight,pair_local_skew_hutchinson,0.9528711160612293,5.67059980037595,11.973389179332305,59.9734440028506
0,128,transformer.h.0.mlp.w2.weight,mix_025,0.5173465636724324,1.8339186984711495,1.4679296033744977,7.740686665104402
0,128,transformer.h.0.mlp.w2.weight,mix_050,0.5124203450041194,1.6178509071458436,1.3170727901080799,6.894270435903163
0,128,transformer.h.0.mlp.w2.weight,mix_075,0.4689895965196171,1.1930540915033165,1.0250883126514978,5.084287600101234
