raw_relative_l2,raw_cosine,frechet_relative_l2,frechet_predicted_cosine_distortion,update_cosine,update_distortion,update_relative_l2,magnitude_energy,symmetric_energy,skew_energy,out_of_subspace_energy,seed,update,parameter_id,parameter_name,shape,method,local_pair_objective,assignment_changes,changed_fraction,pair_count,index_bits,pair_index_bits,scale_count
0.24171021580696106,0.9706403017044067,2.1381333521572787,0.5844860374927521,0.49722346663475037,0.5027765333652496,0.9982262253761292,5.564450638818879,117.83527782675719,417.4072342648762,995.9153998112488,0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",pair_local_skew_hutchinson,0.0002551320703025385,94072,0.42531105875968933,221184,6,1327104,216
0.16852134466171265,0.9857248067855835,1.6773207962112766,0.4903392791748047,0.5966309905052185,0.4033690094947815,0.9198040962219238,4.09579130429976,305.2897554668023,475.68459782426453,0.0,0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",pair_local_skew_hutchinson,0.0017743305224016542,13630,0.1848687082529068,73728,6,442368,72
0.2456328272819519,0.9695322513580322,0.5766966399035052,0.1350231170654297,0.8540180325508118,0.14598196744918823,0.5454626679420471,1.4257233224107162,7.8603541446225185,16.4205709485928,75.39554655312637,0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",pair_local_skew_hutchinson,2.4425667412300292e-05,40150,0.2042134553194046,196608,6,1179648,192
0.24865883588790894,0.9687565565109253,0.5820415821756435,0.13731974363327026,0.8521521687507629,0.14784783124923706,0.5486093163490295,1.3201296647339222,8.021440754461274,16.621943858684244,77.34626754635657,0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"(1024, 384)",pair_local_skew_hutchinson,2.510187857905763e-05,40658,0.2067972868680954,196608,6,1179648,192
0.333964467048645,0.9435897469520569,1.0026523397692153,0.2946709990501404,0.7172768712043762,0.2827231287956238,0.7640783786773682,1.9172627467743597,17.565746489251584,42.70544958172569,232.57640487469888,0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",pair_local_skew_hutchinson,4.745671774244997e-05,52653,0.2678070068359375,196608,6,1179648,192
0.221652090549469,0.975284218788147,2.4505768777544925,0.6301895380020142,0.47578904032707214,0.5242109596729279,1.049286127090454,5.443844190315466,234.3497290371601,541.9255421404888,1049.9807438080932,0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"(1152, 384)",pair_local_skew_hutchinson,0.00042642555448774237,90965,0.41126391291618347,221184,6,1327104,216
0.14561353623867035,0.9893485903739929,1.7270010275163596,0.4985674023628235,0.5926873683929443,0.40731263160705566,0.9402892589569092,3.9571624551774116,317.945187826089,468.34333476251663,0.0,0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"(384, 384)",pair_local_skew_hutchinson,0.0023548826076945097,11218,0.1521538645029068,73728,6,442368,72
0.27951088547706604,0.9606330990791321,0.860013783202255,0.24199634790420532,0.7639335989952087,0.23606640100479126,0.6943591833114624,2.0937134783076017,13.296155518380107,32.194929780654505,167.65743022796113,0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"(1024, 384)",pair_local_skew_hutchinson,3.7381859826313955e-05,49806,0.253326416015625,196608,6,1179648,192
0.2881243824958801,0.958182692527771,0.8902149554547405,0.25331902503967285,0.7554737329483032,0.24452626705169678,0.7063775062561035,2.336311602657668,14.070676855331488,33.95643745670227,181.63419975483754,0,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"(1024, 384)",pair_local_skew_hutchinson,4.0256730135740004e-05,50607,0.2574005126953125,196608,6,1179648,192
0.3795921504497528,0.9273678660392761,1.4072578662244086,0.4196324348449707,0.6244480013847351,0.3755519986152649,0.877945601940155,3.377471165688481,34.67770998830389,77.94721053120286,473.8187013356741,0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",pair_local_skew_hutchinson,6.8703512394878e-05,63915,0.3250885009765625,196608,6,1179648,192
0.1916823834180832,0.9815256595611572,2.3531639088769905,0.6143820285797119,0.4920029938220978,0.5079970061779022,1.0524396896362305,4.3519517942658545,270.63779631283217,521.4958575071515,778.8122480389823,0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"(1152, 384)",pair_local_skew_hutchinson,0.0005124152231740889,90064,0.40719038248062134,221184,6,1327104,216
0.1329818218946457,0.9911232590675354,1.7248600891756536,0.49869269132614136,0.5949455499649048,0.4050544500350952,0.9497731924057007,4.209023371308509,313.87421981794546,441.01787590555267,0.0,0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"(384, 384)",pair_local_skew_hutchinson,0.002655408266874111,10202,0.1383734792470932,73728,6,442368,72
0.3287295997142792,0.9458994269371033,1.4024735512670494,0.41617530584335327,0.6295524835586548,0.3704475164413452,0.8585100769996643,4.349404273981139,34.561692666459834,77.87459830003347,474.46187058528443,0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"(1024, 384)",pair_local_skew_hutchinson,5.638638840734663e-05,66068,0.3360392153263092,196608,6,1179648,192
0.32896116375923157,0.9457924365997314,1.4104532822829932,0.41717153787612915,0.6253890991210938,0.37461090087890625,0.8624837398529053,4.686719192392357,35.63267030547295,81.31733795474983,476.7270806951468,0,128,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"(1024, 384)",pair_local_skew_hutchinson,5.73977341887835e-05,66089,0.3361460268497467,196608,6,1179648,192
0.3770696520805359,0.9285675883293152,1.5666575947488355,0.45803964138031006,0.5953161120414734,0.4046838879585266,0.9055294394493103,4.070236716086472,42.851056444718154,94.58633357331966,599.8693659470482,0,128,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",pair_local_skew_hutchinson,7.57043869211237e-05,67262,0.3421122133731842,196608,6,1179648,192
0.15521037578582764,0.9878991842269897,2.1072956459579815,0.5786942541599274,0.5101318359375,0.4898681640625,1.0530028343200684,3.536458097822348,246.26410490976988,416.15904365390503,524.8799559836611,0,128,transformer.h.3.attn.c_attn.weight,transformer.h.3.attn.c_attn.weight,"(1152, 384)",pair_local_skew_hutchinson,0.000512923264408885,89067,0.4026828408241272,221184,6,1327104,216
0.11811311542987823,0.9930019378662109,1.631596751453554,0.47914600372314453,0.5999911427497864,0.4000088572502136,0.9506171941757202,3.572274217242403,279.8979360253208,377.776440953744,0.0,0,128,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"(384, 384)",pair_local_skew_hutchinson,0.002462212633287933,9667,0.1311170756816864,73728,6,442368,72
0.31783193349838257,0.9493427872657776,1.6223236726904726,0.4681093692779541,0.5831779837608337,0.41682201623916626,0.8954964280128479,5.533274224534719,43.82163732612314,107.08790004453016,666.2975301483025,0,128,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"(1024, 384)",pair_local_skew_hutchinson,6.561379185491517e-05,71189,0.3620859682559967,196608,6,1179648,192
0.31789857149124146,0.9493853449821472,1.7357736154371883,0.4932209849357605,0.5628437399864197,0.4371562600135803,0.9107818007469177,5.620030649815107,48.04865806408706,127.81108332940833,785.2269058136403,0,128,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"(1024, 384)",pair_local_skew_hutchinson,7.768731036226351e-05,72130,0.3668721616268158,196608,6,1179648,192
0.3551846742630005,0.9367066621780396,1.5739065604844267,0.45718711614608765,0.5932915210723877,0.4067084789276123,0.9019386172294617,4.633251179720052,42.76213084313528,95.26644444547979,605.0630427069755,0,128,transformer.h.3.mlp.c_proj.weight,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",pair_local_skew_hutchinson,6.834732465446294e-05,67897,0.3453420102596283,196608,6,1179648,192
0.12366115301847458,0.992329478263855,1.8169887610183106,0.5212935507297516,0.5410088896751404,0.4589911103248596,1.0347726345062256,3.079690903468185,186.24025340225197,304.4701370129043,361.0749018222811,0,128,transformer.h.4.attn.c_attn.weight,transformer.h.4.attn.c_attn.weight,"(1152, 384)",pair_local_skew_hutchinson,0.00044636346198420547,87069,0.3936496376991272,221184,6,1327104,216
0.10056781023740768,0.9949337840080261,1.4491788153931275,0.430999219417572,0.6272287368774414,0.3727712631225586,0.924923300743103,2.458525777387214,223.42909010039077,288.68275647752904,0.0,0,128,transformer.h.4.attn.c_proj.weight,transformer.h.4.attn.c_proj.weight,"(384, 384)",pair_local_skew_hutchinson,0.002243902049110519,8919,0.1209716796875,73728,6,442368,72
0.31069374084472656,0.9517097473144531,1.856104242971015,0.519013911485672,0.5448654294013977,0.4551345705986023,0.9224622249603271,5.862110230632764,49.29905215485865,147.73777821327442,926.1334999645487,0,128,transformer.h.4.mlp.w1.weight,transformer.h.4.mlp.w1.weight,"(1024, 384)",pair_local_skew_hutchinson,8.373313990803948e-05,73856,0.3756510317325592,196608,6,1179648,192
0.32478615641593933,0.9472910165786743,1.8954034964300583,0.5252817571163177,0.5405260920524597,0.4594739079475403,0.9301713109016418,5.98337385538045,51.15044202577474,148.93265066120077,966.0914981903496,0,128,transformer.h.4.mlp.w2.weight,transformer.h.4.mlp.w2.weight,"(1024, 384)",pair_local_skew_hutchinson,8.574813930753128e-05,73675,0.3747304379940033,196608,6,1179648,192
0.3389946222305298,0.9422929286956787,1.6415850255547828,0.474844753742218,0.580402672290802,0.419597327709198,0.9063270092010498,5.128917715839275,45.0682479587151,105.18905729079678,672.815963060372,0,128,transformer.h.4.mlp.c_proj.weight,transformer.h.4.mlp.c_proj.weight,"(384, 1024)",pair_local_skew_hutchinson,7.862022587763767e-05,70053,0.3563079833984375,196608,6,1179648,192
0.09616103768348694,0.9953704476356506,1.5338098404709086,0.4593169689178467,0.5820591449737549,0.4179408550262451,1.000015139579773,2.1685552112576953,140.2090084865862,212.12219292759872,228.08928341142112,0,128,transformer.h.5.attn.c_attn.weight,transformer.h.5.attn.c_attn.weight,"(1152, 384)",pair_local_skew_hutchinson,0.0004055005537694383,85612,0.38706234097480774,221184,6,1327104,216
0.0686647891998291,0.9976420402526855,1.1343764530467084,0.3410605788230896,0.6850031614303589,0.3149968385696411,0.8617170453071594,1.4671934069568793,128.00016395481205,166.0496960747828,0.0,0,128,transformer.h.5.attn.c_proj.weight,transformer.h.5.attn.c_proj.weight,"(384, 384)",pair_local_skew_hutchinson,0.0016252705046349391,7741,0.1049940288066864,73728,6,442368,72
