seed,update,parameter_id,shape,sweep,selected_pairs,changed_this_sweep,global_frechet_objective,objective_ratio_to_initial,update_cosine,update_relative_l2
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",1,16,13,213.03939819335938,0.9995197751963746,0.7962881326675415,0.6427178382873535
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",2,16,0,213.03939819335938,0.9995197751963746,0.7962881326675415,0.6427178382873535
0,2048,transformer.h.2.attn.c_attn.weight,"(1152, 384)",1,16,11,138.55528259277344,0.9999609061578197,0.8275911808013916,0.602972686290741
0,2048,transformer.h.2.attn.c_attn.weight,"(1152, 384)",2,16,0,138.55528259277344,0.9999609061578197,0.8275911808013916,0.602972686290741
1,512,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",1,16,6,41.471168518066406,0.9998810784173331,0.9326406717300415,0.3686383366584778
1,512,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",2,16,0,41.471168518066406,0.9998810784173331,0.9326406717300415,0.3686383366584778
1,4096,transformer.h.5.mlp.c_proj.weight,"(384, 1024)",1,16,7,34.508262634277344,0.9999020672000283,0.9423943758010864,0.33931633830070496
1,4096,transformer.h.5.mlp.c_proj.weight,"(384, 1024)",2,16,0,34.508262634277344,0.9999020672000283,0.9423943758010864,0.33931633830070496
