seed,band,mean_residual_fraction,median_residual_fraction,mean_sensitivity,median_sensitivity,mean_restoration_gain,median_restoration_gain
0,head,0.09610483447710673,0.08746051415801048,1.1319827315552782,1.106089388485998,0.0011458059151967367,0.0009458363056182861
0,middle,0.06152434689303239,0.04412326402962208,4.100469087716192,3.438433166593313,0.019867052634557087,0.004492342472076416
0,tail,0.049180151857435704,0.03646211512386799,14.722297843545675,8.587788324803114,0.010015620390574137,0.005910545587539673
1,head,0.09884564732511839,0.10183656588196754,1.1244909659338493,1.101883884985,0.0011723411083221435,0.0010437965393066406
1,middle,0.061118592744072275,0.04499935731291771,4.1296565455074115,3.4589151619002223,0.02002681096394857,0.004856526851654053
1,tail,0.04929472630222639,0.03665027394890785,14.670428048508862,8.30560689792037,0.010005195538202921,0.006182432174682617
