Kaggle preflight (physical GPU 1 exposed as cuda:0)...
/usr/local/lib/python3.12/dist-packages/torch/autograd/__init__.py:16: FutureWarning: `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.
  from torch import _vmap_internals
{
  "recipe": "/kaggle/working/benchmark-experiments/recipes/recursive_muon_structural_vq_int3_4096_s0.json",
  "fingerprint": "e8d7be69184fface68ea87dafdafb4663a4fc62ab66aec7c15aae81c94377bc2",
  "total_updates": 4096,
  "schedule_total_updates": 4096,
  "tokens_per_update": 8192,
  "data_root": "/kaggle/working/benchmark-data",
  "manifest": "/kaggle/input/datasets/siennadai/lowp-benchmark-slimpajama-4x-v1/manifest.json",
  "manifest_exists": true,
  "optimizer": "recursive_muon",
  "compute": "fp32",
  "to_device": "cuda:0",
  "resolved_device": "cuda:0",
  "recursive_codebook": "/kaggle/working/benchmark-experiments/reports/muon_vector_int3_robustness/calibration_codebooks.pt",
  "recursive_codebook_exists": true
}
/usr/local/lib/python3.12/dist-packages/torch/autograd/__init__.py:16: FutureWarning: `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.
  from torch import _vmap_internals
[run] recursive_vq_int3_4096_s0 | recursive_muon | cuda:0 | fp32 | 4096 updates | schedule horizon 4096 | 33554432 tokens
[train] 1025/4096 | 8396800 tok | loss 5.8568 | lr 8.716e-04 | 1779.3 ms/update | 4604 tok/s
[train] 1026/4096 | 8404992 tok | loss 5.6067 | lr 8.714e-04 | 1216.0 ms/update | 6737 tok/s
[train] 1027/4096 | 8413184 tok | loss 5.6907 | lr 8.711e-04 | 1221.4 ms/update | 6707 tok/s
[train] 1028/4096 | 8421376 tok | loss 5.7917 | lr 8.709e-04 | 1215.5 ms/update | 6739 tok/s
[train] 1029/4096 | 8429568 tok | loss 5.6184 | lr 8.706e-04 | 1237.2 ms/update | 6621 tok/s
[train] 1030/4096 | 8437760 tok | loss 5.8159 | lr 8.704e-04 | 1219.0 ms/update | 6720 tok/s
[train] 1031/4096 | 8445952 tok | loss 5.7453 | lr 8.702e-04 | 1226.9 ms/update | 6677 tok/s
[train] 1032/4096 | 8454144 tok | loss 5.4872 | lr 8.699e-04 | 1224.0 ms/update | 6693 tok/s
[train] 1033/4096 | 8462336 tok | loss 5.9677 | lr 8.697e-04 | 1219.5 ms/update | 6718 tok/s
[train] 1034/4096 | 8470528 tok | loss 5.8077 | lr 8.694e-04 | 1227.5 ms/update | 6674 tok/s
[train] 1035/4096 | 8478720 tok | loss 5.5068 | lr 8.692e-04 | 1236.0 ms/update | 6628 tok/s
[train] 1036/4096 | 8486912 tok | loss 5.8268 | lr 8.689e-04 | 1233.5 ms/update | 6641 tok/s
[train] 1037/4096 | 8495104 tok | loss 5.4619 | lr 8.687e-04 | 1246.3 ms/update | 6573 tok/s
[train] 1038/4096 | 8503296 tok | loss 5.3993 | lr 8.684e-04 | 1243.1 ms/update | 6590 tok/s
[train] 1039/4096 | 8511488 tok | loss 5.5819 | lr 8.682e-04 | 1246.1 ms/update | 6574 tok/s
[train] 1040/4096 | 8519680 tok | loss 5.6696 | lr 8.680e-04 | 1233.3 ms/update | 6642 tok/s
[train] 1041/4096 | 8527872 tok | loss 5.5560 | lr 8.677e-04 | 1236.9 ms/update | 6623 tok/s
[train] 1042/4096 | 8536064 tok | loss 5.4968 | lr 8.675e-04 | 1237.3 ms/update | 6621 tok/s
[train] 1043/4096 | 8544256 tok | loss 5.8100 | lr 8.672e-04 | 1235.6 ms/update | 6630 tok/s
[train] 1044/4096 | 8552448 tok | loss 5.4251 | lr 8.670e-04 | 1240.5 ms/update | 6604 tok/s
[train] 1045/4096 | 8560640 tok | loss 5.7479 | lr 8.667e-04 | 1250.8 ms/update | 6550 tok/s
[train] 1046/4096 | 8568832 tok | loss 5.5497 | lr 8.665e-04 | 1248.3 ms/update | 6563 tok/s
[train] 1047/4096 | 8577024 tok | loss 5.5327 | lr 8.662e-04 | 1250.6 ms/update | 6550 tok/s
[train] 1048/4096 | 8585216 tok | loss 5.4169 | lr 8.660e-04 | 1243.3 ms/update | 6589 tok/s
[train] 1049/4096 | 8593408 tok | loss 6.0052 | lr 8.657e-04 | 1238.1 ms/update | 6616 tok/s
[train] 1050/4096 | 8601600 tok | loss 5.8557 | lr 8.655e-04 | 1262.9 ms/update | 6486 tok/s
[train] 1051/4096 | 8609792 tok | loss 5.8346 | lr 8.652e-04 | 1250.9 ms/update | 6549 tok/s
[train] 1052/4096 | 8617984 tok | loss 5.6586 | lr 8.650e-04 | 1245.0 ms/update | 6580 tok/s
[train] 1053/4096 | 8626176 tok | loss 5.5736 | lr 8.647e-04 | 1260.6 ms/update | 6498 tok/s
[train] 1054/4096 | 8634368 tok | loss 5.8926 | lr 8.645e-04 | 1252.9 ms/update | 6538 tok/s
[train] 1055/4096 | 8642560 tok | loss 5.9666 | lr 8.642e-04 | 1254.4 ms/update | 6531 tok/s
[train] 1056/4096 | 8650752 tok | loss 5.6635 | lr 8.640e-04 | 1254.6 ms/update | 6530 tok/s
[train] 1057/4096 | 8658944 tok | loss 5.6758 | lr 8.638e-04 | 1252.6 ms/update | 6540 tok/s
[train] 1058/4096 | 8667136 tok | loss 5.4196 | lr 8.635e-04 | 1242.2 ms/update | 6595 tok/s
[train] 1059/4096 | 8675328 tok | loss 5.6644 | lr 8.633e-04 | 1258.3 ms/update | 6510 tok/s
[train] 1060/4096 | 8683520 tok | loss 5.7275 | lr 8.630e-04 | 1256.1 ms/update | 6522 tok/s
[train] 1061/4096 | 8691712 tok | loss 5.8032 | lr 8.628e-04 | 1265.3 ms/update | 6474 tok/s
[train] 1062/4096 | 8699904 tok | loss 5.8538 | lr 8.625e-04 | 1259.6 ms/update | 6504 tok/s
[train] 1063/4096 | 8708096 tok | loss 5.4666 | lr 8.623e-04 | 1260.4 ms/update | 6500 tok/s
[train] 1064/4096 | 8716288 tok | loss 5.4773 | lr 8.620e-04 | 1264.2 ms/update | 6480 tok/s
[train] 1065/4096 | 8724480 tok | loss 5.5915 | lr 8.618e-04 | 1268.3 ms/update | 6459 tok/s
[train] 1066/4096 | 8732672 tok | loss 5.6488 | lr 8.615e-04 | 1271.3 ms/update | 6444 tok/s
[train] 1067/4096 | 8740864 tok | loss 5.7979 | lr 8.613e-04 | 1268.0 ms/update | 6460 tok/s
[train] 1068/4096 | 8749056 tok | loss 5.6695 | lr 8.610e-04 | 1265.1 ms/update | 6475 tok/s
[train] 1069/4096 | 8757248 tok | loss 5.4442 | lr 8.608e-04 | 1270.6 ms/update | 6448 tok/s
[train] 1070/4096 | 8765440 tok | loss 5.6841 | lr 8.605e-04 | 1268.3 ms/update | 6459 tok/s
[train] 1071/4096 | 8773632 tok | loss 5.5455 | lr 8.603e-04 | 1263.5 ms/update | 6483 tok/s
[train] 1072/4096 | 8781824 tok | loss 5.8345 | lr 8.600e-04 | 1268.8 ms/update | 6457 tok/s
[train] 1073/4096 | 8790016 tok | loss 5.4072 | lr 8.598e-04 | 1276.0 ms/update | 6420 tok/s
[train] 1074/4096 | 8798208 tok | loss 5.4757 | lr 8.595e-04 | 1271.3 ms/update | 6444 tok/s
[train] 1075/4096 | 8806400 tok | loss 5.6138 | lr 8.592e-04 | 1273.4 ms/update | 6433 tok/s
[train] 1076/4096 | 8814592 tok | loss 5.0109 | lr 8.590e-04 | 1273.7 ms/update | 6432 tok/s
[train] 1077/4096 | 8822784 tok | loss 5.1213 | lr 8.587e-04 | 1284.5 ms/update | 6378 tok/s
[train] 1078/4096 | 8830976 tok | loss 5.4512 | lr 8.585e-04 | 1283.0 ms/update | 6385 tok/s
[train] 1079/4096 | 8839168 tok | loss 5.2787 | lr 8.582e-04 | 1288.6 ms/update | 6357 tok/s
[train] 1080/4096 | 8847360 tok | loss 5.7164 | lr 8.580e-04 | 1281.8 ms/update | 6391 tok/s
[train] 1081/4096 | 8855552 tok | loss 5.8129 | lr 8.577e-04 | 1281.8 ms/update | 6391 tok/s
[train] 1082/4096 | 8863744 tok | loss 5.7171 | lr 8.575e-04 | 1289.6 ms/update | 6352 tok/s
[train] 1083/4096 | 8871936 tok | loss 5.7518 | lr 8.572e-04 | 1285.0 ms/update | 6375 tok/s
[train] 1084/4096 | 8880128 tok | loss 5.6465 | lr 8.570e-04 | 1288.6 ms/update | 6357 tok/s
[train] 1085/4096 | 8888320 tok | loss 5.5938 | lr 8.567e-04 | 1295.5 ms/update | 6323 tok/s
[train] 1086/4096 | 8896512 tok | loss 5.6804 | lr 8.565e-04 | 1297.3 ms/update | 6315 tok/s
[train] 1087/4096 | 8904704 tok | loss 5.6202 | lr 8.562e-04 | 1293.1 ms/update | 6335 tok/s
[train] 1088/4096 | 8912896 tok | loss 5.5913 | lr 8.560e-04 | 1296.2 ms/update | 6320 tok/s
[train] 1089/4096 | 8921088 tok | loss 5.3588 | lr 8.557e-04 | 1292.0 ms/update | 6341 tok/s
[train] 1090/4096 | 8929280 tok | loss 5.9363 | lr 8.554e-04 | 1299.0 ms/update | 6307 tok/s
[train] 1091/4096 | 8937472 tok | loss 5.7728 | lr 8.552e-04 | 1298.4 ms/update | 6309 tok/s
[train] 1092/4096 | 8945664 tok | loss 5.6666 | lr 8.549e-04 | 1310.1 ms/update | 6253 tok/s
[train] 1093/4096 | 8953856 tok | loss 5.7749 | lr 8.547e-04 | 1301.3 ms/update | 6295 tok/s
[train] 1094/4096 | 8962048 tok | loss 5.2898 | lr 8.544e-04 | 1307.6 ms/update | 6265 tok/s
[train] 1095/4096 | 8970240 tok | loss 5.6534 | lr 8.542e-04 | 1310.9 ms/update | 6249 tok/s
