Kaggle preflight (physical GPU 1 exposed as cuda:0)...
/usr/local/lib/python3.12/dist-packages/torch/autograd/__init__.py:16: FutureWarning: `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.
  from torch import _vmap_internals
{
  "recipe": "/kaggle/working/benchmark-experiments/recipes/recursive_muon_structural_vq_int3_4096_s0.json",
  "fingerprint": "e8d7be69184fface68ea87dafdafb4663a4fc62ab66aec7c15aae81c94377bc2",
  "total_updates": 4096,
  "schedule_total_updates": 4096,
  "tokens_per_update": 8192,
  "data_root": "/kaggle/working/benchmark-data",
  "manifest": "/kaggle/input/datasets/siennadai/lowp-benchmark-slimpajama-4x-v1/manifest.json",
  "manifest_exists": true,
  "optimizer": "recursive_muon",
  "compute": "fp32",
  "to_device": "cuda:0",
  "resolved_device": "cuda:0",
  "recursive_codebook": "/kaggle/working/benchmark-experiments/reports/muon_vector_int3_robustness/calibration_codebooks.pt",
  "recursive_codebook_exists": true
}
/usr/local/lib/python3.12/dist-packages/torch/autograd/__init__.py:16: FutureWarning: `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.
  from torch import _vmap_internals
[run] recursive_vq_int3_4096_s0 | recursive_muon | cuda:0 | fp32 | 4096 updates | schedule horizon 4096 | 33554432 tokens
[train] 2091/4096 | 17129472 tok | loss 5.1296 | lr 5.386e-04 | 1268.8 ms/update | 6457 tok/s
[train] 2092/4096 | 17137664 tok | loss 5.1732 | lr 5.382e-04 | 1267.9 ms/update | 6461 tok/s
[train] 2093/4096 | 17145856 tok | loss 5.0972 | lr 5.379e-04 | 1279.2 ms/update | 6404 tok/s
[train] 2094/4096 | 17154048 tok | loss 4.8442 | lr 5.375e-04 | 1269.5 ms/update | 6453 tok/s
[train] 2095/4096 | 17162240 tok | loss 5.4609 | lr 5.372e-04 | 1271.6 ms/update | 6443 tok/s
[train] 2096/4096 | 17170432 tok | loss 5.3979 | lr 5.368e-04 | 1272.4 ms/update | 6438 tok/s
[train] 2097/4096 | 17178624 tok | loss 5.1166 | lr 5.365e-04 | 1255.7 ms/update | 6524 tok/s
[train] 2098/4096 | 17186816 tok | loss 4.9919 | lr 5.361e-04 | 1268.6 ms/update | 6457 tok/s
[train] 2099/4096 | 17195008 tok | loss 5.2879 | lr 5.358e-04 | 1271.3 ms/update | 6444 tok/s
[train] 2100/4096 | 17203200 tok | loss 5.1244 | lr 5.354e-04 | 1270.3 ms/update | 6449 tok/s
[train] 2101/4096 | 17211392 tok | loss 5.4496 | lr 5.351e-04 | 1288.0 ms/update | 6360 tok/s
[train] 2102/4096 | 17219584 tok | loss 5.0583 | lr 5.347e-04 | 1280.6 ms/update | 6397 tok/s
[train] 2103/4096 | 17227776 tok | loss 5.3070 | lr 5.344e-04 | 1288.7 ms/update | 6357 tok/s
[train] 2104/4096 | 17235968 tok | loss 5.4952 | lr 5.340e-04 | 1283.6 ms/update | 6382 tok/s
[train] 2105/4096 | 17244160 tok | loss 5.2388 | lr 5.337e-04 | 1280.6 ms/update | 6397 tok/s
[train] 2106/4096 | 17252352 tok | loss 5.4306 | lr 5.334e-04 | 1287.6 ms/update | 6362 tok/s
[train] 2107/4096 | 17260544 tok | loss 5.4317 | lr 5.330e-04 | 1282.6 ms/update | 6387 tok/s
[train] 2108/4096 | 17268736 tok | loss 4.9112 | lr 5.327e-04 | 1290.3 ms/update | 6349 tok/s
[train] 2109/4096 | 17276928 tok | loss 5.4346 | lr 5.323e-04 | 1307.8 ms/update | 6264 tok/s
[train] 2110/4096 | 17285120 tok | loss 5.1772 | lr 5.320e-04 | 1294.6 ms/update | 6328 tok/s
[train] 2111/4096 | 17293312 tok | loss 5.1561 | lr 5.316e-04 | 1291.5 ms/update | 6343 tok/s
[train] 2112/4096 | 17301504 tok | loss 5.2221 | lr 5.313e-04 | 1296.7 ms/update | 6318 tok/s
[train] 2113/4096 | 17309696 tok | loss 5.2306 | lr 5.309e-04 | 1303.5 ms/update | 6284 tok/s
[train] 2114/4096 | 17317888 tok | loss 5.0963 | lr 5.306e-04 | 1301.4 ms/update | 6295 tok/s
[train] 2115/4096 | 17326080 tok | loss 5.3550 | lr 5.302e-04 | 1292.7 ms/update | 6337 tok/s
[train] 2116/4096 | 17334272 tok | loss 5.2459 | lr 5.299e-04 | 1314.4 ms/update | 6233 tok/s
[train] 2117/4096 | 17342464 tok | loss 5.3186 | lr 5.295e-04 | 1303.4 ms/update | 6285 tok/s
[train] 2118/4096 | 17350656 tok | loss 5.4284 | lr 5.292e-04 | 1310.7 ms/update | 6250 tok/s
[train] 2119/4096 | 17358848 tok | loss 5.2477 | lr 5.289e-04 | 1306.4 ms/update | 6271 tok/s
[train] 2120/4096 | 17367040 tok | loss 5.0018 | lr 5.285e-04 | 1304.7 ms/update | 6279 tok/s
[train] 2121/4096 | 17375232 tok | loss 5.3133 | lr 5.282e-04 | 1306.2 ms/update | 6272 tok/s
[train] 2122/4096 | 17383424 tok | loss 5.3839 | lr 5.278e-04 | 1299.4 ms/update | 6304 tok/s
[train] 2123/4096 | 17391616 tok | loss 5.3802 | lr 5.275e-04 | 1304.5 ms/update | 6280 tok/s
[train] 2124/4096 | 17399808 tok | loss 5.4425 | lr 5.271e-04 | 1313.9 ms/update | 6235 tok/s
[train] 2125/4096 | 17408000 tok | loss 5.0033 | lr 5.268e-04 | 1301.4 ms/update | 6295 tok/s
[train] 2126/4096 | 17416192 tok | loss 5.4998 | lr 5.264e-04 | 1305.7 ms/update | 6274 tok/s
[train] 2127/4096 | 17424384 tok | loss 5.3408 | lr 5.261e-04 | 1305.2 ms/update | 6277 tok/s
[train] 2128/4096 | 17432576 tok | loss 5.2512 | lr 5.257e-04 | 1312.1 ms/update | 6244 tok/s
[train] 2129/4096 | 17440768 tok | loss 5.0252 | lr 5.254e-04 | 1308.7 ms/update | 6260 tok/s
[train] 2130/4096 | 17448960 tok | loss 5.3594 | lr 5.250e-04 | 1291.2 ms/update | 6345 tok/s
[train] 2131/4096 | 17457152 tok | loss 5.0694 | lr 5.247e-04 | 1289.8 ms/update | 6352 tok/s
[train] 2132/4096 | 17465344 tok | loss 5.1998 | lr 5.243e-04 | 1298.1 ms/update | 6311 tok/s
[train] 2133/4096 | 17473536 tok | loss 5.2509 | lr 5.240e-04 | 1291.7 ms/update | 6342 tok/s
[train] 2134/4096 | 17481728 tok | loss 4.8375 | lr 5.237e-04 | 1294.9 ms/update | 6327 tok/s
[train] 2135/4096 | 17489920 tok | loss 5.1636 | lr 5.233e-04 | 1289.4 ms/update | 6353 tok/s
[train] 2136/4096 | 17498112 tok | loss 5.0763 | lr 5.230e-04 | 1289.4 ms/update | 6353 tok/s
[train] 2137/4096 | 17506304 tok | loss 5.0498 | lr 5.226e-04 | 1284.9 ms/update | 6375 tok/s
[train] 2138/4096 | 17514496 tok | loss 5.0834 | lr 5.223e-04 | 1287.2 ms/update | 6364 tok/s
[train] 2139/4096 | 17522688 tok | loss 5.1555 | lr 5.219e-04 | 1288.9 ms/update | 6356 tok/s
[train] 2140/4096 | 17530880 tok | loss 5.1657 | lr 5.216e-04 | 1299.5 ms/update | 6304 tok/s
[train] 2141/4096 | 17539072 tok | loss 5.4542 | lr 5.212e-04 | 1289.3 ms/update | 6354 tok/s
[train] 2142/4096 | 17547264 tok | loss 5.3849 | lr 5.209e-04 | 1285.3 ms/update | 6374 tok/s
[train] 2143/4096 | 17555456 tok | loss 5.0412 | lr 5.205e-04 | 1290.7 ms/update | 6347 tok/s
[train] 2144/4096 | 17563648 tok | loss 5.1945 | lr 5.202e-04 | 1284.9 ms/update | 6376 tok/s
[train] 2145/4096 | 17571840 tok | loss 5.1978 | lr 5.198e-04 | 1287.6 ms/update | 6362 tok/s
[train] 2146/4096 | 17580032 tok | loss 5.5444 | lr 5.195e-04 | 1289.2 ms/update | 6354 tok/s
[train] 2147/4096 | 17588224 tok | loss 5.1708 | lr 5.192e-04 | 1300.0 ms/update | 6301 tok/s
[train] 2148/4096 | 17596416 tok | loss 5.2059 | lr 5.188e-04 | 1291.7 ms/update | 6342 tok/s
[train] 2149/4096 | 17604608 tok | loss 5.3308 | lr 5.185e-04 | 1290.9 ms/update | 6346 tok/s
[train] 2150/4096 | 17612800 tok | loss 5.4926 | lr 5.181e-04 | 1285.9 ms/update | 6371 tok/s
[train] 2151/4096 | 17620992 tok | loss 5.2757 | lr 5.178e-04 | 1290.4 ms/update | 6348 tok/s
[train] 2152/4096 | 17629184 tok | loss 5.2826 | lr 5.174e-04 | 1294.3 ms/update | 6330 tok/s
[train] 2153/4096 | 17637376 tok | loss 5.4481 | lr 5.171e-04 | 1289.4 ms/update | 6353 tok/s
[train] 2154/4096 | 17645568 tok | loss 5.2127 | lr 5.167e-04 | 1292.2 ms/update | 6339 tok/s
[train] 2155/4096 | 17653760 tok | loss 5.3015 | lr 5.164e-04 | 1297.7 ms/update | 6313 tok/s
[train] 2156/4096 | 17661952 tok | loss 5.4086 | lr 5.160e-04 | 1283.8 ms/update | 6381 tok/s
[train] 2157/4096 | 17670144 tok | loss 5.2772 | lr 5.157e-04 | 1281.5 ms/update | 6393 tok/s
[train] 2158/4096 | 17678336 tok | loss 5.4636 | lr 5.154e-04 | 1282.0 ms/update | 6390 tok/s
