Kaggle preflight (physical GPU 0 exposed as cuda:0)...
/usr/local/lib/python3.12/dist-packages/torch/autograd/__init__.py:16: FutureWarning: `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.
  from torch import _vmap_internals
{
  "recipe": "/kaggle/working/benchmark-experiments/recipes/recursive_muon_structural_int4_4096_s0.json",
  "fingerprint": "d9781e9a40120a433fa25f926216d6f8845066a0e65c515d8b2223cb3f04651e",
  "total_updates": 4096,
  "schedule_total_updates": 4096,
  "tokens_per_update": 8192,
  "data_root": "/kaggle/working/benchmark-data",
  "manifest": "/kaggle/input/datasets/siennadai/lowp-benchmark-slimpajama-4x-v1/manifest.json",
  "manifest_exists": true,
  "optimizer": "recursive_muon",
  "compute": "fp32",
  "to_device": "cuda:0",
  "resolved_device": "cuda:0"
}
/usr/local/lib/python3.12/dist-packages/torch/autograd/__init__.py:16: FutureWarning: `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.
  from torch import _vmap_internals
[run] recursive_int4_4096_s0 | recursive_muon | cuda:0 | fp32 | 4096 updates | schedule horizon 4096 | 33554432 tokens
[train] 2049/4096 | 16785408 tok | loss 4.9560 | lr 5.531e-04 | 1665.7 ms/update | 4918 tok/s
[train] 2050/4096 | 16793600 tok | loss 5.3387 | lr 5.528e-04 | 1199.2 ms/update | 6831 tok/s
[train] 2051/4096 | 16801792 tok | loss 5.3215 | lr 5.524e-04 | 1206.0 ms/update | 6793 tok/s
[train] 2052/4096 | 16809984 tok | loss 5.3276 | lr 5.521e-04 | 1206.2 ms/update | 6792 tok/s
[train] 2053/4096 | 16818176 tok | loss 5.1660 | lr 5.517e-04 | 1197.4 ms/update | 6841 tok/s
[train] 2054/4096 | 16826368 tok | loss 5.1590 | lr 5.514e-04 | 1213.9 ms/update | 6748 tok/s
[train] 2055/4096 | 16834560 tok | loss 5.3221 | lr 5.510e-04 | 1216.2 ms/update | 6736 tok/s
[train] 2056/4096 | 16842752 tok | loss 4.8756 | lr 5.507e-04 | 1211.5 ms/update | 6762 tok/s
[train] 2057/4096 | 16850944 tok | loss 5.3747 | lr 5.503e-04 | 1215.7 ms/update | 6738 tok/s
[train] 2058/4096 | 16859136 tok | loss 5.1321 | lr 5.500e-04 | 1221.1 ms/update | 6709 tok/s
[train] 2059/4096 | 16867328 tok | loss 5.1950 | lr 5.497e-04 | 1224.1 ms/update | 6692 tok/s
[train] 2060/4096 | 16875520 tok | loss 4.7575 | lr 5.493e-04 | 1217.3 ms/update | 6730 tok/s
[train] 2061/4096 | 16883712 tok | loss 4.5656 | lr 5.490e-04 | 1228.8 ms/update | 6667 tok/s
[train] 2062/4096 | 16891904 tok | loss 5.3950 | lr 5.486e-04 | 1237.6 ms/update | 6619 tok/s
[train] 2063/4096 | 16900096 tok | loss 5.2619 | lr 5.483e-04 | 1208.6 ms/update | 6778 tok/s
[train] 2064/4096 | 16908288 tok | loss 5.1720 | lr 5.479e-04 | 1233.0 ms/update | 6644 tok/s
[train] 2065/4096 | 16916480 tok | loss 5.2691 | lr 5.476e-04 | 1233.9 ms/update | 6639 tok/s
[train] 2066/4096 | 16924672 tok | loss 5.3491 | lr 5.472e-04 | 1237.5 ms/update | 6620 tok/s
[train] 2067/4096 | 16932864 tok | loss 5.2021 | lr 5.469e-04 | 1237.7 ms/update | 6619 tok/s
[train] 2068/4096 | 16941056 tok | loss 5.1222 | lr 5.465e-04 | 1244.6 ms/update | 6582 tok/s
