seed,update,parameter_id,parameter_name,shape,rank,iterations,oversampling,initialization,approx_error,exact_error,relative_excess_error,spectral_gap_at_k,condition_proxy,m_multiplies,mt_multiplies
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",8,4,8,canonical,0.16853609681129456,0.16853594779968262,8.841532803671726e-07,0.001498933881521225,133.53759765625,5,4
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",16,4,8,canonical,0.1314307153224945,0.1313798725605011,0.00038699049036949873,0.0006821788847446442,293.418701171875,5,4
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1,0,0,randomized,0.336134135723114,0.2730292081832886,0.23112885653972626,0.06492334604263306,3.083082437515259,1,0
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",2,0,0,randomized,0.3343157172203064,0.23718129098415375,0.4095366299152374,0.04453239589929581,4.494795799255371,1,0
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",4,0,0,randomized,0.33321595191955566,0.20303212106227875,0.6411982178688049,0.016646608710289,12.024312973022461,1,0
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",8,0,0,randomized,0.33201345801353455,0.16853594779968262,0.9699860215187073,0.001498933881521225,133.53759765625,1,0
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",16,0,0,randomized,0.33118879795074463,0.1313798725605011,1.5208488702774048,0.0006821788847446442,293.418701171875,1,0
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1,2,0,randomized,0.27302926778793335,0.2730292081832886,2.183086706963877e-07,0.06492334604263306,3.083082437515259,3,2
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",2,2,0,randomized,0.23718133568763733,0.23718129098415375,1.88478125551228e-07,0.04453239589929581,4.494795799255371,3,2
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",4,2,0,randomized,0.2030433565378189,0.20303212106227875,5.533841249416582e-05,0.016646608710289,12.024312973022461,3,2
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",8,2,0,randomized,0.16878613829612732,0.16853594779968262,0.0014844933757558465,0.001498933881521225,133.53759765625,3,2
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",16,2,0,randomized,0.1353183090686798,0.1313798725605011,0.029977472499012947,0.0006821788847446442,293.418701171875,3,2
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1,4,0,randomized,0.2730291783809662,0.2730292081832886,-1.0915433534819385e-07,0.06492334604263306,3.083082437515259,5,4
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",2,4,0,randomized,0.23718130588531494,0.23718129098415375,6.282603948193355e-08,0.04453239589929581,4.494795799255371,5,4
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",4,4,0,randomized,0.20303218066692352,0.20303212106227875,2.935724978669896e-07,0.016646608710289,12.024312973022461,5,4
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",8,4,0,randomized,0.16853877902030945,0.16853594779968262,1.679891283856705e-05,0.001498933881521225,133.53759765625,5,4
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",16,4,0,randomized,0.13213728368282318,0.1313798725605011,0.005765046924352646,0.0006821788847446442,293.418701171875,5,4
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1,0,8,randomized,0.33421891927719116,0.2730292081832886,0.22411416471004486,0.06492334604263306,3.083082437515259,1,0
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",2,0,8,randomized,0.3321199417114258,0.23718129098415375,0.40027883648872375,0.04453239589929581,4.494795799255371,1,0
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",4,0,8,randomized,0.3302372992038727,0.20303212106227875,0.6265273690223694,0.016646608710289,12.024312973022461,1,0
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",8,0,8,randomized,0.3287411332130432,0.16853594779968262,0.9505698084831238,0.001498933881521225,133.53759765625,1,0
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",16,0,8,randomized,0.32749661803245544,0.1313798725605011,1.4927457571029663,0.0006821788847446442,293.418701171875,1,0
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1,2,8,randomized,0.27302926778793335,0.2730292081832886,2.183086706963877e-07,0.06492334604263306,3.083082437515259,3,2
