seed,update,parameter_id,parameter_name,shape,rank,iterations,oversampling,initialization,left_max_angle,left_mean_angle,left_projection_distance,right_max_angle,right_mean_angle,right_projection_distance,update_fidelity_loss
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1,0,0,canonical,0.23520781099796295,0.23520781099796295,0.32956939935684204,1.3375916481018066,1.3375916481018066,1.375928282737732,0.3743780255317688
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",2,0,0,canonical,0.30626192688941956,0.25945019721984863,0.5204455852508545,1.3565068244934082,1.3446519374847412,1.948946237564087,0.3727668523788452
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",4,0,0,canonical,0.946567714214325,0.5706034302711487,1.6334789991378784,1.4619414806365967,1.3957772254943848,2.781308650970459,0.37158095836639404
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",8,0,0,canonical,1.5394126176834106,0.7229552268981934,2.6516168117523193,1.5657029151916504,1.4098892211914062,3.9323644638061523,0.3703482151031494
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",16,0,0,canonical,1.558685302734375,0.7350767850875854,3.8171870708465576,1.5691769123077393,1.4058581590652466,5.5550947189331055,0.3671792149543762
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1,2,0,canonical,0.0,0.0,5.993492959532887e-05,0.0,0.0,0.00040584622183814645,0.32141566276550293
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",2,2,0,canonical,0.0009134905994869769,0.00045674529974348843,0.0006852578953839839,0.00172633514739573,0.001035801018588245,0.0028256590012460947,0.2876092791557312
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",4,2,0,canonical,0.010500933974981308,0.004327310714870691,0.016162680462002754,0.02719157189130783,0.010295659303665161,0.04304175451397896,0.25005877017974854
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",8,2,0,canonical,0.13675028085708618,0.02910197153687477,0.20991173386573792,0.1932125836610794,0.04780574142932892,0.31214016675949097,0.20264911651611328
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",16,2,0,canonical,1.4789669513702393,0.190062016248703,1.7432193756103516,1.5031882524490356,0.22878503799438477,1.9095247983932495,0.15164703130722046
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1,4,0,canonical,0.0,0.0,1.151870833382418e-06,0.0,0.0,1.0581201195236645e-06,0.32156533002853394
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",2,4,0,canonical,0.0,0.0,2.727515266087721e-06,0.0,0.0,7.608101896039443e-06,0.28731870651245117
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",4,4,0,canonical,0.0007720404537394643,0.00019301011343486607,0.00023770518600940704,0.000845727976411581,0.00029774874565191567,0.0006626761751249433,0.25061917304992676
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",8,4,0,canonical,0.017787348479032516,0.00329803628847003,0.0257630106061697,0.02738599106669426,0.0049954429268836975,0.04004131257534027,0.20223206281661987
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",16,4,0,canonical,1.373436689376831,0.11987373232841492,1.4572646617889404,1.399139404296875,0.13081885874271393,1.4972747564315796,0.14968860149383545
