seed,update,parameter_id,parameter_name,shape,rank,iterations,oversampling,initialization,method,fraction_of_exact_gain,raw_relative_l2,raw_cosine,raw_norm_ratio,update_relative_l2,update_cosine,update_norm_ratio,exact_polar_relative_l2,exact_polar_cosine,exact_polar_norm_ratio
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1,0,0,canonical,approximate_bf16,0.0250940462843053,0.17713773250579834,0.9843682646751404,1.0030442476272583,0.8646106719970703,0.6256219744682312,0.9983816742897034,,,
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",2,0,0,canonical,approximate_bf16,0.03359666608467859,0.1764712780714035,0.9844892024993896,1.0032249689102173,0.8627389669418335,0.6272331476211548,0.9983611702919006,,,
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",4,0,0,canonical,approximate_bf16,0.033212644942756366,0.17590071260929108,0.9845877885818481,1.0031324625015259,0.861227810382843,0.628419041633606,0.9980395436286926,,,
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",8,0,0,canonical,approximate_bf16,0.03109120800635744,0.17524856328964233,0.9847001433372498,1.0030356645584106,0.8599398136138916,0.6296517848968506,0.9983695149421692,,,
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",16,0,0,canonical,approximate_bf16,0.03746861697033496,0.17436684668064117,0.984855592250824,1.0031453371047974,0.8563148379325867,0.6328207850456238,0.9985145330429077,,,
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1,2,0,canonical,approximate_bf16,1.0027583975987526,0.14791780710220337,0.9890828728675842,1.0017554759979248,0.8018439412117004,0.6785843372344971,1.000184416770935,,,
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",2,2,0,canonical,approximate_bf16,0.996713003253965,0.12801700830459595,0.9918150305747986,1.0008864402770996,0.7604647874832153,0.7123907208442688,1.0053110122680664,,,
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",4,2,0,canonical,approximate_bf16,1.0042464786518717,0.11056103557348251,0.9938898086547852,1.0000869035720825,0.7104954719543457,0.7499412298202515,1.0091919898986816,,,
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",8,2,0,canonical,approximate_bf16,0.9985732898821185,0.08991474658250809,0.9959619045257568,1.0007609128952026,0.6411638855934143,0.7973508834838867,1.0138072967529297,,,
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",16,2,0,canonical,approximate_bf16,0.981087590130391,0.07163013517856598,0.9974372386932373,1.0003234148025513,0.5550407767295837,0.8483529686927795,1.0149853229522705,,,
