seed,update,parameter_id,parameter_name,shape,rank,iterations,oversampling,initialization,runtime_seconds,m_multiplies,mt_multiplies,qr_count,flop_proxy
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",16,2,0,randomized,1.270942440998624,3,2,6,42467328
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1,4,0,randomized,1.40838402499503,5,4,10,70778880
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",2,4,0,randomized,1.551425929996185,5,4,10,70778880
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",4,4,0,randomized,1.7018602239986649,5,4,10,70778880
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",8,4,0,randomized,1.8666706859949045,5,4,10,70778880
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",16,4,0,randomized,2.0482187309971778,5,4,10,70778880
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1,0,8,randomized,0.053701673008617945,1,0,2,21233664
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",2,0,8,randomized,0.24706264599808492,1,0,2,21233664
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",4,0,8,randomized,0.3936504250013968,1,0,2,21233664
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",8,0,8,randomized,0.5439326460036682,1,0,2,21233664
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",16,0,8,randomized,0.6981349850102561,1,0,2,21233664
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1,2,8,randomized,0.845938375001424,3,2,6,63700992
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",2,2,8,randomized,1.007331475004321,3,2,6,63700992
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",4,2,8,randomized,1.149755060003372,3,2,6,63700992
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",8,2,8,randomized,1.3114942680113018,3,2,6,63700992
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",16,2,8,randomized,1.4938958510028897,3,2,6,63700992
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1,4,8,randomized,1.6339602600055514,5,4,10,106168320
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",2,4,8,randomized,1.8167665650107665,5,4,10,106168320
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",4,4,8,randomized,1.998709592007799,5,4,10,106168320
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",8,4,8,randomized,2.172690049002995,5,4,10,106168320
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",16,4,8,randomized,2.3493456290016184,5,4,10,106168320
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",1,0,0,canonical,0.010232775995973498,1,0,2,4718592
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",2,0,0,canonical,0.06961050599056762,1,0,2,4718592
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",4,0,0,canonical,0.12647414598905016,1,0,2,4718592
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",8,0,0,canonical,0.18273902998771518,1,0,2,4718592
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",16,0,0,canonical,0.24491620899061672,1,0,2,4718592
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",1,2,0,canonical,0.30397985999297816,3,2,6,14155776
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",2,2,0,canonical,0.3599630859971512,3,2,6,14155776
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",4,2,0,canonical,0.41300316198612563,3,2,6,14155776
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",8,2,0,canonical,0.4755152549914783,3,2,6,14155776
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",16,2,0,canonical,0.5320704619953176,3,2,6,14155776
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",1,4,0,canonical,0.5942916469939519,5,4,10,23592960
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",2,4,0,canonical,0.6551892419956857,5,4,10,23592960
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",4,4,0,canonical,0.7225135739863617,5,4,10,23592960
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",8,4,0,canonical,0.8034544759866549,5,4,10,23592960
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",16,4,0,canonical,0.8703825589909684,5,4,10,23592960
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",1,0,8,canonical,0.018149294002796523,1,0,2,7077888
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",2,0,8,canonical,0.09422937501221895,1,0,2,7077888
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",4,0,8,canonical,0.16089741200266872,1,0,2,7077888
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",8,0,8,canonical,0.2266179560101591,1,0,2,7077888
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",16,0,8,canonical,0.29741302400361747,1,0,2,7077888
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",1,2,8,canonical,0.3752442940021865,3,2,6,21233664
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",2,2,8,canonical,0.44589380999968853,3,2,6,21233664
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",4,2,8,canonical,0.5197635590011487,3,2,6,21233664
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",8,2,8,canonical,0.5950020730087999,3,2,6,21233664
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",16,2,8,canonical,0.6638567839981988,3,2,6,21233664
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",1,4,8,canonical,0.7277502000069944,5,4,10,35389440
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",2,4,8,canonical,0.8181937860063044,5,4,10,35389440
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",4,4,8,canonical,0.9101093370118178,5,4,10,35389440
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",8,4,8,canonical,1.0008968910115073,5,4,10,35389440
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",16,4,8,canonical,1.0959522550110705,5,4,10,35389440
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",1,0,0,randomized,0.013672649001819082,1,0,2,4718592
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",2,0,0,randomized,0.07746179400419351,1,0,2,4718592
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",4,0,0,randomized,0.14390259700303432,1,0,2,4718592
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",8,0,0,randomized,0.21307625499321148,1,0,2,4718592
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",16,0,0,randomized,0.28986802700092085,1,0,2,4718592
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",1,2,0,randomized,0.3778427939978428,3,2,6,14155776
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",2,2,0,randomized,0.446237972995732,3,2,6,14155776
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",4,2,0,randomized,0.5075409690034576,3,2,6,14155776
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",8,2,0,randomized,0.5734675239946228,3,2,6,14155776
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",16,2,0,randomized,0.6410463509964757,3,2,6,14155776
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",1,4,0,randomized,0.6999481929960893,5,4,10,23592960
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",2,4,0,randomized,0.7650382430001628,5,4,10,23592960
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",4,4,0,randomized,0.8281413990043802,5,4,10,23592960
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",8,4,0,randomized,0.8945701290067518,5,4,10,23592960
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",16,4,0,randomized,0.9565932859986788,5,4,10,23592960
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",1,0,8,randomized,0.019479504000628367,1,0,2,7077888
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",2,0,8,randomized,0.0860853290068917,1,0,2,7077888
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",4,0,8,randomized,0.23513196400017478,1,0,2,7077888
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",8,0,8,randomized,0.33932063401152845,1,0,2,7077888
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",16,0,8,randomized,0.4367103650001809,1,0,2,7077888
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",1,2,8,randomized,0.5015479639987461,3,2,6,21233664
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",2,2,8,randomized,0.5633628710056655,3,2,6,21233664
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",4,2,8,randomized,0.627607849004562,3,2,6,21233664
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",8,2,8,randomized,0.6874805500119692,3,2,6,21233664
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",16,2,8,randomized,0.7496420540119288,3,2,6,21233664
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",1,4,8,randomized,0.8177842950099148,5,4,10,35389440
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",2,4,8,randomized,0.9254330890107667,5,4,10,35389440
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",4,4,8,randomized,1.012586053009727,5,4,10,35389440
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",8,4,8,randomized,1.0981678440002725,5,4,10,35389440
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",16,4,8,randomized,1.1853634510043776,5,4,10,35389440
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",1,0,0,canonical,0.02787785000691656,1,0,2,12582912
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",2,0,0,canonical,0.15084231599757914,1,0,2,12582912
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",4,0,0,canonical,0.3916674200008856,1,0,2,12582912
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",8,0,0,canonical,0.5110982570040505,1,0,2,12582912
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",16,0,0,canonical,0.6319982340064598,1,0,2,12582912
