shape,rank,iterations,oversampling,initialization,relative_excess_error,runtime_seconds,update_cosine
"[1152, 384]",1,0,0,canonical,0.2276468276977539,0.036913263000315055,0.6256219744682312
"[1152, 384]",2,0,0,canonical,0.4072883427143097,0.20059289000346325,0.6272331476211548
"[1152, 384]",4,0,0,canonical,0.6397583484649658,0.3493631710007321,0.628419041633606
"[1152, 384]",8,0,0,canonical,0.9701371788978577,0.5008591280056862,0.6296517848968506
"[1152, 384]",16,0,0,canonical,1.5218812227249146,0.6338105629984057,0.6328207850456238
"[1152, 384]",1,2,0,canonical,-3.274629989391542e-07,0.7844650810002349,0.6785843372344971
"[1152, 384]",2,2,0,canonical,5.026083158554684e-07,0.9206221229978837,0.7123907208442688
"[1152, 384]",4,2,0,canonical,7.251240458572283e-05,1.066345461003948,0.7499412298202515
"[1152, 384]",8,2,0,canonical,0.001392541453242302,1.2097156570089282,0.7973508834838867
"[1152, 384]",16,2,0,canonical,0.02975188009440899,1.3510090130002936,0.8483529686927795
"[1152, 384]",1,4,0,canonical,-1.0915433534819385e-07,1.4886999309965177,0.6784346699714661
"[1152, 384]",2,4,0,canonical,6.282603948193355e-08,1.6318517530016834,0.7126812934875488
"[1152, 384]",4,4,0,canonical,6.605380917790171e-07,1.7666788860078668,0.7493808269500732
"[1152, 384]",8,4,0,canonical,2.0070279788342305e-05,1.9217780860053608,0.7977679371833801
"[1152, 384]",16,4,0,canonical,0.008910194970667362,2.0689407640020363,0.8503113985061646
"[1152, 384]",1,0,8,canonical,0.2236647754907608,0.03846125899872277,0.6260942816734314
"[1152, 384]",2,0,8,canonical,0.40111517906188965,0.17409909200796392,0.6273593306541443
"[1152, 384]",4,0,8,canonical,0.6298412084579468,0.3479347329994198,0.6290835738182068
"[1152, 384]",8,0,8,canonical,0.9544210433959961,0.5375194829975953,0.6315741539001465
"[1152, 384]",16,0,8,canonical,1.4987717866897583,0.6833156450011302,0.6351770758628845
"[1152, 384]",1,2,8,canonical,0.0,0.8233119979995536,0.6784878969192505
"[1152, 384]",2,2,8,canonical,-6.282603948193355e-08,0.9679236049996689,0.7124863266944885
"[1152, 384]",4,2,8,canonical,6.385201686498476e-06,1.1081428110046545,0.7498313188552856
"[1152, 384]",8,2,8,canonical,0.000145973710459657,1.250876676000189,0.7962861061096191
"[1152, 384]",16,2,8,canonical,0.005673970095813274,1.400622649001889,0.8535126447677612
"[1152, 384]",1,4,8,canonical,-1.0915433534819385e-07,1.544021955007338,0.6784347891807556
"[1152, 384]",2,4,8,canonical,1.256520789638671e-07,1.723196413993719,0.7126813530921936
"[1152, 384]",4,4,8,canonical,7.33931244667474e-08,1.9068592700059526,0.7493844628334045
"[1152, 384]",8,4,8,canonical,8.841532803671726e-07,2.113807810994331,0.7977020740509033
"[1152, 384]",16,4,8,canonical,0.00038699049036949873,2.3172284890024457,0.8543035387992859
"[1152, 384]",1,0,0,randomized,0.23112885653972626,0.03432656399672851,0.6265998482704163
"[1152, 384]",2,0,0,randomized,0.4095366299152374,0.1699083179992158,0.6273539066314697
"[1152, 384]",4,0,0,randomized,0.6411982178688049,0.30854428898601327,0.6297816038131714
"[1152, 384]",8,0,0,randomized,0.9699860215187073,0.45040718899690546,0.6291331648826599
"[1152, 384]",16,0,0,randomized,1.5208488702774048,0.5854262149950955,0.6319593191146851
"[1152, 384]",1,2,0,randomized,2.183086706963877e-07,0.7239770949963713,0.678507924079895
"[1152, 384]",2,2,0,randomized,1.88478125551228e-07,0.8700335920002544,0.7123348712921143
"[1152, 384]",4,2,0,randomized,5.533841249416582e-05,0.9999994479876477,0.7500249147415161
"[1152, 384]",8,2,0,randomized,0.0014844933757558465,1.1374756909935968,0.7969236969947815
"[1152, 384]",16,2,0,randomized,0.029977472499012947,1.270942440998624,0.8474205136299133
"[1152, 384]",1,4,0,randomized,-1.0915433534819385e-07,1.40838402499503,0.6784349679946899
"[1152, 384]",2,4,0,randomized,6.282603948193355e-08,1.551425929996185,0.7126778364181519
"[1152, 384]",4,4,0,randomized,2.935724978669896e-07,1.7018602239986649,0.7493780851364136
"[1152, 384]",8,4,0,randomized,1.679891283856705e-05,1.8666706859949045,0.7976219654083252
"[1152, 384]",16,4,0,randomized,0.005765046924352646,2.0482187309971778,0.8524147868156433
"[1152, 384]",1,0,8,randomized,0.22411416471004486,0.053701673008617945,0.6288257837295532
"[1152, 384]",2,0,8,randomized,0.40027883648872375,0.24706264599808492,0.6275918483734131
"[1152, 384]",4,0,8,randomized,0.6265273690223694,0.3936504250013968,0.6307389140129089
"[1152, 384]",8,0,8,randomized,0.9505698084831238,0.5439326460036682,0.6301173567771912
"[1152, 384]",16,0,8,randomized,1.4927457571029663,0.6981349850102561,0.6360786557197571
"[1152, 384]",1,2,8,randomized,2.183086706963877e-07,0.845938375001424,0.6785054206848145
"[1152, 384]",2,2,8,randomized,3.141302045150951e-07,1.007331475004321,0.712683916091919
"[1152, 384]",4,2,8,randomized,4.330194315116387e-06,1.149755060003372,0.7493725419044495
"[1152, 384]",8,2,8,randomized,9.469281940255314e-05,1.3114942680113018,0.7977370619773865
"[1152, 384]",16,2,8,randomized,0.004768194630742073,1.4938958510028897,0.8537641167640686
"[1152, 384]",1,4,8,randomized,-1.0915433534819385e-07,1.6339602600055514,0.6784349083900452
"[1152, 384]",2,4,8,randomized,1.256520789638671e-07,1.8167665650107665,0.7126885652542114
"[1152, 384]",4,4,8,randomized,2.2017935918938747e-07,1.998709592007799,0.7493885159492493
"[1152, 384]",8,4,8,randomized,7.073226129250543e-07,2.172690049002995,0.7975564002990723
