seed,update,parameter_id,parameter_name,shape,rank,iterations,oversampling,initialization,approx_local,approx_medium,approx_distant,direct_local,direct_medium,direct_distant
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1,0,0,canonical,0.484692245721817,0.4605192244052887,0.045097190886735916,0.48594504594802856,0.45963576436042786,0.04506915062665939
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",2,0,0,canonical,0.4849230647087097,0.4607234001159668,0.045020941644907,0.48594504594802856,0.45963576436042786,0.04506915062665939
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",4,0,0,canonical,0.4842223823070526,0.46122172474861145,0.04513619467616081,0.48594504594802856,0.45963576436042786,0.04506915062665939
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",8,0,0,canonical,0.4846537113189697,0.4608451724052429,0.045067086815834045,0.48594504594802856,0.45963576436042786,0.04506915062665939
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",16,0,0,canonical,0.48529672622680664,0.46050524711608887,0.04500595107674599,0.48594504594802856,0.45963576436042786,0.04506915062665939
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1,2,0,canonical,0.4803355038166046,0.46230149269104004,0.0462094247341156,0.48594504594802856,0.45963576436042786,0.04506915062665939
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",2,2,0,canonical,0.4850215017795563,0.4614144265651703,0.0428057424724102,0.48594504594802856,0.45963576436042786,0.04506915062665939
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",4,2,0,canonical,0.4814927875995636,0.46225443482398987,0.044450633227825165,0.48594504594802856,0.45963576436042786,0.04506915062665939
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",8,2,0,canonical,0.4817397892475128,0.46482357382774353,0.043661367148160934,0.48594504594802856,0.45963576436042786,0.04506915062665939
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",16,2,0,canonical,0.4866034984588623,0.4609881639480591,0.043958477675914764,0.48594504594802856,0.45963576436042786,0.04506915062665939
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1,4,0,canonical,0.4803204834461212,0.46224483847618103,0.04628412052989006,0.48594504594802856,0.45963576436042786,0.04506915062665939
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",2,4,0,canonical,0.4850868284702301,0.4611101448535919,0.04307595267891884,0.48594504594802856,0.45963576436042786,0.04506915062665939
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",4,4,0,canonical,0.48284417390823364,0.4616110026836395,0.04383201152086258,0.48594504594802856,0.45963576436042786,0.04506915062665939
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",8,4,0,canonical,0.4854440987110138,0.4607579708099365,0.04389035701751709,0.48594504594802856,0.45963576436042786,0.04506915062665939
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",16,4,0,canonical,0.4845411479473114,0.4620576798915863,0.04387432709336281,0.48594504594802856,0.45963576436042786,0.04506915062665939
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1,0,8,canonical,0.4844757318496704,0.46073660254478455,0.045129645615816116,0.48594504594802856,0.45963576436042786,0.04506915062665939
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",2,0,8,canonical,0.48511844873428345,0.46038901805877686,0.04500711336731911,0.48594504594802856,0.45963576436042786,0.04506915062665939
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",4,0,8,canonical,0.48437875509262085,0.4604361355304718,0.04552145674824715,0.48594504594802856,0.45963576436042786,0.04506915062665939
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",8,0,8,canonical,0.48488616943359375,0.4604927897453308,0.045235808938741684,0.48594504594802856,0.45963576436042786,0.04506915062665939
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",16,0,8,canonical,0.48485130071640015,0.4605759382247925,0.04530899599194527,0.48594504594802856,0.45963576436042786,0.04506915062665939
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",1,2,8,canonical,0.48019111156463623,0.4622996151447296,0.04634935408830643,0.48594504594802856,0.45963576436042786,0.04506915062665939
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",2,2,8,canonical,0.48523393273353577,0.46106600761413574,0.04297010600566864,0.48594504594802856,0.45963576436042786,0.04506915062665939
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",4,2,8,canonical,0.482480525970459,0.4622833728790283,0.04372657462954521,0.48594504594802856,0.45963576436042786,0.04506915062665939
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",8,2,8,canonical,0.48791152238845825,0.45915424823760986,0.04295676574110985,0.48594504594802856,0.45963576436042786,0.04506915062665939
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",16,2,8,canonical,0.4871636927127838,0.4586545526981354,0.0443095825612545,0.48594504594802856,0.45963576436042786,0.04506915062665939
