seed,update,parameter_id,shape,rank,correction_bytes,correction_bits_per_value,total_bits_per_value,momentum_cosine,momentum_rel_l2,k5_cosine,k5_rel_l2,m_dot,m_a2,m_b2,m_d2,k_dot,k_a2,k_b2,k_d2,energy_r1,energy_r2,energy_r4,energy_r8,momentum_cosine_closure,k5_cosine_closure,momentum_rel_l2_closure
1,128,0,"(1152, 384)",0,0,0.0,3.488594714506173,0.8923309445381165,0.49877655506134033,0.4324982464313507,1.0697858333587646,0.0914110615849495,0.09274601936340332,0.11314927041530609,0.023073166608810425,144.81387329101562,332.09161376953125,337.595458984375,380.05926513671875,0.24850492179393768,0.3583182394504547,0.4344501197338104,0.5279373526573181,0.0,0.0,0.0
1,128,0,"(1152, 384)",1,3072,0.0023148148148148147,3.4909095293209877,0.9203749895095825,0.4170713722705841,0.43226510286331177,1.070029377937317,0.09774551540613174,0.09968118369579315,0.11314927041530609,0.017339404672384262,144.7294464111328,332.06207275390625,337.595458984375,380.19866943359375,0.24850492179393768,0.3583182394504547,0.4344501197338104,0.5279373526573181,0.2604652269973156,-0.00041082440111039697,0.16381119353275936
1,128,0,"(1152, 384)",2,6144,0.004629629629629629,3.4932243441358026,0.9323527216911316,0.3832862973213196,0.4332476556301117,1.0691126585006714,0.0995626375079155,0.10078168660402298,0.11314927041530609,0.014805679209530354,145.05564880371094,332.0493469238281,337.595458984375,379.533447265625,0.24850492179393768,0.3583182394504547,0.4344501197338104,0.5279373526573181,0.371711045307567,0.0013205407631755135,0.23154708570016402
1,128,0,"(1152, 384)",4,12288,0.009259259259259259,3.497853973765432,0.9406067728996277,0.3579867482185364,0.4347495138645172,1.067640781402588,0.10096167027950287,0.10182312875986099,0.11314927041530609,0.013049084693193436,145.5732879638672,332.1167297363281,337.595458984375,378.5656433105469,0.24850492179393768,0.3583182394504547,0.4344501197338104,0.5279373526573181,0.4483723587470459,0.003966978813738896,0.2822702980205022
1,128,0,"(1152, 384)",8,24576,0.018518518518518517,3.5071132330246915,0.9507540464401245,0.3216196298599243,0.4360053837299347,1.067006230354309,0.10377802699804306,0.10529883205890656,0.11314927041530609,0.010892048478126526,145.84495544433594,331.4400939941406,337.595458984375,377.34564208984375,0.24850492179393768,0.3583182394504547,0.4344501197338104,0.5279373526573181,0.5426173904041603,0.006179958522647516,0.35518294395298705
1,128,1,"(384, 384)",0,0,0.0,3.488594714506173,0.901616632938385,0.47176650166511536,0.4213942587375641,1.054871916770935,0.9462915658950806,0.9629247188568115,1.1439707279205322,0.2143123745918274,122.31550598144531,302.2916259765625,278.7154235839844,336.37603759765625,0.21625502407550812,0.3104358911514282,0.3966728746891022,0.4906088411808014,0.0,0.0,0.0
1,128,1,"(384, 384)",1,1536,0.0011574074074074073,3.4897521219135803,0.9240244030952454,0.4035925567150116,0.42131200432777405,1.0548980236053467,1.0035951137542725,1.0311859846115112,1.1439707279205322,0.16796651482582092,122.30366516113281,302.3511962890625,278.7154235839844,336.45928955078125,0.21625502407550812,0.3104358911514282,0.3966728746891022,0.4906088411808014,0.22775974055479253,-0.0001421596847804717,0.14450781204151117
1,128,1,"(384, 384)",2,3072,0.0023148148148148147,3.4909095293209877,0.9333890080451965,0.37703022360801697,0.42248237133026123,1.0540943145751953,1.017899513244629,1.0396109819412231,1.1439707279205322,0.14778247475624084,122.57781982421875,302.0276184082031,278.7154235839844,335.58740234375,0.21625502407550812,0.3104358911514282,0.3966728746891022,0.4906088411808014,0.3229445795132555,0.0018805769025434067,0.20081179507812358
1,128,1,"(384, 384)",4,6144,0.004629629629629629,3.4932243441358026,0.9418601393699646,0.35274139046669006,0.42417827248573303,1.0524907112121582,1.0269221067428589,1.0391745567321777,1.1439707279205322,0.12930093705654144,123.08409881591797,302.0977478027344,278.7154235839844,334.64495849609375,0.21625502407550812,0.3104358911514282,0.3966728746891022,0.4906088411808014,0.40904786686530165,0.004811590258497299,0.2522966568807286
1,128,1,"(384, 384)",8,12288,0.009259259259259259,3.497853973765432,0.9512404799461365,0.3190770149230957,0.42643117904663086,1.0503098964691162,1.053541898727417,1.0722826719284058,1.1439707279205322,0.10916940867900848,123.76890563964844,302.249267578125,278.7154235839844,333.42694091796875,0.21625502407550812,0.3104358911514282,0.3966728746891022,0.4906088411808014,0.504392647759995,0.008705271914649386,0.3236547872795061
1,128,2,"(1024, 384)",0,0,0.0,3.488594714506173,0.910792350769043,0.45449045300483704,0.7434666156768799,0.7170102000236511,0.07168084383010864,0.07149775326251984,0.0866326242685318,0.014768699184060097,223.6843719482422,300.2705078125,301.4681091308594,154.36981201171875,0.11078061163425446,0.15688620507717133,0.21958795189857483,0.2979494035243988,0.0,0.0,0.0
1,128,2,"(1024, 384)",1,2816,0.0021219135802469135,3.4907166280864197,0.921157717704773,0.4274631142616272,0.7437170147895813,0.7170092463493347,0.07268552482128143,0.07187105715274811,0.0866326242685318,0.01313262339681387,223.54232788085938,299.686767578125,301.4681091308594,154.0701904296875,0.11078061163425446,0.15688620507717133,0.21958795189857483,0.2979494035243988,0.11619370115778108,0.0009760878232753613,0.05946734098487695
1,128,2,"(1024, 384)",2,5632,0.004243827160493827,3.4928385416666665,0.9254539012908936,0.41570109128952026,0.7440451979637146,0.7167121171951294,0.07311822474002838,0.07205554842948914,0.0866326242685318,0.012451709248125553,223.54196166992188,299.4216003417969,301.4681091308594,153.80577087402344,0.11078061163425446,0.15688620507717133,0.21958795189857483,0.2979494035243988,0.1643530644316396,0.0022553878839642783,0.08534692304065614
1,128,2,"(1024, 384)",4,11264,0.008487654320987654,3.4970823688271606,0.9312291741371155,0.39794230461120605,0.7448747158050537,0.7159093618392944,0.07394471764564514,0.07278250902891159,0.0866326242685318,0.01152569055557251,223.56939697265625,298.828369140625,301.4681091308594,153.15765380859375,0.11078061163425446,0.15688620507717133,0.21958795189857483,0.2979494035243988,0.2290927240461402,0.0054889547100826315,0.12442098182649648
1,128,2,"(1024, 384)",8,22528,0.016975308641975308,3.5055700231481484,0.9382941126823425,0.37190136313438416,0.7465481162071228,0.7154990434646606,0.07561434805393219,0.07496446371078491,0.0866326242685318,0.010368399322032928,222.8897705078125,295.68408203125,301.4681091308594,151.37261962890625,0.11078061163425446,0.15688620507717133,0.21958795189857483,0.2979494035243988,0.3082892795672486,0.012012083878960463,0.1817179862072348
1,128,3,"(1024, 384)",0,0,0.0,3.488594714506173,0.9046138525009155,0.4727293848991394,0.7395337224006653,0.7209059596061707,0.06294538080692291,0.06274203956127167,0.07716988772153854,0.014021172188222408,224.25421142578125,303.96221923828125,302.51715087890625,157.970947265625,0.11069221794605255,0.16278281807899475,0.22270376980304718,0.3022160530090332,0.0,0.0,0.0
1,128,3,"(1024, 384)",1,2816,0.0021219135802469135,3.4907166280864197,0.9157659411430359,0.44578817486763,0.7399643659591675,0.7204900979995728,0.0637228712439537,0.06274501234292984,0.07716988772153854,0.012469146400690079,224.27206420898438,303.6571044921875,302.51715087890625,157.63003540039062,0.11069221794605255,0.16278281807899475,0.22270376980304718,0.3022160530090332,0.11691518039584732,0.0016533562903856588,0.056990766582571385
1,128,3,"(1024, 384)",2,5632,0.004243827160493827,3.4928385416666665,0.9209893345832825,0.43198010325431824,0.7404802441596985,0.719969630241394,0.06416867673397064,0.06290625035762787,0.07716988772153854,0.01173877902328968,224.30520629882812,303.3230895996094,302.51715087890625,157.2298126220703,0.11069221794605255,0.16278281807899475,0.22270376980304718,0.3022160530090332,0.17167568364708427,0.0036339512652351917,0.08620001833293132
1,128,3,"(1024, 384)",4,11264,0.008487654320987654,3.4970823688271606,0.9268632531166077,0.41310301423072815,0.7413336634635925,0.7192181944847107,0.06506754457950592,0.06386381387710571,0.07716988772153854,0.010898620821535587,224.29385375976562,302.59515380859375,302.51715087890625,156.52459716796875,0.11069221794605255,0.16278281807899475,0.22270376980304718,0.3022160530090332,0.2332560984906712,0.006910457198209844,0.12613214361771274
1,128,3,"(1024, 384)",8,22528,0.016975308641975308,3.5055700231481484,0.9345074892044067,0.38456735014915466,0.7430751323699951,0.7187325358390808,0.06677044928073883,0.06615478545427322,0.07716988772153854,0.009783771820366383,223.62005615234375,299.37139892578125,302.51715087890625,154.64846801757812,0.11069221794605255,0.16278281807899475,0.22270376980304718,0.3022160530090332,0.313395996035778,0.013596424082112653,0.18649577869756248
1,128,4,"(384, 1024)",0,0,0.0,3.488594714506173,0.899186372756958,0.49350064992904663,0.6671810150146484,0.8159835934638977,0.7971850633621216,0.7864113450050354,0.9994831085205078,0.19152431190013885,194.2877197265625,291.1268005371094,291.2897033691406,193.84103393554688,0.10682269185781479,0.14241759479045868,0.20823416113853455,0.30489078164100647,0.0,0.0,0.0
1,128,4,"(384, 1024)",1,2816,0.0021219135802469135,3.4907166280864197,0.9105539321899414,0.4624066650867462,0.6677296161651611,0.8159103393554688,0.81423020362854,0.800042450428009,0.9994831085205078,0.1710653156042099,194.1634521484375,290.2773132324219,291.2897033691406,193.2401885986328,0.10682269185781479,0.14241759479045868,0.20823416113853455,0.30489078164100647,0.11275816319532309,0.0016483469250915509,0.06300697850503535
1,128,4,"(384, 1024)",2,5632,0.004243827160493827,3.4928385416666665,0.9142457842826843,0.44978442788124084,0.6685335636138916,0.815045177936554,0.8235570788383484,0.81187903881073,0.9994831085205078,0.1642480492591858,194.33836364746094,290.1014709472656,291.2897033691406,192.71437072753906,0.10682269185781479,0.14241759479045868,0.20823416113853455,0.30489078164100647,0.14937872922101111,0.0040639166041044625,0.0885839199078889
1,128,4,"(384, 1024)",4,11264,0.008487654320987654,3.4970823688271606,0.9210496544837952,0.4258674383163452,0.6697874069213867,0.8142204284667969,0.8419843912124634,0.8361281156539917,0.9994831085205078,0.15164262056350708,194.36300659179688,289.08990478515625,291.2897033691406,191.65362548828125,0.10682269185781479,0.14241759479045868,0.20823416113853455,0.30489078164100647,0.21686831755521552,0.007831259706693105,0.13704786735828092
1,128,4,"(384, 1024)",8,22528,0.016975308641975308,3.5055700231481484,0.9310271739959717,0.39215147495269775,0.6721511483192444,0.8123414516448975,0.8660286664962769,0.8657047152519226,0.9994831085205078,0.13313063979148865,194.55636596679688,287.6311950683594,291.2897033691406,189.8081817626953,0.10682269185781479,0.14241759479045868,0.20823416113853455,0.30489078164100647,0.3158382662122821,0.014933442888826486,0.20536786525189057
1,128,5,"(1152, 384)",0,0,0.0,3.488594714506173,0.8640494346618652,0.5412182211875916,0.3738260567188263,1.1025266647338867,0.05946631357073784,0.06475746631622314,0.07314369827508926,0.018968556076288223,117.10331726074219,322.97711181640625,303.82928466796875,392.59979248046875,0.24290697276592255,0.33265942335128784,0.4374943673610687,0.535512387752533,0.0,0.0,0.0
1,128,5,"(1152, 384)",1,3072,0.0023148148148148147,3.4909095293209877,0.8981446027755737,0.4650002121925354,0.37467366456985474,1.1018487215042114,0.06259975582361221,0.06641681492328644,0.07314369827508926,0.014360988512635231,117.35354614257812,322.89288330078125,303.82928466796875,392.0151062011719,0.24290697276592255,0.33265942335128784,0.4374943673610687,0.535512387752533,0.2507909255758324,0.0013536300258470467,0.1408267608356043
1,128,5,"(1152, 384)",2,6144,0.004629629629629629,3.4932243441358026,0.9101244807243347,0.43912217020988464,0.37581178545951843,1.100692868232727,0.06306587904691696,0.06564657390117645,0.07314369827508926,0.01265852153301239,117.7446060180664,323.0828552246094,303.82928466796875,391.4229736328125,0.24290697276592255,0.33265942335128784,0.4374943673610687,0.535512387752533,0.3389102939577495,0.003171209473020946,0.18864119311001434
1,128,5,"(1152, 384)",4,12288,0.009259259259259259,3.497853973765432,0.9245302081108093,0.402202308177948,0.377155065536499,1.0994646549224854,0.06421639025211334,0.06595903635025024,0.07314369827508926,0.010669965296983719,118.17539978027344,323.13720703125,303.82928466796875,390.61572265625,0.24290697276592255,0.33265942335128784,0.4374943673610687,0.535512387752533,0.44487327653634223,0.005316428211989475,0.25685741456487154
1,128,5,"(1152, 384)",8,24576,0.018518518518518517,3.5071132330246915,0.9382997155189514,0.3586735129356384,0.37819376587867737,1.0985742807388306,0.06641030311584473,0.06848761439323425,0.07314369827508926,0.00881071574985981,118.49508666992188,323.1057434082031,303.82928466796875,389.94482421875,0.24290697276592255,0.33265942335128784,0.4374943673610687,0.535512387752533,0.5461564699816561,0.006975233011076959,0.33728485314370327
1,128,6,"(384, 384)",0,0,0.0,3.488594714506173,0.8896104097366333,0.4841086268424988,0.3826272189617157,1.0746619701385498,0.727576732635498,0.7788221836090088,0.8588572144508362,0.18252594769001007,108.20921325683594,303.59173583984375,263.4438171386719,350.6171875,0.26207518577575684,0.3255976438522339,0.4236902892589569,0.5259302854537964,0.0,0.0,0.0
