seed,update,rank,correction_bits_per_value,total_bits_per_value,momentum_cosine_mean,momentum_rel_l2_mean,k5_cosine_mean,k5_rel_l2_mean
1,128,0,0.0,3.488594714506173,0.9052928746702137,0.4622459697400509,0.5222588786656681,0.9743786664254482
1,128,1,0.059027777777777776,3.4905623070987652,0.923841894493511,0.40750986628463665,0.5218712144565608,0.9746840588889839
1,128,2,0.11805555555555555,3.4925298996913576,0.930680750470995,0.38920560383184305,0.5224429180475465,0.974146332437048
1,128,4,0.2361111111111111,3.4964650848765433,0.9391498551106914,0.36274787222034083,0.5234116140130691,0.973300868423406
1,128,8,0.4722222222222222,3.5043354552469137,0.9486146635053884,0.32978109559971874,0.5249762713082646,0.9721614007489895
1,512,0,0.0,3.488594714506173,0.7622780627479713,0.7250513507853398,0.42161361108532175,1.0607145275596617
1,512,1,0.059027777777777776,3.4905623070987652,0.8156082155505735,0.6394431194173964,0.4224484195206053,1.0601665769285575
1,512,2,0.11805555555555555,3.4925298996913576,0.8344223672751432,0.6029907079754123,0.4233641231984093,1.0597018559001852
1,512,4,0.2361111111111111,3.4964650848765433,0.8542797226852793,0.5638674154261851,0.42529495223182906,1.058225243189733
1,512,8,0.4722222222222222,3.5043354552469137,0.876942895933521,0.5148826448640689,0.4295033849418993,1.0549377483098956
1,1024,0,0.0,3.488594714506173,0.6302041613633049,0.8890575225186396,0.3293610496543324,1.1399203031119145
1,1024,1,0.059027777777777776,3.4905623070987652,0.7397417005428774,0.7345971910000582,0.330494571734781,1.1392841373065346
1,1024,2,0.11805555555555555,3.4925298996913576,0.7667986480715212,0.6968886098161448,0.33210497231356495,1.137948615053508
1,1024,4,0.2361111111111111,3.4964650848765433,0.7947449081295359,0.6552807251621421,0.3352588776430136,1.1350920492548822
1,1024,8,0.4722222222222222,3.5043354552469137,0.8242368453117919,0.606076808510045,0.34148312887136234,1.1300918267980131
1,2048,0,0.0,3.488594714506173,0.5416623979302613,1.0006779151101817,0.2672540870934232,1.1941427008456291
1,2048,1,0.059027777777777776,3.4905623070987652,0.6867395379117041,0.8217465923674673,0.26896840170300523,1.1930507374962167
1,2048,2,0.11805555555555555,3.4925298996913576,0.728106289682702,0.7706163589223438,0.27081938536105055,1.1912804588086408
1,2048,4,0.2361111111111111,3.4964650848765433,0.7597040594610438,0.7249252777865596,0.27434545126023024,1.1885531676445236
1,2048,8,0.4722222222222222,3.5043354552469137,0.7928028488168152,0.6708068171559822,0.28147496696898705,1.1829465257259872
1,4096,0,0.0,3.488594714506173,0.49133638575298544,1.0389352395441256,0.23449550689150947,1.2213082997296623
1,4096,1,0.059027777777777776,3.4905623070987652,0.6808381640517702,0.828848887554585,0.23629463614556295,1.220234802773472
1,4096,2,0.11805555555555555,3.4925298996913576,0.7302091590434318,0.7627202124631509,0.23831683554550226,1.2186894591419921
1,4096,4,0.2361111111111111,3.4964650848765433,0.7640666711987846,0.7132793636058232,0.24221379440583224,1.2157287479690988
1,4096,8,0.4722222222222222,3.5043354552469137,0.7972903173022418,0.6601422797879751,0.2501263151740429,1.2094227679727059
