seed,update,target_additional_bits_per_value,budget_bytes,used_bytes,actual_additional_bits_per_value,total_bits_per_value,mse_gain,momentum_cosine_mean,momentum_rel_l2_mean,k5_cosine_mean,k5_rel_l2_mean
1,128,0.0,0,0,0.0,3.488594714506173,0,0.9052928746702137,0.4622459697400509,0.5222588786656681,0.9743786664254482
1,128,0.1,132710,131584,0.09915123456790123,3.587745949074074,0.5380824306048453,0.9419155125980273,0.3534166898437635,0.5236221335805595,0.9732077596128819
1,128,0.25,331776,331520,0.2498070987654321,3.738401813271605,0.7244945902493782,0.954362304875648,0.30872453599958516,0.5261006519898379,0.9709084297861867
1,128,0.5,663552,662528,0.4992283950617284,3.987823109567901,0.8766468493267894,0.964388019448006,0.27018004759682723,0.5314240459784696,0.9656587668104045
1,128,1.0,1327104,1326848,0.9998070987654321,4.488401813271605,1.0303873060329352,0.9743606029523886,0.2278350367906568,0.544428339509751,0.9521145742409598
1,512,0.0,0,0,0.0,3.488594714506173,0,0.7622780627479713,0.7250513507853398,0.42161361108532175,1.0607145275596617
1,512,0.1,132710,131328,0.09895833333333333,3.5875530478395063,1.0974904177710414,0.855958622014666,0.5596866758288452,0.42384882567257537,1.0588043439103152
1,512,0.25,331776,331520,0.2498070987654321,3.738401813271605,1.4420292937429622,0.885546432199481,0.49304598983285913,0.4279317540529977,1.0555724518782417
1,512,0.5,663552,663040,0.4996141975308642,3.988208912037037,1.7217677128501236,0.9090335632979195,0.4353778550436033,0.4351466329703809,1.0492567235469188
1,512,1.0,1327104,1326336,0.9994212962962963,4.488016010802469,2.0180503990268335,0.9333690100879009,0.36910732642870037,0.44987126897661894,1.0363020306417814
1,1024,0.0,0,0,0.0,3.488594714506173,0,0.6302041613633049,0.8890575225186396,0.3293610496543324,1.1399203031119145
1,1024,0.1,132710,132096,0.09953703703703703,3.58813175154321,1.6936912136152387,0.7860869893694845,0.6692100443636573,0.33244983360962765,1.1373693256493358
1,1024,0.25,331776,331008,0.2494212962962963,3.738016010802469,2.1306446481030434,0.8258432562343627,0.6010569771683968,0.337374915325438,1.1336992714472958
1,1024,0.5,663552,662528,0.4992283950617284,3.987823109567901,2.5034882572945207,0.85945764266157,0.5374125450393691,0.34614616961627387,1.1261839113045844
1,1024,1.0,1327104,1326592,0.9996141975308642,4.488208912037037,2.898628448951058,0.8948260137888201,0.4618110457316292,0.363716746265624,1.1116636588577433
1,2048,0.0,0,0,0.0,3.488594714506173,0,0.5416623979302613,1.0006779151101817,0.2672540870934232,1.1941427008456291
1,2048,0.1,132710,132608,0.09992283950617284,3.5885175540123457,2.4684945517219603,0.7456996518823321,0.7464807057372109,0.2710185520314919,1.1905880609852892
1,2048,0.25,331776,330496,0.2490354938271605,3.7376302083333335,2.9679003267083317,0.7884478482386325,0.6764422813468374,0.27650070882496947,1.1866553196371603
1,2048,0.5,663552,663296,0.4998070987654321,3.988401813271605,3.4044163550715894,0.8257487379461962,0.6084034273923683,0.2858272921330683,1.179340128094578
1,2048,1.0,1327104,1326080,0.9992283950617284,4.487823109567901,3.892678646661807,0.86652447572458,0.5268710531639891,0.304516989885818,1.1646255934950314
1,4096,0.0,0,0,0.0,3.488594714506173,0,0.49133638575298544,1.0389352395441256,0.23449550689150947,1.2213082997296623
1,4096,0.1,132710,132096,0.09953703703703703,3.58813175154321,3.8916101208887994,0.7495084831523303,0.7355029871567205,0.23836334541658064,1.2182553754170184
1,4096,0.25,331776,330496,0.2490354938271605,3.7376302083333335,4.492537054931745,0.7910642774970256,0.669692115679882,0.2442902923394008,1.2136734553148063
1,4096,0.5,663552,663296,0.4998070987654321,3.988401813271605,4.990271298447624,0.8261657792246907,0.6060726503463671,0.2541276657537966,1.20628205033236
1,4096,1.0,1327104,1326592,0.9996141975308642,4.488208912037037,5.560570772388019,0.8655198969311123,0.5281933299170376,0.27426771410902967,1.1904780589134718
