seed,update,parameter_id,parameter_name,shape,rank_label,kind,distance_group,energy,fraction_total_error
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",fixed_4,structural,medium,0.006774405017495155,0.47031456232070923
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",fixed_4,structural,distant,0.002168385311961174,0.15054062008857727
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",fixed_8,structural,local,0.0036502699367702007,0.37197569012641907
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",fixed_8,structural,medium,0.004619883839040995,0.4707828462123871
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",fixed_8,structural,distant,0.0014789814595133066,0.15071354806423187
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",fixed_16,structural,local,0.0022582639940083027,0.3682170510292053
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",fixed_16,structural,medium,0.0029122261330485344,0.4748476445674896
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",fixed_16,structural,distant,0.0009166824165731668,0.14946796000003815
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",energy_25,structural,local,0.010829659178853035,0.3699888586997986
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",energy_25,structural,medium,0.013817709870636463,0.47207385301589966
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",energy_25,structural,distant,0.004354915581643581,0.1487831026315689
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",energy_50,structural,local,0.007395769003778696,0.37238308787345886
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",energy_50,structural,medium,0.009337838739156723,0.470167875289917
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",energy_50,structural,distant,0.0029837298206984997,0.15023325383663177
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",energy_75,structural,local,0.0036502699367702007,0.37197569012641907
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",energy_75,structural,medium,0.004619883839040995,0.4707828462123871
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",energy_75,structural,distant,0.0014789814595133066,0.15071354806423187
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",energy_90,structural,local,0.0015193073777481914,0.371501088142395
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",energy_90,structural,medium,0.0019353129900991917,0.4732227623462677
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",energy_90,structural,distant,0.0006088758818805218,0.14888234436511993
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",fixed_1,structural,local,0.0007723656017333269,0.33640581369400024
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",fixed_1,structural,medium,0.00018846368766389787,0.08208584040403366
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",fixed_1,structural,distant,1.973120106413262e-06,0.0008593975217081606
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",fixed_2,structural,local,0.0006345414440147579,0.3337978720664978
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",fixed_2,structural,medium,0.0001573765475768596,0.08278727531433105
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",fixed_2,structural,distant,1.8319889250051347e-06,0.0009637100738473237
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",fixed_4,structural,local,0.0005156687111593783,0.33500993251800537
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",fixed_4,structural,medium,0.0001248147018486634,0.08108726143836975
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",fixed_4,structural,distant,1.5599927110088174e-06,0.0010134666226804256
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",fixed_8,structural,local,0.0004076578770764172,0.3299442231655121
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",fixed_8,structural,medium,9.602794307284057e-05,0.07772170752286911
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",fixed_8,structural,distant,1.2226258832015446e-06,0.0009895511902868748
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",fixed_16,structural,local,0.0003186929097864777,0.32737666368484497
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",fixed_16,structural,medium,7.460168853867799e-05,0.07663443684577942
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",fixed_16,structural,distant,8.675253866385901e-07,0.0008911637705750763
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",energy_25,structural,local,0.0007723656017333269,0.33640581369400024
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",energy_25,structural,medium,0.00018846368766389787,0.08208584040403366
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",energy_25,structural,distant,1.973120106413262e-06,0.0008593975217081606
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",energy_50,structural,local,0.0005156687111593783,0.33500993251800537
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",energy_50,structural,medium,0.0001248147018486634,0.08108726143836975
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",energy_50,structural,distant,1.5599927110088174e-06,0.0010134666226804256
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",energy_75,structural,local,0.00024319066142197698,0.32289189100265503
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",energy_75,structural,medium,5.588834028458223e-05,0.0742047056555748
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",energy_75,structural,distant,6.554623155352601e-07,0.0008702779305167496
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",energy_90,structural,local,8.861414244165644e-05,0.3161300718784332
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",energy_90,structural,medium,1.90533774002688e-05,0.06797273457050323
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",energy_90,structural,distant,2.1530759397592192e-07,0.0007681077113375068
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",fixed_1,structural,local,0.0007397455046884716,0.33711814880371094
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",fixed_1,structural,medium,0.00018764901324175298,0.08551574498414993
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",fixed_1,structural,distant,2.6559071102383314e-06,0.0012103547342121601
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",fixed_2,structural,local,0.0006157869938760996,0.3349302411079407
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",fixed_2,structural,medium,0.0001586730795679614,0.0863032415509224
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",fixed_2,structural,distant,1.7910231235873653e-06,0.0009741482208482921
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",fixed_4,structural,local,0.00048515418893657625,0.32974618673324585
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",fixed_4,structural,medium,0.000124711703392677,0.08476316928863525
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",fixed_4,structural,distant,1.3449002835841384e-06,0.0009140923502855003
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",fixed_8,structural,local,0.00038839085027575493,0.3303660750389099
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",fixed_8,structural,medium,9.476145351072773e-05,0.08060429245233536
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",fixed_8,structural,distant,9.509057008472155e-07,0.0008088423637673259
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",fixed_16,structural,local,0.0002968838671222329,0.327239066362381
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",fixed_16,structural,medium,7.030397682683542e-05,0.07749228179454803
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",fixed_16,structural,distant,6.966389491935843e-07,0.0007678675465285778
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",energy_25,structural,local,0.0007397455046884716,0.33711814880371094
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",energy_25,structural,medium,0.00018764901324175298,0.08551574498414993
