seed,update,parameter_id,parameter_name,shape,raw_relative_l2,raw_cosine,raw_norm_ratio,update_relative_l2,update_cosine,update_norm_ratio,exact_polar_relative_l2,exact_polar_cosine,exact_polar_norm_ratio,kind,rank_label,rank,rank_kind,energy_target,low_rank_energy_fraction,update_cosine_gain_vs_direct,update_l2_reduction_vs_direct,exact_polar_cosine_gain_vs_direct,recovered_cosine_error_fraction
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",0.1479140818119049,0.9890826940536499,1.0017207860946655,0.8020301461219788,0.6784338355064392,1.0001808404922485,0.762277364730835,0.7094684839248657,1.0000004768371582,structural,fixed_1,1,fixed,,0.3495803475379944,0.05417126417160034,0.06422370672225952,0.052820026874542236,0.14417319127361977
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",0.12800754606723785,0.9918208718299866,1.0014108419418335,0.7600719928741455,0.7126919627189636,1.0053226947784424,0.7164865732192993,0.7433263659477234,1.0,structural,fixed_2,2,fixed,,0.5091644525527954,0.08842939138412476,0.10618185997009277,0.0866779088973999,0.23534890228603952
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",0.11055690795183182,0.9938938617706299,1.0004976987838745,0.711380660533905,0.7494207620620728,1.0095914602279663,0.6657431125640869,0.7783951759338379,1.0000008344650269,structural,fixed_4,4,fixed,,0.6403294801712036,0.1251581907272339,0.15487319231033325,0.1217467188835144,0.3331001416916832
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",0.08963804692029953,0.9959882497787476,1.00090491771698,0.6406106948852539,0.7976142168045044,1.013408899307251,0.5981202125549316,0.821128785610199,1.000000238418579,structural,fixed_8,8,fixed,,0.7521660923957825,0.17335164546966553,0.22564315795898438,0.1644803285598755,0.461363793555281
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",0.06975843012332916,0.9975707530975342,1.0006217956542969,0.5471678972244263,0.8526890277862549,1.0153661966323853,0.514099657535553,0.8678538203239441,0.9999998807907104,structural,fixed_16,16,fixed,,0.8493970036506653,0.22842645645141602,0.319085955619812,0.2112053632736206,0.6079417141457539
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",0.1479140818119049,0.9890826940536499,1.0017207860946655,0.8020301461219788,0.6784338355064392,1.0001808404922485,0.762277364730835,0.7094684839248657,1.0000004768371582,structural,energy_25,1,energy,0.25,0.3495803475379944,0.05417126417160034,0.06422370672225952,0.052820026874542236,0.14417319127361977
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",0.12800754606723785,0.9918208718299866,1.0014108419418335,0.7600719928741455,0.7126919627189636,1.0053226947784424,0.7164865732192993,0.7433263659477234,1.0,structural,energy_50,2,energy,0.5,0.5091644525527954,0.08842939138412476,0.10618185997009277,0.0866779088973999,0.23534890228603952
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",0.08963804692029953,0.9959882497787476,1.00090491771698,0.6406106948852539,0.7976142168045044,1.013408899307251,0.5981202125549316,0.821128785610199,1.000000238418579,structural,energy_75,8,energy,0.75,0.7521660923957825,0.17335164546966553,0.22564315795898438,0.1644803285598755,0.461363793555281
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",0.056206077337265015,0.9984219074249268,1.0001826286315918,0.4671650528907776,0.8924586772918701,1.013776183128357,0.4436509907245636,0.9015889167785645,1.0000009536743164,structural,energy_90,26,energy,0.9,0.9007646441459656,0.26819610595703125,0.3990887999534607,0.24494045972824097,0.7137859725868155
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",0.15060096979141235,0.9886784553527832,1.001421570777893,0.8773912191390991,0.6332372426986694,1.0465211868286133,0.8897197246551514,0.6042003631591797,1.000000238418579,structural,fixed_1,1,fixed,,0.3415682017803192,0.0551949143409729,0.06253385543823242,0.05410116910934448,0.13080675634157451
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",0.1240541934967041,0.9923232793807983,1.001916527748108,0.8260504007339478,0.6762443780899048,1.0499602556228638,0.8500090837478638,0.6387436985969543,1.0,structural,fixed_2,2,fixed,,0.5363215804100037,0.09820204973220825,0.11387467384338379,0.08864450454711914,0.23272962273679154
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",0.1056467816233635,0.9944249987602234,1.000638484954834,0.7663559317588806,0.7211402058601379,1.0487703084945679,0.8051555752754211,0.6758634448051453,1.0000001192092896,structural,fixed_4,4,fixed,,0.6572874784469604,0.1430978775024414,0.17356914281845093,0.12576425075531006,0.33912851245360576
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",0.08720070868730545,0.9962036609649658,1.0009206533432007,0.6985400319099426,0.7684633135795593,1.04862642288208,0.7535994648933411,0.7160451412200928,1.000000238418579,structural,fixed_8,8,fixed,,0.764323353767395,0.1904209852218628,0.24138504266738892,0.16594594717025757,0.4512798273834538
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",0.06893668323755264,0.9976269006729126,1.0007585287094116,0.6006166934967041,0.8276536464691162,1.041541337966919,0.6873047351837158,0.7638077735900879,0.9999995827674866,structural,fixed_16,16,fixed,,0.8547651171684265,0.24961131811141968,0.33930838108062744,0.21370857954025269,0.5915553499475582
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",0.15060096979141235,0.9886784553527832,1.001421570777893,0.8773912191390991,0.6332372426986694,1.0465211868286133,0.8897197246551514,0.6042003631591797,1.000000238418579,structural,energy_25,1,energy,0.25,0.3415682017803192,0.0551949143409729,0.06253385543823242,0.05410116910934448,0.13080675634157451
