seed,update,parameter_id,parameter_name,shape,rank_label,kind,residual_error_norm,residual_relative_to_R,error_over_M,error_spectral_norm
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",fixed_2,structural,0.04287819191813469,0.19150598347187042,0.15159788727760315,0.004518276080489159
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",fixed_4,structural,0.03835724666714668,0.19111748039722443,0.13561387360095978,0.0038015053141862154
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",fixed_8,structural,0.03428741171956062,0.19060663878917694,0.1212247759103775,0.003194755408912897
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",fixed_16,structural,0.030120283365249634,0.1891830712556839,0.10649169236421585,0.0026183337904512882
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",energy_25,structural,0.0468432754278183,0.19241712987422943,0.16561663150787354,0.004813780076801777
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",energy_50,structural,0.036799728870391846,0.1908595860004425,0.13010719418525696,0.0036419550888240337
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",energy_75,structural,0.026259008795022964,0.18655064702033997,0.09283997118473053,0.0022464978974312544
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",energy_90,structural,0.01598912663757801,0.17935578525066376,0.056530315428972244,0.0013049471890553832
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",fixed_1,structural,0.19821029901504517,0.21926531195640564,0.20141679048538208,0.01909184828400612
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",fixed_2,structural,0.18552850186824799,0.21890877187252045,0.188529834151268,0.017758065834641457
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",fixed_4,structural,0.16374027729034424,0.21570873260498047,0.16638913750648499,0.014922204427421093
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",fixed_8,structural,0.1423146277666092,0.21426352858543396,0.14461688697338104,0.012717337347567081
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",fixed_16,structural,0.11158057302236557,0.2020506113767624,0.1133856400847435,0.009593707509338856
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",energy_25,structural,0.18552850186824799,0.21890877187252045,0.188529834151268,0.017758065834641457
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",energy_50,structural,0.14677554368972778,0.2146076112985611,0.14914996922016144,0.01306095626205206
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",energy_75,structural,0.09672041982412338,0.19783759117126465,0.09828508645296097,0.008178268559277058
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",energy_90,structural,0.05793912336230278,0.1867421269416809,0.05887641757726669,0.004837240558117628
