seed,update,parameter_id,parameter_name,shape,sigma_max,sigma_min,naive_condition_number,effective_rank,effective_condition_number,effective_rank_entropy,stable_rank,sigma_p10,sigma_p25,sigma_median,sigma_p75,sigma_p90,tail_energy_fraction_10pct,tail_energy_fraction_25pct,actual_update_error,actual_update_relative_l2,actual_raw_cosine,head_mode_count,tail_mode_count,total_projected_error_energy,total_projected_error_fraction,head_singular_value_error_energy,head_singular_value_error_fraction,tail_singular_value_error_energy,tail_singular_value_error_fraction,head_subspace_mixing_energy,head_subspace_mixing_fraction,tail_subspace_mixing_energy,tail_subspace_mixing_fraction,cross_subspace_mixing_energy,cross_subspace_mixing_fraction,unresolved_error_energy,unresolved_error_fraction,diagonal_spectral_error_energy,offdiagonal_spectral_error_energy
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",0.2001640349626541,0.0004301797307562083,465.30328369140625,384,465.30328369140625,143.36256408691406,2.8605728149414062,0.0006417320109903812,0.0010397036094218493,0.0024738553911447525,0.006436873693019152,0.014583919197320938,0.00010107496927957982,0.0004453478613868356,0.37573909759521484,0.8662536144256592,0.9841943979263306,26,358,0.0026530299801379442,1.0,1.671086465648841e-05,0.0062987846322357655,8.095038538158406e-06,0.0030512427911162376,1.4963704416004475e-05,0.005640232004225254,0.0022195668425410986,0.836615800857544,0.00039369333535432816,0.14839385449886322,0.000983638921752572,0.37076058983802795,2.4805903194646817e-05,0.0026282238823114312
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",0.6639323234558105,8.035868631850462e-06,82621.1015625,384,82621.1015625,130.43069458007812,2.927672863006592,0.0006859669811092317,0.0022883708588778973,0.007560797035694122,0.021356333047151566,0.04890153929591179,4.624582288670354e-06,0.00010098050552187487,0.4219582676887512,0.9399246573448181,0.9819701910018921,25,359,0.04659130424261093,1.0,0.0003433670790400356,0.0073697674088180065,0.00014342025679070503,0.003078262321650982,0.00021405373991001397,0.004594285041093826,0.039892662316560745,0.8562254905700684,0.00599780073389411,0.12873218953609467,0.0,0.0,0.00048678733583074063,0.04610451679036487
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"[1024, 384]",0.15357491374015808,0.002348958747461438,65.37999725341797,384,65.37999725341797,264.7517395019531,3.629438877105713,0.0033300723880529404,0.004395552910864353,0.006507717538625002,0.009795079939067364,0.01513800397515297,0.003823199775069952,0.013757473789155483,0.08572667837142944,0.41660627722740173,0.9824668765068054,115,269,0.001284375786781311,1.0,2.151147782569751e-05,0.016748584806919098,6.0756892708013766e-06,0.004730460699647665,0.00013490041601471603,0.10503189265727997,0.000558962463401258,0.43520164489746094,0.0005629257066175342,0.4382873773574829,0.0017198720015585423,1.3390722274780273,2.7587167096498888e-05,0.0012567885860335082
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"[1024, 384]",0.14399127662181854,0.002256534993648529,63.810787200927734,384,63.810787200927734,264.3128967285156,3.8584890365600586,0.0031773350201547146,0.00425900099799037,0.006249104160815477,0.009445448406040668,0.014933395199477673,0.0037651120219379663,0.013666273094713688,0.08549219369888306,0.4161347448825836,0.9825742244720459,115,269,0.0012005188036710024,1.0,1.898472328321077e-05,0.015813766047358513,5.491203410201706e-06,0.0045740255154669285,0.00012934140977449715,0.10773792862892151,0.0005245783249847591,0.4369596838951111,0.00052212318405509,0.43491461873054504,0.0015915317926555872,1.3257033824920654,2.4475926693412475e-05,0.0011760429188143462
0,128,transformer.h.0.mlp.c_proj.weight,transformer.h.0.mlp.c_proj.weight,"[384, 1024]",0.3889022469520569,0.005704514682292938,68.17446899414062,384,68.17446899414062,236.7642364501953,6.402994632720947,0.008220558054745197,0.011370019055902958,0.017847800627350807,0.030525410547852516,0.05529974400997162,0.0020397305488586426,0.007655521389096975,0.1561201810836792,0.5611578226089478,0.9753837585449219,81,303,0.0209424439817667,1.0,0.000863378110807389,0.041226234287023544,0.0001947181299328804,0.009297775104641914,0.001100422814488411,0.05254510045051575,0.011576840654015541,0.5527932047843933,0.007207083515822887,0.34413763880729675,0.026429181918501854,1.261991262435913,0.0010580962407402694,0.01988434698432684
0,128,transformer.h.1.attn.c_attn.weight,transformer.h.1.attn.c_attn.weight,"[1152, 384]",0.15844681859016418,0.00021297829516697675,743.9575805664062,384,743.9575805664062,124.88079833984375,3.107290029525757,0.0003370544291101396,0.0005780567298643291,0.0015329575398936868,0.004658479243516922,0.012085525318980217,3.944508353015408e-05,0.0001899143389891833,0.4311310648918152,0.9444175958633423,0.9831427335739136,24,360,0.001994799356907606,1.0,1.629710095585324e-05,0.008169794455170631,6.827582183177583e-06,0.0034226912539452314,1.0024811672337819e-05,0.005025473888963461,0.0016867894446477294,0.8455935120582581,0.0002748604165390134,0.13778850436210632,0.0006395175587385893,0.3205924332141876,2.312468313903082e-05,0.0019716746728590806
0,128,transformer.h.1.attn.c_proj.weight,transformer.h.1.attn.c_proj.weight,"[384, 384]",0.5971568822860718,1.331066528109659e-06,448630.375,384,448630.375,115.73595428466797,2.503481388092041,0.0003787914465647191,0.001300545991398394,0.004769772756844759,0.01537436805665493,0.03988755866885185,2.0036720798088936e-06,4.7180012188619e-05,0.4614452123641968,0.9973450303077698,0.9825736880302429,23,361,0.031178707256913185,1.0,0.0001950683945324272,0.006256462074816227,0.00012127185618737713,0.0038895730394870043,0.00011410331353545189,0.0036596551071852446,0.027058281004428864,0.8678448796272278,0.0036899836268275976,0.11834947764873505,1.862645149230957e-09,5.974093397753677e-08,0.0003163402507198043,0.030862367944791913
0,128,transformer.h.1.mlp.w1.weight,transformer.h.1.mlp.w1.weight,"[1024, 384]",0.11431194096803665,0.0013017255114391446,87.81570434570312,384,87.81570434570312,234.99130249023438,3.8300087451934814,0.0018670889548957348,0.0025537116453051567,0.003963206894695759,0.006509885191917419,0.011263024061918259,0.0020385764073580503,0.007614660542458296,0.12389981746673584,0.4990178942680359,0.9818277359008789,74,310,0.000877360871527344,1.0,1.4527967323374469e-05,0.01655871421098709,4.794078449776862e-06,0.005464203655719757,4.9957434384850785e-05,0.056940577924251556,0.00047703689779154956,0.5437179803848267,0.0003310444881208241,0.37731850147247314,0.00094108801567927,1.0726350545883179,1.932204577315133e-05,0.0008580388202972244
0,128,transformer.h.1.mlp.w2.weight,transformer.h.1.mlp.w2.weight,"[1024, 384]",0.10396552085876465,0.001217018230818212,85.42642974853516,384,85.42642974853516,234.42901611328125,4.283001899719238,0.0017784335650503635,0.002434802008792758,0.0038014561869204044,0.006309554912149906,0.011013161391019821,0.0020109876058995724,0.007574658375233412,0.12500077486038208,0.5012668967247009,0.981793999671936,74,310,0.0008051283075474203,1.0,1.3849706192559097e-05,0.0172018613666296,4.4323192014417145e-06,0.005505109205842018,4.698429620475508e-05,0.058356285095214844,0.00043893797555938363,0.545177698135376,0.0003009240026585758,0.37375906109809875,0.0008799972129054368,1.0929900407791138,1.828202539400081e-05,0.0007868462744227145
0,128,transformer.h.1.mlp.c_proj.weight,transformer.h.1.mlp.c_proj.weight,"[384, 1024]",0.27970707416534424,0.003563729813322425,78.48717498779297,384,78.48717498779297,220.60089111328125,7.423672199249268,0.005327525082975626,0.007486427202820778,0.012148050591349602,0.021797122433781624,0.042391758412122726,0.0014224124606698751,0.005469912197440863,0.19948500394821167,0.6287865042686462,0.9732761383056641,65,319,0.015358657576143742,1.0,0.0008201407035812736,0.05339924246072769,0.00020496822253335267,0.013345452025532722,0.0006665936089120805,0.0434018149971962,0.008738347329199314,0.5689525604248047,0.004928608424961567,0.32090097665786743,0.015356953255832195,0.9998890161514282,0.0010251089261146262,0.014333549363072962
0,128,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"[1152, 384]",0.1452532410621643,0.00012395650264807045,1171.80810546875,384,1171.80810546875,116.1923599243164,2.4996278285980225,0.00021152914268895984,0.0003790754417423159,0.0010539238573983312,0.00348961865529418,0.009894092567265034,2.1381682017818093e-05,0.00011290155816823244,0.46922898292541504,0.9996792078018188,0.9823302626609802,23,361,0.0014591595390811563,1.0,1.2253613931534346e-05,0.008397720754146576,5.830574536958011e-06,0.003995844628661871,7.07578601577552e-06,0.004849220160394907,0.0012380033731460571,0.8484359383583069,0.00019599610823206604,0.13432122766971588,0.0004073396557942033,0.2791604697704315,1.8084188468492357e-05,0.0014410752673938987
0,128,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"[384, 384]",0.5028506517410278,1.5958027006490738e-06,315108.28125,384,315108.28125,108.73900604248047,2.4004669189453125,0.0002551380021031946,0.0008847393910400569,0.0033764259424060583,0.011542210355401039,0.0325259305536747,1.3833051752953907e-06,3.2254622055916116e-05,0.49198758602142334,1.0410451889038086,0.9815036058425903,22,362,0.022479094564914703,1.0,0.00016150009469129145,0.007184457499533892,8.689296373631805e-05,0.003865501144900918,8.179184078471735e-05,0.0036385736893862486,0.019564146175980568,0.8703262805938721,0.0025847647339105606,0.11498527228832245,0.0,0.0,0.0002483930584276095,0.022230702750675846
0,128,transformer.h.2.mlp.w1.weight,transformer.h.2.mlp.w1.weight,"[1024, 384]",0.10930726677179337,0.000811615667771548,134.67860412597656,384,134.67860412597656,211.4795684814453,2.8442952632904053,0.0011781028006225824,0.0016372522804886103,0.002676599659025669,0.0046487473882734776,0.008678389713168144,0.001181257190182805,0.004515829496085644,0.18235725164413452,0.5978715419769287,0.9818036556243896,50,334,0.0005995879182592034,1.0,1.027803409670014e-05,0.017141830176115036,3.3020946830220055e-06,0.0055072735995054245,1.6038849935284816e-05,0.026749787852168083,0.00040258857188746333,0.6714420914649963,0.0001673803781159222,0.2791590094566345,0.0006365339504554868,1.0616190433502197,1.3580128779722145e-05,0.0005860077999386704
0,128,transformer.h.2.mlp.w2.weight,transformer.h.2.mlp.w2.weight,"[1024, 384]",0.10282281786203384,0.0007617264054715633,134.98654174804688,384,134.98654174804688,209.9918670654297,2.926380157470703,0.0011141413124278188,0.0015666576800867915,0.0025183726102113724,0.0044363634660840034,0.008464444428682327,0.0011524201836436987,0.0044332826510071754,0.18667495250701904,0.6043344140052795,0.9817074537277222,49,335,0.0005460567190311849,1.0,8.088095455605071e-06,0.014811823144555092,2.937989393103635e-06,0.005380373913794756,1.4451215974986553e-05,0.026464680209755898,0.00036719610216096044,0.6724504828453064,0.00015338334196712822,0.2808926999568939,0.0005870052264072001,1.0749894380569458,1.1026084848708706e-05,0.0005350306601030752
0,128,transformer.h.2.mlp.c_proj.weight,transformer.h.2.mlp.c_proj.weight,"[384, 1024]",0.265689492225647,0.0027300301007926464,97.32108306884766,384,97.32108306884766,212.2037353515625,5.345863342285156,0.003956877160817385,0.0055522131733596325,0.009079661220312119,0.0165833942592144,0.032024044543504715,0.0011970024788752198,0.004634118173271418,0.21798646450042725,0.6540927290916443,0.9743880033493042,57,327,0.009456980042159557,1.0,0.0004281884175725281,0.04527749866247177,0.00010737469710875303,0.011354015208780766,0.0003192144213244319,0.0337543711066246,0.005818831734359264,0.6152949333190918,0.002783370204269886,0.29431912302970886,0.009706026874482632,1.0263347625732422,0.0005355631146812811,0.008921416359953582
0,128,transformer.h.3.attn.c_attn.weight,transformer.h.3.attn.c_attn.weight,"[1152, 384]",0.15170884132385254,8.155369869200513e-05,1860.2325439453125,384,1860.2325439453125,105.79349517822266,2.022334098815918,0.00014625627954956144,0.00028419296722859144,0.000846223090775311,0.0028492724522948265,0.008148317225277424,1.1521728993102442e-05,6.69347500661388e-05,0.5001677572727203,1.0456722974777222,0.9801352024078369,18,366,0.0014878688380122185,1.0,1.8468595953891054e-05,0.0124127846211195,6.631652468058746e-06,0.004457148723304272,4.485768386075506e-06,0.0030148951336741447,0.0012948700459674,0.8702850937843323,0.00016341268201358616,0.10983002930879593,0.00035930087324231863,0.24148692190647125,2.51002484219498e-05,0.0014627684963670617
0,128,transformer.h.3.attn.c_proj.weight,transformer.h.3.attn.c_proj.weight,"[384, 384]",0.4847295880317688,2.8302545160840964e-06,171267.140625,384,171267.140625,103.03137969970703,2.098820924758911,0.00020484585547819734,0.0007140926318243146,0.0027143913321197033,0.009680408053100109,0.02691434882581234,1.103117028833367e-06,2.5192875909851864e-05,0.5081847012042999,1.0638868808746338,0.9814065098762512,19,365,0.018345732241868973,1.0,0.00014959073450881988,0.008153979666531086,6.573124846909195e-05,0.003582917619496584,5.1698349125217646e-05,0.0028180042281746864,0.01623474434018135,0.8849330544471741,0.0018439681734889746,0.10051210224628448,0.0,0.0,0.00021532198297791183,0.018130410862795543
0,128,transformer.h.3.mlp.w1.weight,transformer.h.3.mlp.w1.weight,"[1024, 384]",0.10710827261209488,0.0006302774418145418,169.93829345703125,384,169.93829345703125,196.89761352539062,2.4517154693603516,0.0009097571601159871,0.001287889084778726,0.002104080282151699,0.00375772500410676,0.007402668707072735,0.0008604287868365645,0.0033231093548238277,0.2267041802406311,0.660394549369812,0.9822971224784851,37,347,0.0004765302874147892,1.0,6.718250006088056e-06,0.014098264276981354,2.7890223464055452e-06,0.005852770525962114,7.037941486487398e-06,0.01476913783699274,0.00035315874265506864,0.7411044836044312,0.00010682631545932963,0.22417528927326202,0.0005203705513849854,1.0919989347457886,9.507272352493601e-06,0.00046702299960088567
0,128,transformer.h.3.mlp.w2.weight,transformer.h.3.mlp.w2.weight,"[1024, 384]",0.11398693174123764,0.000590615498367697,192.99685668945312,384,192.99685668945312,191.2484588623047,2.2382349967956543,0.0008718086173757911,0.0012281812960281968,0.002017682883888483,0.003666640492156148,0.007156005594879389,0.0007471939898096025,0.0029086836148053408,0.23091810941696167,0.6642619371414185,0.9826787114143372,33,351,0.0005326137761585414,1.0,6.2974036154628266e-06,0.011823583394289017,2.531400014049723e-06,0.004752787295728922,1.1208264368178789e-05,0.021043887361884117,0.00035982156987302005,0.67557692527771,0.00015275515033863485,0.28680285811424255,0.0004762964672408998,0.8942623734474182,8.82880362951255e-06,0.0005237849845798337
0,128,transformer.h.3.mlp.c_proj.weight,transformer.h.3.mlp.c_proj.weight,"[384, 1024]",0.2917916178703308,0.0023856116458773613,122.31312561035156,384,122.31312561035156,207.90672302246094,3.594514846801758,0.0033950621727854013,0.004784156568348408,0.0078114671632647514,0.01404547318816185,0.02718748338520527,0.00111616519279778,0.004263113718479872,0.23516809940338135,0.6780974268913269,0.9744868278503418,51,333,0.007465488743036985,1.0,0.00035800333716906607,0.047954440116882324,7.409164390992373e-05,0.009924553334712982,0.00018322547839488834,0.024542998522520065,0.004887745715677738,0.6547120809555054,0.00196242262609303,0.26286593079566956,0.00801335833966732,1.0733870267868042,0.0004320949810789898,0.0070333938201656565
0,128,transformer.h.4.attn.c_attn.weight,transformer.h.4.attn.c_attn.weight,"[1152, 384]",0.16906805336475372,7.14275156497024e-05,2366.98779296875,384,2366.98779296875,96.8840103149414,1.7073440551757812,0.00012639992928598076,0.00024943670723587275,0.0007634780486114323,0.0025193141773343086,0.0071068438701331615,8.014670129341539e-06,4.86073040519841e-05,0.5135941207408905,1.0690823793411255,0.9822260141372681,14,370,0.0013994441833347082,1.0,1.1382377124391496e-05,0.008133498020470142,6.873364327475429e-06,0.004911495838314295,2.9312068363651633e-06,0.00209455075673759,0.001255962997674942,0.8974727392196655,0.000122294484754093,0.08738789707422256,0.00033764110412448645,0.24126800894737244,1.8255741451866925e-05,0.0013811886892654002
0,128,transformer.h.4.attn.c_proj.weight,transformer.h.4.attn.c_proj.weight,"[384, 384]",0.513049304485321,3.0028490982658695e-06,170854.171875,384,170854.171875,95.28067779541016,1.8715652227401733,0.00018511303642299026,0.0006403026054613292,0.002395535819232464,0.008449757471680641,0.023571189492940903,8.357081924259546e-07,2.0386692995089106e-05,0.5242790877819061,1.0856566429138184,0.9813613295555115,15,369,0.018364159390330315,1.0,0.0001504227693658322,0.008191105909645557,7.248086330946535e-05,0.003946865443140268,2.965281964861788e-05,0.0016147114802151918,0.01658616214990616,0.9031811356544495,0.0015254413010552526,0.08306621760129929,0.0,0.0,0.00022290363267529756,0.01814125627061003
0,128,transformer.h.4.mlp.w1.weight,transformer.h.4.mlp.w1.weight,"[1024, 384]",0.1063350960612297,0.000514466199092567,206.69015502929688,384,206.69015502929688,183.7701873779297,2.2598812580108643,0.0007507054251618683,0.0010682758875191212,0.0017702837940305471,0.0032754098065197468,0.006509031169116497,0.0006324736750684679,0.0024718951899558306,0.26606041193008423,0.7095727324485779,0.9822292923927307,29,355,0.0004378107551019639,1.0,6.9309053287724964e-06,0.01583082415163517,2.2537915356224403e-06,0.005147866904735565,4.587073362927185e-06,0.010477297008037567,0.0003389327903278172,0.7741536498069763,8.510617772117257e-05,0.19439032673835754,0.0004704189777839929,1.0744801759719849,9.184696864394937e-06,0.00042862604141191696
0,128,transformer.h.4.mlp.w2.weight,transformer.h.4.mlp.w2.weight,"[1024, 384]",0.09461221843957901,0.00048276796587742865,195.97865295410156,384,195.97865295410156,186.11843872070312,2.496647834777832,0.0007232135394588113,0.0010173636255785823,0.0017050239257514477,0.0032097334042191505,0.006404489744454622,0.0006662537343800068,0.0025919359177351,0.2612660527229309,0.7031899094581604,0.982067883014679,32,352,0.00037789452471770346,1.0,5.979989055049373e-06,0.015824493020772934,2.003474719458609e-06,0.005301677156239748,4.575931598083116e-06,0.012109017930924892,0.0002932121860794723,0.7759101390838623,7.212294440250844e-05,0.19085469841957092,0.0004239667032379657,1.1219180822372437,7.983463774507982e-06,0.00036991106208006386
0,128,transformer.h.4.mlp.c_proj.weight,transformer.h.4.mlp.c_proj.weight,"[384, 1024]",0.3092978596687317,0.002071957103908062,149.2781219482422,384,149.2781219482422,199.3893585205078,2.9155609607696533,0.0030297047924250364,0.0042141214944422245,0.006813486106693745,0.01240310538560152,0.024502797052264214,0.000957969983574003,0.0036641114857047796,0.2544425129890442,0.7015201449394226,0.9759155511856079,41,343,0.006360489409416914,1.0,0.0002620397717691958,0.04119805246591568,6.545714131789282e-05,0.010291211307048798,0.00010578009823802859,0.016630811616778374,0.004504679702222347,0.7082284688949585,0.0014225328341126442,0.2236514687538147,0.00697471434250474,1.0965688228607178,0.0003274969130870886,0.00603299263457302
0,128,transformer.h.5.attn.c_attn.weight,transformer.h.5.attn.c_attn.weight,"[1152, 384]",0.19001081585884094,6.195784953888506e-05,3066.775634765625,384,3066.775634765625,86.36717224121094,1.532630443572998,0.0001117389474529773,0.00022495044686365873,0.0006824714946560562,0.002261257730424404,0.00634700758382678,5.360685008781729e-06,3.382127033546567e-05,0.5366691052913666,1.1027865409851074,0.9823536276817322,9,375,0.0015991373220458627,1.0,1.4606497643399052e-05,0.009133986197412014,7.401757102343254e-06,0.004628594033420086,1.6010453691706061e-06,0.0010011931881308556,0.0014791004359722137,0.9249364733695984,9.642760414863005e-05,0.060299765318632126,0.00035467452835291624,0.22179116308689117,2.2008254745742306e-05,0.0015771290854900144
0,128,transformer.h.5.attn.c_proj.weight,transformer.h.5.attn.c_proj.weight,"[384, 384]",0.7171411514282227,9.210984330820793e-07,778571.6875,384,778571.6875,79.97227478027344,1.3949962854385376,0.00017491339531261474,0.0005983967566862702,0.0021927503403276205,0.0075811902061104774,0.021117258816957474,4.845910552830901e-07,1.2130693903600331e-05,0.5589019358158112,1.1408507823944092,0.9823280572891235,8,376,0.025369834154844284,1.0,0.00019408126536291093,0.007650080136954784,9.854779636953026e-05,0.0038844477385282516,1.618604437680915e-05,0.00063800357747823,0.02378086745738983,0.937367856502533,0.0012801517732441425,0.0504596047103405,1.862645149230957e-09,7.341968455421011e-08,0.0002926290617324412,0.025077205275010783
0,128,transformer.h.5.mlp.w1.weight,transformer.h.5.mlp.w1.weight,"[1024, 384]",0.10491959750652313,0.0004429465043358505,236.867431640625,384,236.867431640625,172.64451599121094,2.195434331893921,0.0006597839528694749,0.0009364853613078594,0.0015519659500569105,0.0028800065629184246,0.00582246296107769,0.000519706285558641,0.002024522516876459,0.29978978633880615,0.7494099736213684,0.9825366735458374,23,361,0.000397356110624969,1.0,6.250973910937319e-06,0.015731414780020714,2.409171429462731e-06,0.006063003558665514,2.70836994786805e-06,0.0068159764632582664,0.0003252046590205282,0.8184211850166321,6.07829715590924e-05,0.15296851098537445,0.0004468974657356739,1.1246774196624756,8.66014534040005e-06,0.00038869600052748865
0,128,transformer.h.5.mlp.w2.weight,transformer.h.5.mlp.w2.weight,"[1024, 384]",0.09753789752721786,0.00043432050733827055,224.5758514404297,384,224.5758514404297,173.6327362060547,2.3017075061798096,0.0006277645588852465,0.0008909919415600598,0.0014993350487202406,0.0028069554828107357,0.005772303324192762,0.0005233281990513206,0.0020365568343549967,0.2967033386230469,0.7453075051307678,0.9823517203330994,25,359,0.0003682289971038699,1.0,5.8988066484744195e-06,0.016019398346543312,1.9639830952655757e-06,0.005333591718226671,2.804297537295497e-06,0.007615634705871344,0.000299026258289814,0.8120660185813904,5.853562106494792e-05,0.15896527469158173,0.00040483521297574043,1.0994116067886353,7.862789743739995e-06,0.0003603661768920574
0,128,transformer.h.5.mlp.c_proj.weight,transformer.h.5.mlp.c_proj.weight,"[384, 1024]",0.32986748218536377,0.0018534024711698294,177.9794158935547,384,177.9794158935547,193.48641967773438,2.3277335166931152,0.0027346902061253786,0.0037943192292004824,0.006064414978027344,0.010919083841145039,0.02169092185795307,0.0008565956959500909,0.0032613975927233696,0.28487396240234375,0.7389936447143555,0.9735927581787109,34,350,0.006451630964875221,1.0,0.0003685458505060524,0.05712444707751274,7.871122943470255e-05,0.012200206518173218,8.274394349427894e-05,0.012825275771319866,0.004645288921892643,0.7200177907943726,0.0012763410340994596,0.19783230125904083,0.006781945005059242,1.0511984825134277,0.0004472570799407549,0.0060043738994863816
0,512,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"[1152, 384]",0.1825409233570099,0.00037644270923919976,484.9102478027344,384,484.9102478027344,135.23562622070312,3.630613327026367,0.0005797977210022509,0.0009368805913254619,0.0022316803224384785,0.006153056863695383,0.0153266666457057,7.648653991054744e-05,0.00034241838147863746,0.4108721613883972,0.9103245139122009,0.9833424091339111,25,359,0.002894028089940548,1.0,2.2117823391454294e-05,0.007642573677003384,9.865558240562677e-06,0.0034089365508407354,1.535828778287396e-05,0.005306889768689871,0.0024321742821484804,0.8404114246368408,0.0004145119455642998,0.1432301104068756,0.0011481167748570442,0.3967193067073822,3.198338163201697e-05,0.002862044515495654
0,512,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"[384, 384]",0.5399425029754639,7.137769443943398e-06,75645.828125,384,75645.828125,124.88187408447266,3.287135362625122,0.000594660930801183,0.0018115416169166565,0.00594253558665514,0.017143074423074722,0.04331599920988083,4.755415375257144e-06,9.079565643332899e-05,0.4408493638038635,0.9624212980270386,0.9816927909851074,25,359,0.035137251019477844,1.0,0.0002504219301044941,0.007126964163035154,0.000132611341541633,0.0037740955594927073,0.00014305177319329232,0.004071228206157684,0.03001975081861019,0.8543568253517151,0.004591410979628563,0.13067075610160828,0.0,0.0,0.0003830332716461271,0.03475421357143205
