method,outcome,predictor,sample_count,pearson,spearman,scope
structural_scalar_int3_p98_k8,exact_polar_distortion,right_gram_linear_relative_fro,300,-0.58564683745228,-0.6133659262880697,per_method
structural_scalar_int3_p98_k8,exact_polar_distortion,spectrum_relative_l2,300,0.17822895802922864,0.288897432193691,per_method
structural_scalar_int3_p98_k8,exact_polar_distortion,tail_subspace_mean_sin,300,0.9330527062659836,0.9446127179190881,per_method
structural_scalar_int3_p98_k8,exact_polar_distortion,tail_gap_proxy,300,0.18616605613563694,0.8854862831809243,per_method
structural_vq64_int3_k8,update_distortion,raw_relative_fro,300,-0.82623070021664,-0.7291005455616173,per_method
structural_vq64_int3_k8,update_distortion,raw_relative_spectral,300,-0.6603886496210134,-0.6359337325970289,per_method
structural_vq64_int3_k8,update_distortion,right_gram_relative_fro,300,-0.6069065720072111,-0.6080569784108713,per_method
structural_vq64_int3_k8,update_distortion,right_gram_relative_spectral,300,-0.5136835462311884,-0.5463620706896742,per_method
structural_vq64_int3_k8,update_distortion,left_gram_relative_fro,300,-0.6462362663594653,-0.6418538696934304,per_method
structural_vq64_int3_k8,update_distortion,left_gram_relative_spectral,300,-0.548110274080447,-0.601274680829787,per_method
structural_vq64_int3_k8,update_distortion,right_gram_linear_relative_fro,300,-0.6145376334614597,-0.6186246513850153,per_method
structural_vq64_int3_k8,update_distortion,spectrum_relative_l2,300,-0.5788672265010547,-0.48385559839553777,per_method
structural_vq64_int3_k8,update_distortion,tail_subspace_mean_sin,300,0.9644127758097912,0.97724596939966,per_method
structural_vq64_int3_k8,update_distortion,tail_gap_proxy,300,0.1628294562870022,0.8711647907198968,per_method
structural_vq64_int3_k8,exact_polar_distortion,raw_relative_fro,300,-0.8239971241451006,-0.7425873620818009,per_method
structural_vq64_int3_k8,exact_polar_distortion,raw_relative_spectral,300,-0.6599068557911841,-0.6547579417549083,per_method
structural_vq64_int3_k8,exact_polar_distortion,right_gram_relative_fro,300,-0.6046528648853918,-0.637807531194791,per_method
structural_vq64_int3_k8,exact_polar_distortion,right_gram_relative_spectral,300,-0.5155475638548875,-0.5769019655773953,per_method
structural_vq64_int3_k8,exact_polar_distortion,left_gram_relative_fro,300,-0.6414277145845646,-0.6681981653349706,per_method
structural_vq64_int3_k8,exact_polar_distortion,left_gram_relative_spectral,300,-0.5454307378909165,-0.6263336259291769,per_method
structural_vq64_int3_k8,exact_polar_distortion,right_gram_linear_relative_fro,300,-0.6111572567322252,-0.6475103056700631,per_method
structural_vq64_int3_k8,exact_polar_distortion,spectrum_relative_l2,300,-0.5834250854679718,-0.49776686407626747,per_method
structural_vq64_int3_k8,exact_polar_distortion,tail_subspace_mean_sin,300,0.9321939488099311,0.9514550161668462,per_method
structural_vq64_int3_k8,exact_polar_distortion,tail_gap_proxy,300,0.199598302877484,0.8932619251325015,per_method
