seed,update,parameter_id,parameter_name,shape,method,right_gram_relative_fro,right_gram_relative_spectral,right_gram_fro_cosine,right_gram_trace_relative,right_gram_linear_relative_fro,right_gram_quadratic_relative_fro,right_gram_quadratic_over_delta_fro,right_gram_delta_fro,right_gram_identity_residual,left_gram_relative_fro,left_gram_relative_spectral,left_gram_fro_cosine,left_gram_trace_relative,left_gram_linear_relative_fro,left_gram_quadratic_relative_fro,left_gram_quadratic_over_delta_fro,left_gram_delta_fro,left_gram_identity_residual
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.04082731530070305,0.03325262665748596,0.9994164705276489,0.006826779339462519,0.04115767031908035,0.00579061871394515,0.14183197915554047,0.0018800505204126239,9.411770918177353e-09,0.04112227261066437,0.03261270001530647,0.9994564652442932,0.006826850585639477,0.04145031049847603,0.005790623836219311,0.14081478118896484,0.0018935836851596832,1.5053501556394622e-08
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.023187581449747086,0.010005658492445946,0.999733567237854,0.010813484899699688,0.023689785972237587,0.0027528521604835987,0.11872097104787827,0.0010677612153813243,9.289738756024235e-09,0.023830262944102287,0.010563641786575317,0.9997714161872864,0.010813495144248009,0.024319233372807503,0.0027528624050319195,0.11551959812641144,0.0010973274474963546,9.772167963717493e-09
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.016442446038126945,0.008365713991224766,0.9998665452003479,0.0012113346019759774,0.016498206183314323,0.001435428741388023,0.08730019629001617,0.0007571555324830115,9.27509180570496e-09,0.016948029398918152,0.008602680638432503,0.9999095797538757,0.0012113330885767937,0.017002131789922714,0.001435434678569436,0.08469626307487488,0.0007804168271832168,9.879901341491859e-09
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.01892169378697872,0.007675550412386656,0.9998241662979126,0.01707659848034382,0.019436273723840714,0.0016196629730984569,0.08559820055961609,0.0008713220595382154,9.267524525569115e-09,0.019075622782111168,0.007914423011243343,0.999872624874115,0.017076587304472923,0.019586171954870224,0.001619664952158928,0.08490757644176483,0.0008783874800428748,9.917790144697847e-09
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.04725277051329613,0.03848031908273697,0.9992439150810242,0.0022877976298332214,0.04781169444322586,0.006737047806382179,0.14257465302944183,0.024880284443497658,1.0974051178891386e-07,0.046282872557640076,0.03688604757189751,0.9992910623550415,0.002287877956405282,0.04685339331626892,0.006737053859978914,0.1455625742673874,0.024369580671191216,1.5548052090252895e-07
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.023136239498853683,0.01103917509317398,0.9997339248657227,0.009280706755816936,0.023555835708975792,0.002625579247251153,0.11348340660333633,0.012182062491774559,1.1091719187561466e-07,0.023250969126820564,0.01108531653881073,0.9997320771217346,0.00928069744259119,0.023668520152568817,0.002625580644235015,0.11292349547147751,0.012242463417351246,1.1252895149027609e-07
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_int4_k8,0.015884529799222946,0.008022149093449116,0.9998761415481567,0.001470071729272604,0.015925275161862373,0.0013542399974539876,0.08525527268648148,0.008363776840269566,1.0991931986836789e-07,0.01560461986809969,0.007707783952355385,0.9998809099197388,0.0014700900064781308,0.015646090731024742,0.0013542408123612404,0.08678460121154785,0.008216388523578644,1.1467794536201836e-07
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,0.01821870356798172,0.008128218352794647,0.999837338924408,0.015854952856898308,0.01867601089179516,0.00152364163659513,0.08363062888383865,0.009592803195118904,1.1019733392458875e-07,0.018412156030535698,0.008722051978111267,0.9998356103897095,0.0158549677580595,0.018864799290895462,0.001523642218671739,0.08275196701288223,0.009694656357169151,1.1498752883198904e-07
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,0.04421692341566086,0.035612426698207855,0.9993967413902283,0.0016503602964803576,0.04490944743156433,0.007008039392530918,0.15849223732948303,0.0012088400544598699,3.8772456356639395e-09,0.05523907020688057,0.04173201322555542,0.9988921284675598,0.0016503799706697464,0.05579496547579765,0.007008103188127279,0.1268685907125473,0.001510130474343896,8.32712654386114e-09
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.03021213598549366,0.014025619253516197,0.9995499849319458,0.025751255452632904,0.03180021420121193,0.0051114438101649284,0.1691851168870926,0.0008259651949629188,3.877990373268858e-09,0.03779587894678116,0.017296448349952698,0.9993476271629333,0.025751259177923203,0.0390770249068737,0.00511149549856782,0.13523949682712555,0.001033267006278038,5.931548585635937e-09
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_int4_k8,0.019822126254439354,0.010436433367431164,0.9998075366020203,0.0003776990342885256,0.020022960379719734,0.002788711106404662,0.1406867802143097,0.0005419142544269562,3.877711485245072e-09,0.027645565569400787,0.013744021765887737,0.9996780157089233,0.0003777005185838789,0.027789926156401634,0.002788745565339923,0.10087497532367706,0.0007557768258266151,5.936919400539864e-09
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,0.027662698179483414,0.012663550674915314,0.9996294975280762,0.036706358194351196,0.029476886615157127,0.003709006356075406,0.134079709649086,0.0007562664686702192,3.881753141143918e-09,0.03274284303188324,0.013580916449427605,0.999532163143158,0.036706361919641495,0.034289270639419556,0.0037090207915753126,0.11327729374170303,0.000895126664545387,5.880772313560101e-09
0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,0.044835176318883896,0.03601047769188881,0.9993653297424316,0.0027067565824836493,0.045524418354034424,0.0072550466284155846,0.16181595623493195,0.001094173756428063,3.766709166797e-09,0.055626280605793,0.04159947484731674,0.9988664984703064,0.0027069468051195145,0.056183282285928726,0.007255141623318195,0.13042651116847992,0.001357482629828155,7.253722067446233e-09
