shape,outcome,predictor,sample_count,pearson,spearman,scope
"(384, 1024)",exact_polar_distortion,tail_gap_proxy,240,0.2904341026506538,0.6756731887706383,per_shape
"(384, 384)",update_distortion,raw_relative_fro,240,0.8585640816072703,0.7701001753502663,per_shape
"(384, 384)",update_distortion,raw_relative_spectral,240,0.7198032642516818,0.6561172937030155,per_shape
"(384, 384)",update_distortion,right_gram_relative_fro,240,0.8132849029924603,0.7469270299831593,per_shape
"(384, 384)",update_distortion,right_gram_relative_spectral,240,0.8306541452515628,0.7696279449295993,per_shape
"(384, 384)",update_distortion,left_gram_relative_fro,240,0.8034931809556076,0.7332427646313303,per_shape
"(384, 384)",update_distortion,left_gram_relative_spectral,240,0.8336135622157461,0.7627372002986161,per_shape
"(384, 384)",update_distortion,right_gram_linear_relative_fro,240,0.8091250355461125,0.7414026285178561,per_shape
"(384, 384)",update_distortion,spectrum_relative_l2,240,0.919877167898334,0.84266914356152,per_shape
"(384, 384)",update_distortion,tail_subspace_mean_sin,240,0.9352003234825658,0.955324745221271,per_shape
"(384, 384)",update_distortion,tail_gap_proxy,240,0.16152693075057634,0.4474504765707737,per_shape
"(384, 384)",exact_polar_distortion,raw_relative_fro,240,0.7729015027226497,0.6429521345856698,per_shape
"(384, 384)",exact_polar_distortion,raw_relative_spectral,240,0.6210390550008141,0.5353547804649385,per_shape
"(384, 384)",exact_polar_distortion,right_gram_relative_fro,240,0.7282386358883756,0.6146382749700515,per_shape
"(384, 384)",exact_polar_distortion,right_gram_relative_spectral,240,0.7807026613529635,0.6528481397246478,per_shape
"(384, 384)",exact_polar_distortion,left_gram_relative_fro,240,0.7134438779736337,0.5972707859511448,per_shape
"(384, 384)",exact_polar_distortion,left_gram_relative_spectral,240,0.7813750396086961,0.6438011076581189,per_shape
"(384, 384)",exact_polar_distortion,right_gram_linear_relative_fro,240,0.7229919597741152,0.609170298095453,per_shape
"(384, 384)",exact_polar_distortion,spectrum_relative_l2,240,0.8771979383770976,0.7642563238945119,per_shape
"(384, 384)",exact_polar_distortion,tail_subspace_mean_sin,240,0.960901559525298,0.9913540165627873,per_shape
"(384, 384)",exact_polar_distortion,tail_gap_proxy,240,0.17410474418143307,0.5367853608569592,per_shape
