seed,update,parameter_id,parameter_name,shape,method,update_cosine,update_relative_l2,update_norm_ratio,update_distortion,exact_polar_cosine,exact_polar_relative_l2,exact_polar_distortion,cached_update_source
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.6242625713348389,0.8662538528442383,0.9985569715499878,0.37573742866516113,0.6566484570503235,0.8286778926849365,0.3433515429496765,muon_structural_decomposition_mechanism/baseline_vs_structural.csv:kind=direct
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.7172489762306213,0.7540380358695984,1.0053740739822388,0.28275102376937866,0.7474807500839233,0.7106641530990601,0.25251924991607666,muon_int3_practical_scale/tensor_level_results.csv
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.7975981831550598,0.640630304813385,1.0133872032165527,0.20240181684494019,0.8211281299591064,0.598120391368866,0.17887187004089355,muon_int3_practical_scale/tensor_level_results.csv
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.7962851524353027,0.642726480960846,1.013452410697937,0.20371484756469727,0.8200802206993103,0.5998709797859192,0.1799197793006897,muon_vector_int3_robustness/reverse_split.csv:held_out
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.5780423283576965,0.9399250745773315,1.0445083379745483,0.42195767164230347,0.5500991940498352,0.9485799074172974,0.4499008059501648,muon_structural_decomposition_mechanism/baseline_vs_structural.csv:kind=direct
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.6793155074119568,0.82193922996521,1.04952073097229,0.3206844925880432,0.6422073245048523,0.8459236025810242,0.3577926754951477,muon_int3_practical_scale/tensor_level_results.csv
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_int4_k8,0.7684458494186401,0.6985611319541931,1.0486174821853638,0.23155415058135986,0.7160434126853943,0.7536022067070007,0.2839565873146057,muon_int3_practical_scale/tensor_level_results.csv
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,0.7656554579734802,0.7020899057388306,1.0469999313354492,0.23434454202651978,0.7128229141235352,0.7578625679016113,0.28717708587646484,muon_vector_int3_robustness/reverse_split.csv:held_out
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,0.9142792820930481,0.4166063070297241,1.011518120765686,0.0857207179069519,0.9121736884117126,0.4191253185272217,0.08782631158828735,muon_structural_decomposition_mechanism/baseline_vs_structural.csv:kind=direct
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.9344942569732666,0.3631214201450348,1.0060765743255615,0.0655057430267334,0.9323264956474304,0.36791226267814636,0.06767350435256958,muon_int3_practical_scale/tensor_level_results.csv
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_int4_k8,0.9606223702430725,0.28127339482307434,1.0041779279708862,0.03937762975692749,0.9590394496917725,0.2862437069416046,0.04096055030822754,muon_int3_practical_scale/tensor_level_results.csv
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,0.9590730667114258,0.2867816984653473,1.0043607950210571,0.04092693328857422,0.958017885684967,0.289784699678421,0.04198211431503296,muon_vector_int3_robustness/reverse_split.csv:held_out
