seed,update,parameter_id,parameter_name,shape,method,reference_active_rank,compressed_active_rank,spectrum_relative_l2,spectrum_rank_normalized_rms,spectrum_log10_rmse,head_singular_relative_l2,head_singular_log10_rmse,middle_singular_relative_l2,middle_singular_log10_rmse,tail_singular_relative_l2,tail_singular_log10_rmse,head_eigengap,middle_eigengap,tail_eigengap
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,384,384,0.05887247994542122,0.003004323661635784,0.190431609749794,0.011245091445744038,0.005987244658172131,0.5714819431304932,0.19881021976470947,0.6957054138183594,0.22642183303833008,8.107125257731523e-06,1.181006230742865e-07,9.731793073196896e-09
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,384,384,0.03222419694066048,0.0016444341640744356,0.11209790408611298,0.019696608185768127,0.016434310004115105,0.26739051938056946,0.10496069490909576,0.3605859875679016,0.1311648041009903,8.107125257731523e-06,1.181006230742865e-07,9.731793073196896e-09
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,384,384,0.017485786229372025,0.0008923177919447109,0.08051647990942001,0.004590540658682585,0.003271417459473014,0.16862204670906067,0.06917273998260498,0.2778831422328949,0.10481130331754684,8.107125257731523e-06,1.181006230742865e-07,9.731793073196896e-09
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,384,384,0.024810584262013435,0.0012661098262970762,0.07142622023820877,0.02068924531340599,0.017231671139597893,0.13415390253067017,0.05604231730103493,0.23778371512889862,0.09080037474632263,8.107125257731523e-06,1.181006230742865e-07,9.731793073196896e-09
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,384,384,0.06715743243694305,0.0034271133730405484,0.30535170435905457,0.014622609131038189,0.007010854780673981,0.699785053730011,0.2343510538339615,2.3834950923919678,0.5168232917785645,7.366628330153502e-05,7.211592739191086e-07,3.636506238761486e-08
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,384,384,0.033480044454336166,0.0017085213641421099,0.20824599266052246,0.019115537405014038,0.016186896711587906,0.3090866804122925,0.12031275033950806,1.5133744478225708,0.39306434988975525,7.366628330153502e-05,7.211592739191086e-07,3.636506238761486e-08
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_int4_k8,384,384,0.018565792590379715,0.0009474316357661467,0.16095411777496338,0.0037358906120061874,0.002896480029448867,0.18441899120807648,0.07554107159376144,1.0652929544448853,0.31974318623542786,7.366628330153502e-05,7.211592739191086e-07,3.636506238761486e-08
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,384,384,0.02578645572066307,0.00131590955813535,0.1489643156528473,0.020398637279868126,0.017427336424589157,0.1661026030778885,0.06915359944105148,0.9857327342033386,0.2855224311351776,7.366628330153502e-05,7.211592739191086e-07,3.636506238761486e-08
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,384,384,0.026162149384617805,0.0013350815951413033,0.0273890383541584,0.013143508695065975,0.004414962604641914,0.062173958867788315,0.026288000866770744,0.09544909000396729,0.03995620086789131,2.9612473362731e-06,9.578046305494699e-08,2.2159074220342873e-08
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,384,384,0.026971450075507164,0.0013763810480821538,0.010686849243938923,0.027944291010499,0.021930059418082237,0.0050066011026501656,0.0022531726863235235,0.028904251754283905,0.012779961340129375,2.9612473362731e-06,9.578046305494699e-08,2.2159074220342873e-08
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_int4_k8,384,384,0.007630826905369759,0.0003894090048678568,0.00798371247947216,0.005374251864850521,0.003690903540700674,0.01673940382897854,0.007253851275891066,0.02907153218984604,0.012614501640200615,2.9612473362731e-06,9.578046305494699e-08,2.2159074220342873e-08
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,384,384,0.03289226442575455,0.001678526340162454,0.012393845245242119,0.032889802008867264,0.026244383305311203,0.012199364602565765,0.005316224880516529,0.011491799727082253,0.0053272307850420475,2.9612473362731e-06,9.578046305494699e-08,2.2159074220342873e-08
