seed,update,parameter_id,parameter_name,shape,method,right_gram_linear_relative_fro,right_gram_quadratic_relative_fro,right_gram_quadratic_over_delta_fro,left_gram_linear_relative_fro,left_gram_quadratic_relative_fro,left_gram_quadratic_over_delta_fro
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.04115767031908035,0.00579061871394515,0.14183197915554047,0.04145031049847603,0.005790623836219311,0.14081478118896484
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.023689785972237587,0.0027528521604835987,0.11872097104787827,0.024319233372807503,0.0027528624050319195,0.11551959812641144
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.016498206183314323,0.001435428741388023,0.08730019629001617,0.017002131789922714,0.001435434678569436,0.08469626307487488
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.019436273723840714,0.0016196629730984569,0.08559820055961609,0.019586171954870224,0.001619664952158928,0.08490757644176483
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.04781169444322586,0.006737047806382179,0.14257465302944183,0.04685339331626892,0.006737053859978914,0.1455625742673874
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.023555835708975792,0.002625579247251153,0.11348340660333633,0.023668520152568817,0.002625580644235015,0.11292349547147751
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_int4_k8,0.015925275161862373,0.0013542399974539876,0.08525527268648148,0.015646090731024742,0.0013542408123612404,0.08678460121154785
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,0.01867601089179516,0.00152364163659513,0.08363062888383865,0.018864799290895462,0.001523642218671739,0.08275196701288223
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,0.04490944743156433,0.007008039392530918,0.15849223732948303,0.05579496547579765,0.007008103188127279,0.1268685907125473
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.03180021420121193,0.0051114438101649284,0.1691851168870926,0.0390770249068737,0.00511149549856782,0.13523949682712555
