seed,update,parameter_id,shape,method_a,method_b,raw_relative_difference,raw_error_a,raw_error_b,gram_error_a,gram_error_b,update_distortion_a,update_distortion_b,smaller_gram_method,smaller_update_distortion_method,gram_orders_update
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,structural_vq64_int3_k8,0.030899532698336358,0.08968377858400345,0.09249845147132874,0.016442446038126945,0.01892169378697872,0.20240181684494019,0.20371484756469727,structural_int4_k8,structural_int4_k8,True
0,128,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_int4_k8,structural_vq64_int3_k8,0.028763240915345482,0.08723220229148865,0.08977789431810379,0.015884529799222946,0.01821870356798172,0.23155415058135986,0.23434454202651978,structural_int4_k8,structural_int4_k8,True
0,128,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,structural_vq64_int3_k8,0.027711748997039837,0.09265954047441483,0.09526337683200836,0.018275756388902664,0.021528832614421844,0.26869285106658936,0.26879405975341797,structural_int4_k8,structural_int4_k8,True
0,128,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_int4_k8,structural_vq64_int3_k8,0.01763793326012125,0.08824409544467926,0.08981438726186752,0.01581871695816517,0.017412357032299042,0.28338873386383057,0.28280913829803467,structural_int4_k8,structural_vq64_int3_k8,False
0,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,structural_vq64_int3_k8,0.026263032967818914,0.08882353454828262,0.09118735045194626,0.015849614515900612,0.01791735738515854,0.2888765335083008,0.29007959365844727,structural_int4_k8,structural_int4_k8,True
0,128,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_int4_k8,structural_vq64_int3_k8,0.02769311784188664,0.08672954142093658,0.08916507661342621,0.015293429605662823,0.017697203904390335,0.3063497543334961,0.3026784658432007,structural_int4_k8,structural_vq64_int3_k8,False
0,128,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,structural_vq64_int3_k8,0.02473083392644948,0.07979916036128998,0.08179736882448196,0.01225245837122202,0.014109479263424873,0.29278135299682617,0.29166513681411743,structural_int4_k8,structural_vq64_int3_k8,False
0,128,transformer.h.3.attn.c_proj.weight,"(384, 384)",structural_int4_k8,structural_vq64_int3_k8,0.016853169128938205,0.08121980726718903,0.08260025084018707,0.01207041647285223,0.013999072834849358,0.30817198753356934,0.3051973581314087,structural_int4_k8,structural_vq64_int3_k8,False
0,128,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,structural_vq64_int3_k8,0.01537142861371993,0.06992745399475098,0.07101066410541534,0.008874213322997093,0.009527384303510189,0.28224003314971924,0.27480489015579224,structural_int4_k8,structural_vq64_int3_k8,False
0,128,transformer.h.4.attn.c_proj.weight,"(384, 384)",structural_int4_k8,structural_vq64_int3_k8,0.011174411818020648,0.0743878111243248,0.07522372156381607,0.011528326198458672,0.012581735849380493,0.3001784682273865,0.28984105587005615,structural_int4_k8,structural_vq64_int3_k8,False
0,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,structural_vq64_int3_k8,0.019271163027648763,0.06055028736591339,0.06172851473093033,0.00823881383985281,0.00871751643717289,0.2653657793998718,0.2623522877693176,structural_int4_k8,structural_vq64_int3_k8,False
0,128,transformer.h.5.attn.c_proj.weight,"(384, 384)",structural_int4_k8,structural_vq64_int3_k8,0.016287199635127918,0.05666500702500343,0.057595498859882355,0.007391441613435745,0.007927839644253254,0.26924246549606323,0.26395416259765625,structural_int4_k8,structural_vq64_int3_k8,False
0,512,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,structural_vq64_int3_k8,0.03047823965235459,0.08863911777734756,0.09138248860836029,0.016441060230135918,0.01928894780576229,0.22538292407989502,0.22678780555725098,structural_int4_k8,structural_int4_k8,True
0,512,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_int4_k8,structural_vq64_int3_k8,0.03547292197371444,0.09138479083776474,0.09468501061201096,0.018199382349848747,0.021602725610136986,0.2614702582359314,0.2632075548171997,structural_int4_k8,structural_int4_k8,True
0,512,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,structural_vq64_int3_k8,0.03773437256420618,0.09472154825925827,0.09836453944444656,0.017430657520890236,0.021821405738592148,0.2705448865890503,0.2738977074623108,structural_int4_k8,structural_int4_k8,True
0,512,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_int4_k8,structural_vq64_int3_k8,0.02895358588139259,0.09342359006404877,0.09616827219724655,0.01623512990772724,0.01862034574151039,0.2946104407310486,0.29728513956069946,structural_int4_k8,structural_int4_k8,True
0,512,transformer.h.1.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,structural_scalar_int3_p98_k8,0.03855929508272085,0.1929456889629364,0.18564656376838684,0.058165669441223145,0.0519719235599041,0.08831596374511719,0.08251893520355225,structural_scalar_int3_p98_k8,structural_scalar_int3_p98_k8,True
0,512,transformer.h.1.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,structural_scalar_int3_p98_k8,0.03222925662086452,0.19391067326068878,0.18776018917560577,0.06141230836510658,0.05564416944980621,0.09132099151611328,0.0853998064994812,structural_scalar_int3_p98_k8,structural_scalar_int3_p98_k8,True
0,512,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,structural_vq64_int3_k8,0.032036234048650115,0.08803460747003555,0.09090081602334976,0.01408638060092926,0.017303263768553734,0.28619295358657837,0.28584378957748413,structural_int4_k8,structural_vq64_int3_k8,False
0,512,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_int4_k8,structural_vq64_int3_k8,0.02633792105012823,0.09321282058954239,0.09570061415433884,0.015930555760860443,0.018749458715319633,0.31596803665161133,0.31363338232040405,structural_int4_k8,structural_vq64_int3_k8,False
0,512,transformer.h.2.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,structural_scalar_int3_p98_k8,0.004970857670117417,0.1899767965078354,0.19092349708080292,0.05766630917787552,0.05951131507754326,0.09958654642105103,0.09967154264450073,direct_scalar_int4,direct_scalar_int4,True
0,512,transformer.h.2.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,structural_scalar_int3_p98_k8,0.029690862036483107,0.1921621710062027,0.1865401715040207,0.061623331159353256,0.05340820550918579,0.10836291313171387,0.10254096984863281,structural_scalar_int3_p98_k8,structural_scalar_int3_p98_k8,True
0,512,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,structural_vq64_int3_k8,0.0322653639508865,0.09230907261371613,0.09533629566431046,0.014402862638235092,0.01848767139017582,0.31369102001190186,0.3100869655609131,structural_int4_k8,structural_vq64_int3_k8,False
0,512,transformer.h.3.attn.c_proj.weight,"(384, 384)",structural_int4_k8,structural_vq64_int3_k8,0.023125736969984698,0.09540048986673355,0.0976325049996376,0.017932744696736336,0.022046521306037903,0.31977272033691406,0.3185455799102783,structural_int4_k8,structural_vq64_int3_k8,False
0,512,transformer.h.3.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,structural_scalar_int3_p98_k8,0.03581529856800243,0.1928177773952484,0.1860334426164627,0.07587338984012604,0.057102836668491364,0.11451506614685059,0.11175906658172607,structural_scalar_int3_p98_k8,structural_scalar_int3_p98_k8,True
0,512,transformer.h.3.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,structural_scalar_int3_p98_k8,0.021022610437169673,0.1914530247449875,0.18747004866600037,0.07226043194532394,0.06239346042275429,0.11549955606460571,0.11352330446243286,structural_scalar_int3_p98_k8,structural_scalar_int3_p98_k8,True
0,512,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,structural_vq64_int3_k8,0.028765593869423182,0.09390117228031158,0.09664171189069748,0.01834305003285408,0.02286260575056076,0.31398648023605347,0.311490535736084,structural_int4_k8,structural_vq64_int3_k8,False
0,512,transformer.h.4.attn.c_proj.weight,"(384, 384)",structural_int4_k8,structural_vq64_int3_k8,0.016941297292163256,0.0959019809961319,0.09754056483507156,0.01963924616575241,0.02404201030731201,0.32342666387557983,0.3207154870033264,structural_int4_k8,structural_vq64_int3_k8,False
0,512,transformer.h.4.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,structural_scalar_int3_p98_k8,0.03947863494326481,0.19362860918045044,0.18613238632678986,0.06549683213233948,0.058872759342193604,0.12869900465011597,0.12282192707061768,structural_scalar_int3_p98_k8,structural_scalar_int3_p98_k8,True
0,512,transformer.h.4.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,structural_scalar_int3_p98_k8,0.04923412886413616,0.19397489726543427,0.18465416133403778,0.06428901851177216,0.05731518566608429,0.13519072532653809,0.12777596712112427,structural_scalar_int3_p98_k8,structural_scalar_int3_p98_k8,True
0,512,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,structural_vq64_int3_k8,0.020538790257123952,0.08888895809650421,0.09073357284069061,0.017261439934372902,0.02141069807112217,0.32429540157318115,0.32397305965423584,structural_int4_k8,structural_vq64_int3_k8,False
0,512,transformer.h.5.attn.c_proj.weight,"(384, 384)",structural_int4_k8,structural_vq64_int3_k8,0.02356383934758814,0.08412126451730728,0.08612711727619171,0.014714410528540611,0.0170171819627285,0.3149632215499878,0.31512415409088135,structural_int4_k8,structural_int4_k8,True
