seed,update,parameter_id,shape,reference_method,vq_method,raw_ratio_vq_over_reference,gram_ratio_vq_over_reference,gram_spectral_ratio_vq_over_reference,tail_subspace_ratio_vq_over_reference,update_distortion_ratio_vq_over_reference,exact_polar_distortion_ratio_vq_over_reference,raw_error_delta_vq_minus_reference,gram_error_delta_vq_minus_reference,update_distortion_delta_vq_minus_reference
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,structural_vq64_int3_k8,1.0313844145704554,1.1507833897160353,0.9175009354178186,0.997204018216648,1.0064872476948317,1.0058584352003284,0.002814672887325287,0.002479247748851776,0.00131303071975708
0,128,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_int4_k8,structural_vq64_int3_k8,1.029182938865955,1.1469463558734334,1.0132220503645522,1.000323167458287,1.012050707958178,1.011341517350647,0.002545692026615143,0.002334173768758774,0.002790391445159912
0,128,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_int4_k8,structural_vq64_int3_k8,1.0737533659506846,1.3955464627962446,1.213398316175168,1.0004912813849678,1.0393447635424062,1.0249401924319417,0.008862659335136414,0.00784057192504406,0.0015493035316467285
0,128,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_int4_k8,structural_vq64_int3_k8,1.0790003052083839,1.420932612788944,1.2307290976528404,1.0273706194853647,1.0441788744409612,1.0274558338812467,0.009578920900821686,0.00908837653696537,0.0017563700675964355
0,128,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,structural_vq64_int3_k8,1.0808707408362916,1.5820885632387491,2.663407877781721,0.9628444469702763,0.8975967407030041,0.8823652340529762,0.011696264147758484,0.026965301483869553,-0.00853055715560913
0,128,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,structural_vq64_int3_k8,1.0281011145130006,1.1779995397342078,0.903474987021259,1.0033854450365303,1.000376670560556,1.0032067551178088,0.0026038363575935364,0.0032530762255191803,0.00010120868682861328
0,128,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_int4_k8,structural_vq64_int3_k8,1.0177948655859097,1.1007439527711684,0.7343584043189907,0.9983927724995946,0.9979547684980504,0.9988716206267613,0.001570291817188263,0.001593640074133873,-0.0005795955657958984
0,128,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_int4_k8,structural_vq64_int3_k8,1.112556847602676,1.5994006964901648,1.8327772148856254,0.9938381099679222,1.0361704433446695,1.0246905747354333,0.013124823570251465,0.013107696548104286,0.0020888447761535645
0,128,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_int4_k8,structural_vq64_int3_k8,1.1200291741093287,1.5881967464019544,1.609759568656968,1.0075519126304622,1.0493079213698917,1.0359804808562243,0.014301672577857971,0.014259466901421547,0.0029460787773132324
0,128,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,structural_vq64_int3_k8,1.147402345666245,1.7344836382558004,2.827715426505015,0.9443326474356158,0.9174197289087644,0.9037154025213712,0.020708337426185608,0.03259660676121712,-0.008811891078948975
