seed,update,parameter_id,parameter_name,shape,method,raw_cosine,right_gram_fro_cosine,left_gram_fro_cosine,head_singular_relative_l2,head_singular_log10_rmse,middle_singular_relative_l2,middle_singular_log10_rmse,tail_singular_relative_l2,tail_singular_log10_rmse,head_left_mean_sin,head_left_max_sin,head_left_fro_sin,head_right_mean_sin,head_right_max_sin,head_right_fro_sin,head_subspace_mean_sin,middle_left_mean_sin,middle_left_max_sin,middle_left_fro_sin,middle_right_mean_sin,middle_right_max_sin,middle_right_fro_sin,middle_subspace_mean_sin,tail_left_mean_sin,tail_left_max_sin,tail_left_fro_sin,tail_right_mean_sin,tail_right_max_sin,tail_right_fro_sin,tail_subspace_mean_sin,top8_left_mean_sin,top8_left_max_sin,top8_left_fro_sin,top8_right_mean_sin,top8_right_max_sin,top8_right_fro_sin,top8_subspace_mean_sin,exact_polar_cosine,update_cosine
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.9841997623443604,0.9994164705276489,0.9994564652442932,0.011245091445744038,0.005987244658172131,0.5714819431304932,0.19881021976470947,0.6957054138183594,0.22642183303833008,0.1383477071914631,0.43734868362694707,1.0363906276951569,0.13567201303964752,0.43367476965094565,1.0164690093703488,0.13700986011555533,0.8892576218460237,0.9999999998979161,5.586018043029807,0.8847186729315684,0.9998623080853648,5.561303123274386,0.886988147388796,0.9570262102004312,0.9999998401652825,5.982304852071414,0.8636584836790826,0.9997820008100813,5.44334626342578,0.9103423469397569,0.05228701436769951,0.1293802398069638,0.17529742405534188,0.051804940389139964,0.13184808045052293,0.17547364474700888,0.05204597737841973,0.6566484570503235,0.6242625713348389
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.992354154586792,0.999733567237854,0.9997714161872864,0.019696608185768127,0.016434310004115105,0.26739051938056946,0.10496069490909576,0.3605859875679016,0.1311648041009903,0.10083267904279158,0.42734306199493427,0.7899176972872061,0.09738827437386108,0.41334256668599567,0.7616583820931021,0.09911047670832633,0.8212529606275819,0.99969988441347,5.1930312381989205,0.8059379292738666,0.9993889365117973,5.111800055319646,0.8135954449507243,0.9378984159037689,0.9999741247005497,5.867245766190927,0.8156979119791063,0.9995155749793309,5.177429010810874,0.8767981639414376,0.02952861119666902,0.04897657238711649,0.09107666097248347,0.028530425695988983,0.04897565944986464,0.08783963172756329,0.029029518446329002,0.7474807500839233,0.7172489762306213
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.9959831237792969,0.9998665452003479,0.9999095797538757,0.004590540658682585,0.003271417459473014,0.16862204670906067,0.06917273998260498,0.2778831422328949,0.10481130331754684,0.07153123225953113,0.3494501203083179,0.576386511737946,0.07063636348149148,0.3476713317778692,0.5713085085406653,0.0710837978705113,0.702164152157914,0.9999699664366598,4.508242712752504,0.6885654328772095,0.9999834839708289,4.437833895216298,0.6953647925175617,0.9062958176437672,0.9999990193197964,5.681669885341274,0.761981772165856,0.9995994766624403,4.889502918204765,0.8341387949048116,0.02296495814990214,0.04087657804949949,0.0719585420625402,0.02217181506289362,0.03859192426578975,0.0692065279319476,0.02256838660639788,0.8211281299591064,0.7975981831550598
0,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.9957228899002075,0.9998241662979126,0.999872624874115,0.02068924531340599,0.017231671139597893,0.13415390253067017,0.05604231730103493,0.23778371512889862,0.09080037474632263,0.0757882063756215,0.291655814424057,0.5882137768221304,0.07443770006958403,0.29578884083805035,0.580755765993695,0.07511295322260277,0.7101475649644584,0.9999970715822258,4.562621306551405,0.6955277076889782,0.9999982278526093,4.48946083980557,0.7028376363267184,0.9035348063772091,0.99998355866743,5.664414686788255,0.7600783096817317,0.9996115916750492,4.880060186213988,0.8318065580294705,0.02247910632337189,0.04064015521377646,0.0705521806399568,0.02176040126738826,0.041228194127830804,0.06827063082378097,0.022119753795380073,0.8200802206993103,0.7962851524353027
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.9819840788841248,0.9992439150810242,0.9992910623550415,0.014622609131038189,0.007010854780673981,0.699785053730011,0.2343510538339615,2.3834950923919678,0.5168232917785645,0.15767211207941537,0.798398692411451,1.287850131896847,0.1565074850356197,0.803094585530185,1.2872307327658121,0.15708979855751753,0.8974137354728544,0.9999058228914072,5.6355920640313615,0.8981956656599999,0.999987950876297,5.638805830648265,0.8978047005664271,0.8977317064121868,0.9999892411026172,5.63634490296978,0.8923126934133199,0.9999676760750306,5.605190336036149,0.8950221999127533,0.05183548390606384,0.08512780952127949,0.15965375446380092,0.05106979984493947,0.08538514339151287,0.1567913373112704,0.05145264187550165,0.5500991940498352,0.5780423283576965
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.9927030205726624,0.9997339248657227,0.9997320771217346,0.019115537405014038,0.016186896711587906,0.3090866804122925,0.12031275033950806,1.5133744478225708,0.39306434988975525,0.09915177156167146,0.42998608075500067,0.7766879979797102,0.09893053132148662,0.42452417415258736,0.7732203260197513,0.09904115144157905,0.8149112958680444,0.9997235501408953,5.164163533050862,0.8134373245557482,0.9999072986844598,5.154008366174699,0.8141743102118963,0.855342216669238,0.9999234677988643,5.399874983333431,0.8481073623446372,0.9998617349125786,5.366176486525778,0.8517247895069376,0.02910322866590373,0.04921179258499348,0.08971635092505623,0.02931712789306385,0.04969174336152773,0.09068405338634326,0.02921017827948379,0.6422073245048523,0.6793155074119568
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_int4_k8,0.9961995482444763,0.9998761415481567,0.9998809099197388,0.0037358906120061874,0.002896480029448867,0.18441899120807648,0.07554107159376144,1.0652929544448853,0.31974318623542786,0.07812368053604779,0.57803021465629,0.7452043137186686,0.07714521296791876,0.5803282027681812,0.7400062969205397,0.07763444675198328,0.7109654089373146,0.9999174084066897,4.577098342163994,0.7095018367379035,0.9999884399350178,4.565741539218666,0.710233622837609,0.8241646078038395,0.9999818978371054,5.230560688282447,0.8051963527647263,0.9999999987395505,5.124367495484674,0.8146804802842829,0.021010888802775827,0.03451708726656212,0.06485009911333986,0.021272991563665345,0.034919854929777214,0.06544471913530728,0.021141940183220586,0.7160434126853943,0.7684458494186401
0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,0.9959715604782104,0.999837338924408,0.9998356103897095,0.020398637279868126,0.017427336424589157,0.1661026030778885,0.06915359944105148,0.9857327342033386,0.2855224311351776,0.07453029751128451,0.3493492859838519,0.5967599738811572,0.07594085696642605,0.3532779323755957,0.6067819369481962,0.07523557723885528,0.7047442789510094,0.9999999966161662,4.547012877438938,0.709835867783132,0.9999229360190046,4.576875603723938,0.7072900733670707,0.8189745661452416,0.9999631410360003,5.200687956881763,0.8109129508635832,0.9999801697924242,5.156614351314276,0.8149437585044124,0.021816644582508624,0.038750865437570704,0.06777958023519472,0.02144608653556854,0.0375058229603725,0.06660176553978847,0.021631365559038582,0.7128229141235352,0.7656554579734802
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,0.9824832677841187,0.9993967413902283,0.9988921284675598,0.013143508695065975,0.004414962604641914,0.062173958867788315,0.026288000866770744,0.09544909000396729,0.03995620086789131,0.15273944412784052,0.5509709303738464,1.1544368236321672,0.12939196862878147,0.5497367345866035,1.0441878661624853,0.141065706378311,0.7432375422141083,0.9996803831179996,4.749695248766405,0.7077460571070613,0.9997426956466399,4.570726114782899,0.7254917996605847,0.776408301539438,0.9999947526956615,4.898050505656856,0.5704304791958545,0.9999839862152576,3.8243117058418887,0.6734193903676462,0.057412611426910384,0.09544306502310235,0.1772421307033424,0.04638443535293606,0.08549127940273672,0.14687673656625216,0.05189852338992322,0.9121736884117126,0.9142792820930481
0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,0.9871945977210999,0.9995499849319458,0.9993476271629333,0.027944291010499,0.021930059418082237,0.0050066011026501656,0.0022531726863235235,0.028904251754283905,0.012779961340129375,0.13911896467791446,0.5393735106209415,1.0884876886744836,0.11947475418918817,0.5372683969939949,0.9982080221065228,0.12929685943355132,0.6852761639314335,0.999495922262691,4.425911561942746,0.6508284518839853,0.9994445662626339,4.2580397284520695,0.6680523079077094,0.7245792412599176,0.9992373053891181,4.59746621591515,0.5272923926617946,0.9992065342875474,3.614027328360355,0.6259358169608561,0.04311946311771685,0.07537914219796533,0.13498727899300292,0.03610941312008425,0.06266651462100223,0.11404802512304095,0.039614438118900544,0.9323264956474304,0.9344942569732666
