seed,update,parameter_id,shape,method,actual_polar_cosine,actual_polar_distortion,cached_polar_cosine,predicted_polar_distortion,predicted_relative_l2,magnitude_delta_norm,symmetric_delta_norm,skew_delta_norm,outside_delta_norm
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.7474795574255442,0.25252044257445583,0.7474807500839233,0.32215908056291154,1.0846380386594712,0.0,0.0,11.393268894449918,17.942820646255733
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.821127307862164,0.17887269213783596,0.8211281299591064,0.22556467194700414,0.8169264678844694,0.0,0.0,8.504372035955186,13.562613423641084
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.8200790057710413,0.17992099422895869,0.8200802206993103,0.2172061114308964,0.794953483532732,0.0,0.0,8.304809039724145,13.179475380406817
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.6566477556707727,0.3433522443292273,0.6566484570503235,0.4712045095338707,1.6050677777307452,0.0,0.0,16.838359515519066,26.565835569932577
0,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.6248525408464085,0.3751474591535915,0.6248533725738525,0.5572303366387268,2.02506453855761,0.0,0.0,21.59199906627004,33.2944930674464
0,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.7055211441870147,0.2944788558129853,0.7055218815803528,0.4487432409283153,1.5135187131884573,0.0,0.0,16.07788949412014,24.922755011091006
0,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,0.7018887463427006,0.2981112536572994,0.7018893957138062,0.43634764870797693,1.4654669578501527,0.0,0.0,15.632761963857053,24.08923413829386
0,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.5282385188771949,0.47176148112280514,0.5282394289970398,0.6969608657469583,3.144741910584414,0.0,0.0,33.56702952004553,51.679573762375945
0,128,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,0.6044691941815244,0.39553080581847555,0.604469895362854,0.6075374903327682,2.3435902266003037,0.0,0.0,25.405947897381573,38.25726705033997
0,128,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,0.6764295157934859,0.32357048420651413,0.6764302253723145,0.5116432563328384,1.7869055928713433,0.0,0.0,19.299062815527954,29.21757015493947
