seed,update,parameter_id,parameter_name,shape,method,frechet_distortion_pred,actual_update_distortion,actual_frechet_cosine_error_difference,frechet_relative_l2,actual_update_relative_l2,sigma_max,sigma_min,condition_number_proxy,state_error_relative_fro,quadratic_gram_ratio
0,1024,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.7104376256465912,0.495802104473114,0.21463552117347717,3.3201332092285156,1.07113516330719,0.5178793668746948,0.0002063523861579597,2509.684326171875,0.20595452189445496,0.0988248661160469
1,1024,transformer.h.2.attn.c_attn.weight,transformer.h.2.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.6698226034641266,0.4778963327407837,0.1919262707233429,2.8446204662323,1.0316163301467896,0.4242982864379883,0.00022774268290959299,1863.06005859375,0.1938215047121048,0.10259367525577545
0,4096,transformer.h.5.attn.c_attn.weight,transformer.h.5.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.627985030412674,0.44661712646484375,0.1813679039478302,2.4835026264190674,0.9783999919891357,0.07048237323760986,6.678328645648435e-05,1055.389404296875,0.21506913006305695,0.1650107055902481
1,2048,transformer.h.5.attn.c_attn.weight,transformer.h.5.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.6454292833805084,0.4686771631240845,0.17675212025642395,2.6278481483459473,1.0015672445297241,0.07486788928508759,7.710387581028044e-05,971.0003051757812,0.21245114505290985,0.16668085753917694
1,4096,transformer.h.5.attn.c_attn.weight,transformer.h.5.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.6300561130046844,0.45350468158721924,0.1765514314174652,2.512352705001831,0.9855981469154358,0.07616209238767624,7.050011481624097e-05,1080.3116455078125,0.21859057247638702,0.161818727850914
0,2048,transformer.h.5.attn.c_attn.weight,transformer.h.5.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.6364619135856628,0.46125489473342896,0.1752070188522339,2.5558791160583496,0.9941577315330505,0.06679699569940567,7.115590415196493e-05,938.741455078125,0.2066354751586914,0.1711706519126892
0,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.6021220982074738,0.43225401639938354,0.1698680818080902,2.2925004959106445,0.9674826264381409,0.9253119826316833,5.717556632589549e-06,161836.953125,0.19531431794166565,0.08206014335155487
0,1024,transformer.h.5.attn.c_attn.weight,transformer.h.5.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,0.6617619097232819,0.49224036931991577,0.1695215404033661,2.7739145755767822,1.0291197299957275,0.08953031897544861,8.446556603303179e-05,1059.9622802734375,0.20371289551258087,0.15354987978935242
0,2048,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.6102035939693451,0.44160032272338867,0.16860327124595642,2.3469290733337402,0.9798254370689392,0.735054075717926,1.7602429807084263e-06,417586.71875,0.1965348869562149,0.09902128577232361
1,4096,transformer.h.2.attn.c_proj.weight,transformer.h.2.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.62307408452034,0.4553210735321045,0.16775301098823547,2.44576096534729,0.9942334294319153,0.8711058497428894,2.6611021439748583e-06,327347.78125,0.2010619193315506,0.08799245953559875
