scope,outcome,predictor,n,pearson,spearman,method,shape,seed
per_method,actual_polar_distortion,tail_angle,300,0.9330527062659836,0.9446127179190881,structural_scalar_int3_p98_k8,,
per_method,actual_polar_distortion,prior_gap_proxy,300,0.16104553111181347,0.866541183790931,structural_scalar_int3_p98_k8,,
per_method,actual_polar_distortion,gap_skew_score,300,0.32369424705047134,0.820827342526028,structural_scalar_int3_p98_k8,,
per_method,actual_polar_distortion,sigma_sum_skew_score,300,0.6739676249006153,0.9885203168924098,structural_scalar_int3_p98_k8,,
per_method,actual_polar_distortion,finite_k_skew_score,300,0.9384022673281518,0.991787464305159,structural_scalar_int3_p98_k8,,
per_method,actual_polar_distortion,frechet_relative_l2,300,0.9751626597790042,0.9818024644718274,structural_scalar_int3_p98_k8,,
per_method,actual_polar_distortion,frechet_distortion_pred,300,0.9809399325257223,0.9816331292569916,structural_scalar_int3_p98_k8,,
per_method,actual_polar_distortion,frozen_norm_frechet_distortion_pred,300,0.9809524845181712,0.9818349092767698,structural_scalar_int3_p98_k8,,
per_method,actual_polar_distortion,magnitude_only,300,0.8717063800964341,0.8578040709123566,structural_scalar_int3_p98_k8,,
per_method,actual_polar_distortion,symmetric_only,300,0.9405476206519207,0.9881914243491594,structural_scalar_int3_p98_k8,,
per_method,actual_polar_distortion,skew_only,300,0.9778776008004909,0.9917750178946717,structural_scalar_int3_p98_k8,,
per_method,actual_polar_distortion,out_of_subspace_only,300,0.21636082715621616,0.09778139596031847,structural_scalar_int3_p98_k8,,
per_method,actual_polar_distortion,orientation_plus_outside,300,0.9395238766680153,0.9574973055256168,structural_scalar_int3_p98_k8,,
per_method,actual_polar_distortion,all_channels,300,0.9809399309769339,0.9816331292569916,structural_scalar_int3_p98_k8,,
per_method,actual_polar_distortion,jvp_output_relative_l2,30,0.8903453759184272,0.8496106785317018,structural_scalar_int3_p98_k8,,
per_method,actual_polar_distortion,jvp_predicted_cosine_distortion,30,0.8884977764459976,0.8522803114571746,structural_scalar_int3_p98_k8,,
per_method,actual_polar_distortion,exact_polar_pred_distortion,30,0.9939074896126848,0.9884315906562846,structural_scalar_int3_p98_k8,,
per_method,actual_update_distortion,raw_relative_l2,300,-0.7969103504442968,-0.7295761064011821,structural_int4_k8,,
per_method,actual_update_distortion,right_gram_relative_fro,300,-0.5418742682945911,-0.5670725230280337,structural_int4_k8,,
per_method,actual_update_distortion,right_gram_relative_spectral,300,-0.5144427801398076,-0.4937761530683674,structural_int4_k8,,
per_method,actual_update_distortion,tail_angle,300,0.9614852665549134,0.974413049033878,structural_int4_k8,,
per_method,actual_update_distortion,prior_gap_proxy,300,0.13030369235714845,0.8526574739719328,structural_int4_k8,,
per_method,actual_update_distortion,gap_skew_score,300,0.1934259872311524,0.8371844131601462,structural_int4_k8,,
per_method,actual_update_distortion,sigma_sum_skew_score,300,0.5555534713189693,0.9688227646973855,structural_int4_k8,,
per_method,actual_update_distortion,finite_k_skew_score,300,0.9179449396368251,0.9822269136323736,structural_int4_k8,,
per_method,actual_update_distortion,frechet_relative_l2,300,0.9966874841573137,0.9982257580639783,structural_int4_k8,,
per_method,actual_update_distortion,frechet_distortion_pred,300,0.9978426692460911,0.9982319803553373,structural_int4_k8,,
per_method,actual_update_distortion,frozen_norm_frechet_distortion_pred,300,0.997830703565447,0.99826931410349,structural_int4_k8,,
per_method,actual_update_distortion,magnitude_only,300,0.83603111433616,0.9167523528612486,structural_int4_k8,,
per_method,actual_update_distortion,symmetric_only,300,0.888432691350105,0.9751216096980704,structural_int4_k8,,
per_method,actual_update_distortion,skew_only,300,0.9481414037324749,0.9822269136323736,structural_int4_k8,,
per_method,actual_update_distortion,out_of_subspace_only,300,0.3299262936157769,0.18597399407853574,structural_int4_k8,,
per_method,actual_update_distortion,orientation_plus_outside,300,0.9748803789178269,0.9861522905810064,structural_int4_k8,,
per_method,actual_update_distortion,all_channels,300,0.9978426696880633,0.9982319803553373,structural_int4_k8,,
per_method,actual_update_distortion,jvp_output_relative_l2,30,0.9911434424989236,0.9773081201334817,structural_int4_k8,,
per_method,actual_update_distortion,jvp_predicted_cosine_distortion,30,0.993356418815229,0.9795328142380423,structural_int4_k8,,
per_method,actual_polar_distortion,raw_relative_l2,300,-0.7963366565067737,-0.7474389715441282,structural_int4_k8,,
per_method,actual_polar_distortion,right_gram_relative_fro,300,-0.5378867059282006,-0.5967537417082411,structural_int4_k8,,
per_method,actual_polar_distortion,right_gram_relative_spectral,300,-0.5156910735581623,-0.5227102523361371,structural_int4_k8,,
per_method,actual_polar_distortion,tail_angle,300,0.9291786116251879,0.9507958977321969,structural_int4_k8,,
per_method,actual_polar_distortion,prior_gap_proxy,300,0.1667379028957473,0.8771399682218691,structural_int4_k8,,
per_method,actual_polar_distortion,gap_skew_score,300,0.23876165232279592,0.8482058689540994,structural_int4_k8,,
per_method,actual_polar_distortion,sigma_sum_skew_score,300,0.64600197374267,0.9923923599151101,structural_int4_k8,,
