seed,update,parameter_id,shape,method,out_of_subspace_delta_norm_sq,out_of_subspace_fraction,frechet_relative_l2
0,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,303.4127843647473,0.4681254675706576,1.5094079971313477
0,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,168.3228320687604,0.4696127976507548,1.1224639415740967
0,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,158.47527163439946,0.46565086344763357,1.0937583446502686
0,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,736.5150727305861,0.4641635831614141,2.3617074489593506
0,128,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.0,0.0,1.5899187326431274
0,128,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_int4_k8,0.0,0.0,1.1772552728652954
0,128,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,0.0,0.0,1.1522963047027588
0,128,transformer.h.2.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.0,0.0,2.5931499004364014
0,128,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_scalar_int3_p98_k8,81.77409520127246,0.7620283136846057,0.5974923372268677
0,128,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_int4_k8,50.823064101288224,0.7732570864414737,0.46760427951812744
0,128,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_vq64_int3_k8,49.88561866508004,0.7577918595144544,0.46797508001327515
0,128,transformer.h.2.mlp.w1.weight,"(1024, 384)",direct_scalar_int4,145.82191357635116,0.763848945851774,0.7969253659248352
0,128,transformer.h.2.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,81.98604749462437,0.7642605035411687,0.5972076058387756
0,128,transformer.h.2.mlp.w2.weight,"(1024, 384)",structural_int4_k8,52.84140108834413,0.7771127180169928,0.47546789050102234
0,128,transformer.h.2.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,50.61028812975359,0.7566295022737196,0.47157829999923706
0,128,transformer.h.2.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,152.51297952997692,0.7689225816040465,0.8120600581169128
0,128,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,96.73020955212954,0.7679582196454672,0.6457535624504089
0,128,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,73.76330085466203,0.7818050804013872,0.558888852596283
0,128,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,62.55768347247551,0.7686463761209095,0.5190767645835876
0,128,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,195.36615057283285,0.7699334063772078,0.9165425300598145
0,128,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,239.43128184536164,0.4053102473260596,1.4842106103897095
0,128,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,134.79474202448327,0.40614897299440333,1.1124811172485352
0,128,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,127.33112931605751,0.40348675544430745,1.0848045349121094
0,128,transformer.h.3.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,802.4587388169438,0.397241591414442,2.744624137878418
0,128,transformer.h.3.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,0.0,0.0,1.5637279748916626
0,128,transformer.h.3.attn.c_proj.weight,"(384, 384)",structural_int4_k8,0.0,0.0,1.168275237083435
0,128,transformer.h.3.attn.c_proj.weight,"(384, 384)",structural_vq64_int3_k8,0.0,0.0,1.1302871704101562
0,128,transformer.h.3.attn.c_proj.weight,"(384, 384)",direct_scalar_int4,0.0,0.0,2.7664287090301514
