validation,held_out_group,model,features,train_n,test_n,r2
held_out_seed,0,gram_plus_frechet,right_gram_relative_fro;frechet_distortion_pred,600,600,0.932634956325639
leave_one_method_out,structural_scalar_int3_p98_k8,gram_plus_frechet,right_gram_relative_fro;frechet_distortion_pred,900,300,0.9547716461246039
leave_one_method_out,structural_int4_k8,gram_plus_frechet,right_gram_relative_fro;frechet_distortion_pred,900,300,0.8806609143704214
leave_one_method_out,structural_vq64_int3_k8,gram_plus_frechet,right_gram_relative_fro;frechet_distortion_pred,900,300,0.8485416071956235
leave_one_method_out,direct_scalar_int4,gram_plus_frechet,right_gram_relative_fro;frechet_distortion_pred,900,300,0.8552737703677362
pooled_in_sample,all,production_jvp_norm,jvp_output_relative_l2,120,120,0.9881441478509494
pooled_in_sample,all,production_jvp_cosine,jvp_predicted_cosine_distortion,120,120,0.9734567638256624
held_out_seed,1,production_jvp_norm,jvp_output_relative_l2,60,60,0.9879210731532888
held_out_seed,1,production_jvp_cosine,jvp_predicted_cosine_distortion,60,60,0.9739115937608405
held_out_seed,0,production_jvp_norm,jvp_output_relative_l2,60,60,0.9847272525750668
held_out_seed,0,production_jvp_cosine,jvp_predicted_cosine_distortion,60,60,0.9682666359230286
leave_one_method_out,structural_scalar_int3_p98_k8,production_jvp_norm,jvp_output_relative_l2,90,30,0.9078135638965197
leave_one_method_out,structural_scalar_int3_p98_k8,production_jvp_cosine,jvp_predicted_cosine_distortion,90,30,0.963282289215993
leave_one_method_out,structural_int4_k8,production_jvp_norm,jvp_output_relative_l2,90,30,0.9452532823378441
leave_one_method_out,structural_int4_k8,production_jvp_cosine,jvp_predicted_cosine_distortion,90,30,0.874001624710111
leave_one_method_out,structural_vq64_int3_k8,production_jvp_norm,jvp_output_relative_l2,90,30,0.9868176808918616
leave_one_method_out,structural_vq64_int3_k8,production_jvp_cosine,jvp_predicted_cosine_distortion,90,30,0.8607253070675833
leave_one_method_out,direct_scalar_int4,production_jvp_norm,jvp_output_relative_l2,90,30,0.6533571021091326
leave_one_method_out,direct_scalar_int4,production_jvp_cosine,jvp_predicted_cosine_distortion,90,30,0.16713530347055028
held_out_seed_exact_polar_subset,0,polar_raw,raw_relative_l2,60,60,0.6573174506803539
held_out_seed_exact_polar_subset,1,polar_raw,raw_relative_l2,60,60,0.6022970267520416
