seed,update,parameter_id,shape,method,channel,delta_norm_sq,fraction_of_total_derivative_energy
0,128,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,magnitude,0.4730392860230488,0.01138377070116377
0,128,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,symmetric,3.691132764865283,0.08882773643610578
0,128,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,skew,7.851782123060889,0.18895446937586247
0,128,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_scalar_int3_p98_k8,out_of_subspace,29.538105580400885,0.7108395239241624
0,128,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_int4_k8,magnitude,0.07720971409541405,0.003062612810547008
0,128,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_int4_k8,symmetric,2.182030756164588,0.08655277933782905
0,128,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_int4_k8,skew,4.628596160895728,0.1835986321577369
0,128,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_int4_k8,out_of_subspace,18.322694516407473,0.7267909175306994
0,128,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,magnitude,0.367258548672693,0.01484513850956085
0,128,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,symmetric,2.350840954085324,0.09502449896257417
0,128,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,skew,4.648554679351939,0.18790151606722227
0,128,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_vq64_int3_k8,out_of_subspace,17.37282354350597,0.7022354489434974
0,128,transformer.h.0.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,magnitude,0.07516924771732451,0.0012655809597414739
0,128,transformer.h.0.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,symmetric,5.2222245736196005,0.08792356167672236
0,128,transformer.h.0.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,skew,11.077303327885904,0.18650212158265628
0,128,transformer.h.0.mlp.w2.weight,"(1024, 384)",direct_scalar_int4,out_of_subspace,43.02067713918178,0.7243141512773896
0,128,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,magnitude,0.5329932554342215,0.006880107330717792
0,128,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,symmetric,5.335858184312613,0.06887756390022537
0,128,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,skew,13.287212533533983,0.1715170828612007
0,128,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_scalar_int3_p98_k8,out_of_subspace,58.31320068990283,0.7527320007405457
0,128,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,magnitude,0.19635761826935416,0.003361559722436943
0,128,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,symmetric,3.912813535153432,0.06698571971439886
0,128,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,skew,9.484642284493841,0.16237308114799467
0,128,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,out_of_subspace,44.819202173011334,0.7672858641516092
0,128,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,magnitude,0.3760675221577105,0.00794162837245774
0,128,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,symmetric,3.3815204209296277,0.07140945956412036
0,128,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,skew,8.083321575147576,0.17070002641166812
0,128,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_vq64_int3_k8,out_of_subspace,35.51330472923285,0.7499543348471808
0,128,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,magnitude,0.18534402193926422,0.0013976604787391178
0,128,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,symmetric,9.062480602487318,0.06833924744326003
0,128,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,skew,22.52906470568382,0.16988939288481056
0,128,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",direct_scalar_int4,out_of_subspace,100.83409901541178,0.7603797178270486
0,128,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,magnitude,1.2659225588678091,0.002125206281776543
0,128,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,symmetric,81.79694164536821,0.13731912192979426
0,128,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,skew,187.2480805565482,0.3143484522507276
0,128,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_scalar_int3_p98_k8,out_of_subspace,325.36040013157003,0.5462087403034785
0,128,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,magnitude,0.5197244117978531,0.0015479115479703652
0,128,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,symmetric,46.14986697418853,0.13744959906641369
0,128,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,skew,106.08396024270309,0.31595319247381853
0,128,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,out_of_subspace,183.00530742408358,0.5450504580334896
0,128,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,magnitude,0.7556949344631018,0.00237495118891016
0,128,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,symmetric,43.391476122579206,0.1363680409993777
0,128,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,skew,101.36927312598648,0.3185770669490643
0,128,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_vq64_int3_k8,out_of_subspace,172.67794940573407,0.5426815538085898
0,128,transformer.h.1.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,magnitude,1.7823161255759248,0.001375203121658277
0,128,transformer.h.1.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,symmetric,181.07731560033557,0.13971600554004784
0,128,transformer.h.1.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,skew,418.0464744424249,0.3225571538077686
0,128,transformer.h.1.attn.c_attn.weight,"(1152, 384)",direct_scalar_int4,out_of_subspace,695.1349050443893,0.5363536118385142
0,128,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,magnitude,3.2312848357961963,0.005623318544702885
0,128,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,symmetric,236.5107935054421,0.411593405944307
0,128,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_scalar_int3_p98_k8,skew,334.881414962824,0.5827851664994983
