seed,update,parameter_id,shape,reference_method,raw_error_ratio_vq_over_reference,skew_channel_ratio_vq_over_reference,out_of_subspace_ratio_vq_over_reference,frechet_ratio_vq_over_reference,actual_distortion_ratio_vq_over_reference,polar_distortion_ratio_vq_over_reference,delta_actual_distortion,delta_frechet
0,128,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,1.0313844145704554,0.9581825366918293,0.9508033997759517,0.9777998360075847,1.0064872476948317,1.0058584352003284,0.00131303071975708,-0.018079102039337158
0,128,transformer.h.0.attn.c_proj.weight,"(384, 384)",structural_int4_k8,1.029182938865955,0.9887630868222026,0.0,0.9853015400832574,1.012050707958178,1.011341517350647,0.002790391445159912,-0.013337790966033936
0,128,transformer.h.0.mlp.w1.weight,"(1024, 384)",structural_int4_k8,1.0737533659506846,1.0112789089204424,0.9435377716894071,0.9885640564118837,1.0393447635424062,1.0249401924319417,0.0015493035316467285,-0.003275752067565918
0,128,transformer.h.0.mlp.w2.weight,"(1024, 384)",structural_int4_k8,1.0790003052083839,1.0043120025516221,0.9481587726056929,0.9906127739452522,1.0441788744409612,1.0274558338812467,0.0017563700675964355,-0.002699047327041626
0,128,transformer.h.0.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,1.0808707408362916,0.852253710017378,0.7923680700996013,0.900377593421671,0.8975967407030041,0.8823652340529762,-0.00853055715560913,-0.044465482234954834
0,128,transformer.h.1.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,1.0281011145130006,0.9555570219481799,0.9435679862856785,0.9734920728341666,1.000376670560556,1.0032067551178088,0.00010120868682861328,-0.027811884880065918
0,128,transformer.h.1.attn.c_proj.weight,"(384, 384)",structural_int4_k8,1.0177948655859097,0.9412874256130626,0.0,0.9711224333717213,0.9979547684980504,0.9988716206267613,-0.0005795955657958984,-0.03164362907409668
0,128,transformer.h.1.mlp.w1.weight,"(1024, 384)",structural_int4_k8,1.112556847602676,1.0287661542481525,0.943519113543702,0.9870851807011137,1.0361704433446695,1.0246905747354333,0.0020888447761535645,-0.0046249330043792725
0,128,transformer.h.1.mlp.w2.weight,"(1024, 384)",structural_int4_k8,1.1200291741093287,1.0611385866281402,0.9383622624532447,0.9891396498209046,1.0493079213698917,1.0359804808562243,0.0029460787773132324,-0.0039784908294677734
0,128,transformer.h.1.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,1.147402345666245,0.8896557743375727,0.8014372884732804,0.9081558631058105,0.9174197289087644,0.9037154025213712,-0.008811891078948975,-0.04871255159378052
0,128,transformer.h.2.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,1.026612495389707,0.9513624902347613,0.9414959912845444,0.9744262636325114,1.0041646170962235,1.012335333728838,0.0012030601501464844,-0.028705596923828125
0,128,transformer.h.2.attn.c_proj.weight,"(384, 384)",structural_int4_k8,1.0280819563044719,0.9619901909945492,0.0,0.9787990177340301,0.9880160227375315,0.9981683289114762,-0.00367128849029541,-0.02495896816253662
0,128,transformer.h.2.mlp.w1.weight,"(1024, 384)",structural_int4_k8,1.1307463144210277,1.0467068441973635,0.9815547241634252,1.0007929792591501,1.0582231141977445,1.0563645502708636,0.005114912986755371,0.0003708004951477051
0,128,transformer.h.2.mlp.w2.weight,"(1024, 384)",structural_int4_k8,1.1319474335066486,1.0532455171662236,0.9577771801534861,0.9918194465294247,1.0395169773935566,1.0382929343143585,0.003575742244720459,-0.0038895905017852783
0,128,transformer.h.2.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,1.151170279064224,0.8895974194883697,0.8480868229546116,0.9287656430652521,0.9424403113127559,0.9276979300756348,-0.006640076637268066,-0.03981208801269531
0,128,transformer.h.3.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,1.025040469776187,0.9609835479227617,0.9446297934449839,0.9751217509157571,0.9961875434644882,1.004062680825579,-0.0011162161827087402,-0.02767658233642578
0,128,transformer.h.3.attn.c_proj.weight,"(384, 384)",structural_int4_k8,1.0169963906520585,0.937923618122986,0.0,0.9674836327369953,0.9903475022958191,1.008230425202151,-0.0029746294021606445,-0.03798806667327881
0,128,transformer.h.3.mlp.w1.weight,"(1024, 384)",structural_int4_k8,1.1066961831737647,1.0242940303974017,0.9490995680978175,0.9854149399382751,1.0276589975751422,1.0268632214037887,0.00299757719039917,-0.0077228546142578125
0,128,transformer.h.3.mlp.w2.weight,"(1024, 384)",structural_int4_k8,1.1415482817326936,1.0421551868160273,0.9664832242964048,0.9935426916180055,1.0455972400655422,1.0485980434918063,0.005284488201141357,-0.0035576224327087402
0,128,transformer.h.3.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,1.1017173212491056,0.8804116586987436,0.8385986450098327,0.9233916582774722,0.9384609138789028,0.9306334741866095,-0.007047295570373535,-0.042527735233306885
0,128,transformer.h.4.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,1.0154904840485923,0.9227511654826496,0.9267916453483512,0.9617785944109661,0.9736566676564168,0.9838300851048153,-0.007435142993927002,-0.040161967277526855
0,128,transformer.h.4.attn.c_proj.weight,"(384, 384)",structural_int4_k8,1.0112371963478561,0.9113564681365507,0.0,0.952468132419533,0.9655624455065854,0.989658057959497,-0.010337412357330322,-0.053571105003356934
0,128,transformer.h.4.mlp.w1.weight,"(1024, 384)",structural_int4_k8,1.1156553599514751,1.0353392675455777,0.9623527881712719,0.9903920557197969,1.0480042862752668,1.0492534037048926,0.006018579006195068,-0.005581021308898926
0,128,transformer.h.4.mlp.w2.weight,"(1024, 384)",structural_int4_k8,1.1275708093833645,1.0391775593989532,0.9606784880866691,0.9894871144897159,1.0270333048201234,1.0313494099831098,0.0034754276275634766,-0.006172478199005127
0,128,transformer.h.4.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,1.1218537988696606,0.8871422304448844,0.8126171546719384,0.9128179151832351,0.9307094659726238,0.9225158314482775,-0.008569002151489258,-0.05066794157028198
0,128,transformer.h.5.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,1.0194586585179481,0.9345434860004785,0.9429930031114955,0.971405865770104,0.9886440081408792,0.9963842195602918,-0.0030134916305541992,-0.028300702571868896
0,128,transformer.h.5.attn.c_proj.weight,"(384, 384)",structural_int4_k8,1.016420925077594,0.9267509108513853,0.0,0.9631945616294031,0.9803585853789312,0.98717029612534,-0.005288302898406982,-0.03629720211029053
0,128,transformer.h.5.mlp.w1.weight,"(1024, 384)",structural_int4_k8,1.1009170932141785,1.0417913661261349,0.941837286294626,0.9816834512311026,1.0204541135893475,1.0271073838941558,0.002720355987548828,-0.01089102029800415
0,128,transformer.h.5.mlp.w2.weight,"(1024, 384)",structural_int4_k8,1.1051365052893982,1.0158497461111187,0.9608020397717448,0.987477980836923,1.0353532328640835,1.040229651984756,0.004749715328216553,-0.007530510425567627
0,128,transformer.h.5.mlp.c_proj.weight,"(384, 1024)",structural_int4_k8,1.1003477287222365,0.8484891928909465,0.7997485839062416,0.9026325398347066,0.9022336627086274,0.8922261967438451,-0.012281239032745361,-0.05669450759887695
0,512,transformer.h.0.attn.c_attn.weight,"(1152, 384)",structural_int4_k8,1.0309498887150907,0.9763620472192279,0.9525146295415704,0.9804006820845462,1.0062333093027844,1.0086793260183298,0.001404881477355957,-0.01728188991546631
