k,a1,a2,mean_geometry_loss,calibration_items,selected,calibration_seed,family,parameter,lambda_danger,lambda_local,danger_weighted_codebook_loss,selected_primary_lambda,selected_codebook,cosine
8,0.3333333333333333,0.6666666666666666,,,,0,,,4,4,0.037481281782190005,False,False,
8,0.2,0.6,,,,0,,,4,4,0.028598380864908297,False,False,
8,0.2,0.8,,,,0,,,4,4,0.04543938993786772,False,False,
8,0.35,0.75,,,,0,,,4,4,0.042720658890903,False,False,
8,0.1,0.55,,,,0,,,4,4,0.04493478468308846,False,False,
8,0.4,0.85,,,,0,,,4,4,0.05475334463020166,False,False,
8,0.3333333333333333,0.6666666666666666,,,,0,,,16,1,0.037481281782190005,False,False,
8,0.2,0.6,,,,0,,,16,1,0.028598380864908297,False,False,
8,0.2,0.8,,,,0,,,16,1,0.04543938993786772,False,False,
8,0.35,0.75,,,,0,,,16,1,0.042720658890903,False,False,
8,0.1,0.55,,,,0,,,16,1,0.04493478468308846,False,False,
8,0.4,0.85,,,,0,,,16,1,0.05475334463020166,False,False,
8,0.3333333333333333,0.6666666666666666,,,,0,,,16,4,0.037481281782190005,False,False,
8,0.2,0.6,,,,0,,,16,4,0.028598380864908297,False,False,
8,0.2,0.8,,,,0,,,16,4,0.04543938993786772,False,False,
8,0.35,0.75,,,,0,,,16,4,0.042720658890903,False,False,
8,0.1,0.55,,,,0,,,16,4,0.04493478468308846,False,False,
8,0.4,0.85,,,,0,,,16,4,0.05475334463020166,False,False,
4,,,,,False,0,mulaw,1,,,,,,0.6756625334421794
4,,,,,True,0,mulaw,5,,,,,,0.7023210724194845
4,,,,,False,0,mulaw,20,,,,,,0.6728657841682434
4,,,,,False,0,mulaw,100,,,,,,0.5922069569428762
4,,,,,False,0,mulaw,500,,,,,,0.5402850091457367
4,,,,,False,0,mulaw,2000,,,,,,0.5434652090072631
4,,,,,False,0,power,0.25,,,,,,0.5743622481822968
4,,,,,False,0,power,0.5,,,,,,0.6727073391278585
4,,,,,True,0,power,0.75,,,,,,0.6791169325510661
4,,,,,False,0,power,1.0,,,,,,0.6317636251449585
4,,,,,False,0,power,1.5,,,,,,0.4768451968828837
4,,,,,False,0,power,2.0,,,,,,0.36201310555140176
8,,,,,False,0,mulaw,1,,,,,,0.715421470006307
8,,,,,True,0,mulaw,5,,,,,,0.740190879503886
8,,,,,False,0,mulaw,20,,,,,,0.705427078406016
8,,,,,False,0,mulaw,100,,,,,,0.6241426765918732
8,,,,,False,0,mulaw,500,,,,,,0.5781516869862874
8,,,,,False,0,mulaw,2000,,,,,,0.5843944549560547
8,,,,,False,0,power,0.25,,,,,,0.6082526187102
8,,,,,False,0,power,0.5,,,,,,0.7101402759552002
8,,,,,True,0,power,0.75,,,,,,0.7175248463948568
8,,,,,False,0,power,1.0,,,,,,0.6719885110855103
8,,,,,False,0,power,1.5,,,,,,0.520889033873876
8,,,,,False,0,power,2.0,,,,,,0.4030721922715505
