k,a1,a2,calibration_mean_update_cosine,calibration_count,selected,seed,update,parameter_id,parameter_name,shape,quantizer,raw_residual_relative_l2,raw_residual_cosine,full_state_raw_relative_l2,full_state_raw_cosine,update_cosine,update_relative_l2,update_norm_ratio,exact_polar_cosine,exact_polar_relative_l2,residual_block_absmax_mean,residual_block_absmax_max,effective_condition_number,danger_zone_mode_count,active_mode_count,residual_relative_l2,residual_cosine,mae,median_ae,zero_fraction,small_005_mae,small_001_mae,middle_mae,large_mae,danger_diagonal_fraction_error,danger_cross_fraction_error,danger_associated_fraction_error,local_mixing_fraction_error,medium_mixing_fraction_error,distant_mixing_fraction_error,danger_diagonal_energy,danger_cross_energy,codebook_levels,calibrated_parameter,calibration_role
4,,,,,,0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",per_tensor_muon_codebook_oracle,0.32309064269065857,0.9484416246414185,0.1891617476940155,0.9821855425834656,0.5665340423583984,0.9529816508293152,1.0452134609222412,0.5403206944465637,0.9588327407836914,0.006592662073671818,0.008644099347293377,82621.1015625,143,384,0.32309064269065857,0.9484416246414185,0.0004562835965771228,0.0004058360354974866,0.3028971254825592,0.00016616020002402365,3.3590484235901386e-05,0.0005168981733731925,0.0004190170729998499,0.0011399781797081232,0.5932651162147522,0.5944050550460815,0.3677031099796295,0.4639779329299927,0.14950470626354218,5.263143975753337e-05,0.027390344068408012,"-1,-0.6666667,-0.3333333,0,0.3333333,0.6666667,1",,
8,,,,,,0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",muon_global_codebook,0.3212956488132477,0.9489083886146545,0.15599074959754944,0.987862229347229,0.6112217903137207,0.9027453660964966,1.0454310178756714,0.5834282636642456,0.9127686619758606,0.005404511000961065,0.0075425333343446255,82621.1015625,143,384,0.3212956488132477,0.9489083886146545,0.0003763419226743281,0.0003342026029713452,0.2965427041053772,0.00013620311801787466,2.713220783334691e-05,0.00042535405373200774,0.0003432460071053356,0.001058497466146946,0.5940911173820496,0.5951496362686157,0.368365079164505,0.4628598988056183,0.14871245622634888,3.323427517898381e-05,0.018653033301234245,"-1,-0.6,-0.2,0,0.2,0.6,1",,
8,,,,,,0,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",per_tensor_muon_codebook_oracle,0.3212956488132477,0.9489083886146545,0.15599074959754944,0.987862229347229,0.6112217903137207,0.9027453660964966,1.0454310178756714,0.5834282636642456,0.9127686619758606,0.005404511000961065,0.0075425333343446255,82621.1015625,143,384,0.3212956488132477,0.9489083886146545,0.0003763419226743281,0.0003342026029713452,0.2965427041053772,0.00013620311801787466,2.713220783334691e-05,0.00042535405373200774,0.0003432460071053356,0.001058497466146946,0.5940911173820496,0.5951496362686157,0.368365079164505,0.4628598988056183,0.14871245622634888,3.323427517898381e-05,0.018653033301234245,"-1,-0.6666667,-0.3333333,0,0.3333333,0.6666667,1",,
4,,,,,,0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",muon_global_codebook,0.35096821188926697,0.9392788410186768,0.2442050725221634,0.9703841805458069,0.8614563941955566,0.5310263633728027,1.0166573524475098,0.857393741607666,0.534065842628479,0.001476771547459066,0.003311352338641882,65.37999725341797,0,384,0.35096821188926697,0.9392788410186768,9.150939149549231e-05,7.993762847036123e-05,0.3884073793888092,3.888784704031423e-05,7.87284443504177e-06,0.00010576612112345174,8.94682525540702e-05,0.0,0.0,0.0,0.7631248831748962,0.18725532293319702,0.0022345425095409155,0.0,0.0,"-1,-0.6,-0.2,0,0.2,0.6,1",,
4,,,,,,0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",per_tensor_muon_codebook_oracle,0.35096821188926697,0.9392788410186768,0.2442050725221634,0.9703841805458069,0.8614563941955566,0.5310263633728027,1.0166573524475098,0.857393741607666,0.534065842628479,0.001476771547459066,0.003311352338641882,65.37999725341797,0,384,0.35096821188926697,0.9392788410186768,9.150939149549231e-05,7.993762847036123e-05,0.3884073793888092,3.888784704031423e-05,7.87284443504177e-06,0.00010576612112345174,8.94682525540702e-05,0.0,0.0,0.0,0.7631248831748962,0.18725532293319702,0.0022345425095409155,0.0,0.0,"-1,-0.6666667,-0.3333333,0,0.3333333,0.6666667,1",,
8,,,,,,0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",muon_global_codebook,0.34435930848121643,0.9413093328475952,0.21672683954238892,0.9766067266464233,0.8847527503967285,0.48318326473236084,1.0121954679489136,0.881046712398529,0.4877713620662689,0.0012943907640874386,0.0028932325076311827,65.37999725341797,0,384,0.34435930848121643,0.9413093328475952,8.164183964254335e-05,7.196784281404689e-05,0.3709564208984375,3.350625411258079e-05,6.795458830310963e-06,9.392591891810298e-05,7.892847497714683e-05,0.0,0.0,0.0,0.766425609588623,0.17881011962890625,0.0024694139137864113,0.0,0.0,"-1,-0.6,-0.2,0,0.2,0.6,1",,
8,,,,,,0,128,transformer.h.0.mlp.w1.weight,transformer.h.0.mlp.w1.weight,"(1024, 384)",per_tensor_muon_codebook_oracle,0.34435930848121643,0.9413093328475952,0.21672683954238892,0.9766067266464233,0.8847527503967285,0.48318326473236084,1.0121954679489136,0.881046712398529,0.4877713620662689,0.0012943907640874386,0.0028932325076311827,65.37999725341797,0,384,0.34435930848121643,0.9413093328475952,8.164183964254335e-05,7.196784281404689e-05,0.3709564208984375,3.350625411258079e-05,6.795458830310963e-06,9.392591891810298e-05,7.892847497714683e-05,0.0,0.0,0.0,0.766425609588623,0.17881011962890625,0.0024694139137864113,0.0,0.0,"-1,-0.6666667,-0.3333333,0,0.3333333,0.6666667,1",,
4,,,,,,0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"(1024, 384)",muon_global_codebook,0.34802529215812683,0.940309464931488,0.24696317315101624,0.9697077870368958,0.8597687482833862,0.5341001749038696,1.0161455869674683,0.854951024055481,0.5386155247688293,0.0014317674795165658,0.002989496337249875,63.810787200927734,0,384,0.34802529215812683,0.940309464931488,8.933721255743876e-05,7.81079288572073e-05,0.38343557715415955,3.7575704482151195e-05,7.565677606180543e-06,0.00010306201147614047,8.84491964825429e-05,0.0,0.0,0.0,0.7581780552864075,0.1940942406654358,0.001924198935739696,0.0,0.0,"-1,-0.6,-0.2,0,0.2,0.6,1",,
4,,,,,,0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"(1024, 384)",per_tensor_muon_codebook_oracle,0.34802529215812683,0.940309464931488,0.24696317315101624,0.9697077870368958,0.8597687482833862,0.5341001749038696,1.0161455869674683,0.854951024055481,0.5386155247688293,0.0014317674795165658,0.002989496337249875,63.810787200927734,0,384,0.34802529215812683,0.940309464931488,8.933721255743876e-05,7.81079288572073e-05,0.38343557715415955,3.7575704482151195e-05,7.565677606180543e-06,0.00010306201147614047,8.84491964825429e-05,0.0,0.0,0.0,0.7581780552864075,0.1940942406654358,0.001924198935739696,0.0,0.0,"-1,-0.6666667,-0.3333333,0,0.3333333,0.6666667,1",,
8,,,,,,0,128,transformer.h.0.mlp.w2.weight,transformer.h.0.mlp.w2.weight,"(1024, 384)",muon_global_codebook,0.3445506989955902,0.94132399559021,0.2191440761089325,0.9760818481445312,0.883730411529541,0.4853946268558502,1.0124897956848145,0.8793342113494873,0.4912663996219635,0.0012550681130960584,0.0024946858175098896,63.810787200927734,0,384,0.3445506989955902,0.94132399559021,7.968601858010516e-05,6.995568401180208e-05,0.3676401674747467,3.2710402592783794e-05,6.64615663481527e-06,9.156770829576999e-05,7.654621731489897e-05,0.0,0.0,0.0,0.7587066292762756,0.18931327760219574,0.0020780861377716064,0.0,0.0,"-1,-0.6,-0.2,0,0.2,0.6,1",,
