seed,update,parameter_id,parameter_name,shape,k,quantizer,raw_residual_relative_l2,raw_residual_cosine,full_state_raw_relative_l2,full_state_raw_cosine,update_cosine,update_relative_l2,update_norm_ratio,exact_polar_cosine,exact_polar_relative_l2,residual_block_absmax_mean,residual_block_absmax_max,effective_condition_number,danger_zone_mode_count,active_mode_count,residual_relative_l2,residual_cosine,mae,median_ae,zero_fraction,small_005_mae,small_001_mae,middle_mae,large_mae,danger_diagonal_fraction_error,danger_cross_fraction_error,danger_associated_fraction_error,local_mixing_fraction_error,medium_mixing_fraction_error,distant_mixing_fraction_error,danger_diagonal_energy,danger_cross_energy,calibration_split,evaluation_split
1,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",4,muon_global_codebook_fine,0.3037523031234741,0.9544185996055603,0.17774303257465363,0.9842613935470581,0.6114597320556641,0.8813843727111816,0.9996830821037292,0.6418285965919495,0.846373975276947,0.0008256714208982885,0.0035095750354230404,524.8071899414062,181,384,0.3037523031234741,0.9544185996055603,5.2411778597161174e-05,1.832752604968846e-05,0.36900046467781067,1.890969906526152e-05,3.776491212192923e-06,6.0384107200661674e-05,6.20011196588166e-05,0.001208243309520185,0.6348094344139099,0.6360176205635071,0.47875404357910156,0.45810025930404663,0.04206971079111099,3.121959480267833e-06,0.0016402732580900192,seed0,seed1
1,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",4,geometry_codebook_fine,0.3037523031234741,0.9544185996055603,0.17774303257465363,0.9842613935470581,0.6114597320556641,0.8813843727111816,0.9996830821037292,0.6418285965919495,0.846373975276947,0.0008256714208982885,0.0035095750354230404,524.8071899414062,181,384,0.3037523031234741,0.9544185996055603,5.2411778597161174e-05,1.832752604968846e-05,0.36900046467781067,1.890969906526152e-05,3.776491212192923e-06,6.0384107200661674e-05,6.20011196588166e-05,0.001208243309520185,0.6348094344139099,0.6360176205635071,0.47875404357910156,0.45810025930404663,0.04206971079111099,3.121959480267833e-06,0.0016402732580900192,seed0,seed1
1,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",4,danger_zone_codebook_fine,0.3037523031234741,0.9544185996055603,0.17774303257465363,0.9842613935470581,0.6114597320556641,0.8813843727111816,0.9996830821037292,0.6418285965919495,0.846373975276947,0.0008256714208982885,0.0035095750354230404,524.8071899414062,181,384,0.3037523031234741,0.9544185996055603,5.2411778597161174e-05,1.832752604968846e-05,0.36900046467781067,1.890969906526152e-05,3.776491212192923e-06,6.0384107200661674e-05,6.20011196588166e-05,0.001208243309520185,0.6348094344139099,0.6360176205635071,0.47875404357910156,0.45810025930404663,0.04206971079111099,3.121959480267833e-06,0.0016402732580900192,seed0,seed1
1,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",8,muon_global_codebook_fine,0.30582377314567566,0.9537718296051025,0.14984987676143646,0.9888128638267517,0.6550666093826294,0.8323835730552673,1.004306435585022,0.6873323917388916,0.7907841801643372,0.0007113204919733107,0.0025453793350607157,524.8071899414062,181,384,0.30582377314567566,0.9537718296051025,4.5072116336086765e-05,1.697562402114272e-05,0.36591029167175293,1.6460131519124843e-05,3.295542455816758e-06,5.199726001592353e-05,5.050012259744108e-05,0.0010910016717389226,0.6342872381210327,0.6353782415390015,0.4812481999397278,0.4537315368652344,0.04303320497274399,1.985794597203494e-06,0.001154502504505217,seed0,seed1
1,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",8,geometry_codebook_fine,0.30582377314567566,0.9537718296051025,0.14984987676143646,0.9888128638267517,0.6550666093826294,0.8323835730552673,1.004306435585022,0.6873323917388916,0.7907841801643372,0.0007113204919733107,0.0025453793350607157,524.8071899414062,181,384,0.30582377314567566,0.9537718296051025,4.5072116336086765e-05,1.697562402114272e-05,0.36591029167175293,1.6460131519124843e-05,3.295542455816758e-06,5.199726001592353e-05,5.050012259744108e-05,0.0010910016717389226,0.6342872381210327,0.6353782415390015,0.4812481999397278,0.4537315368652344,0.04303320497274399,1.985794597203494e-06,0.001154502504505217,seed0,seed1
1,128,transformer.h.0.attn.c_attn.weight,transformer.h.0.attn.c_attn.weight,"(1152, 384)",8,danger_zone_codebook_fine,0.30634987354278564,0.9547080397605896,0.1501099169254303,0.9888359308242798,0.652941107749939,0.8355813026428223,1.005820631980896,0.6864981651306152,0.7918399572372437,0.0007113204919733107,0.0025453793350607157,524.8071899414062,181,384,0.30634987354278564,0.9547080397605896,4.692000584327616e-05,1.852000059443526e-05,0.44297733902931213,1.6460131519124843e-05,3.295542455816758e-06,5.442746260087006e-05,5.050012259744108e-05,0.001079767826013267,0.6473340392112732,0.6484137773513794,0.4843440055847168,0.46377032995224,0.043759748339653015,1.9518065528245643e-06,0.0011701318435370922,seed0,seed1
1,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",4,muon_global_codebook_fine,0.3032362759113312,0.9546083211898804,0.1857713758945465,0.9828308820724487,0.5787774324417114,0.9404179453849792,1.0471429824829102,0.5517821907997131,0.9468035101890564,0.006621880456805229,0.008479959331452847,224914.9375,145,384,0.3032362759113312,0.9546083211898804,0.0004285629838705063,0.0003933357074856758,0.3074544370174408,0.00016639093519188464,3.336914232932031e-05,0.0004815903084818274,0.0004173762572463602,0.0010778714204207063,0.5987584590911865,0.5998363494873047,0.3676344156265259,0.4669681489467621,0.14965656399726868,4.2553641833364964e-05,0.023638583719730377,seed0,seed1
1,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",4,geometry_codebook_fine,0.3032362759113312,0.9546083211898804,0.1857713758945465,0.9828308820724487,0.5787774324417114,0.9404179453849792,1.0471429824829102,0.5517821907997131,0.9468035101890564,0.006621880456805229,0.008479959331452847,224914.9375,145,384,0.3032362759113312,0.9546083211898804,0.0004285629838705063,0.0003933357074856758,0.3074544370174408,0.00016639093519188464,3.336914232932031e-05,0.0004815903084818274,0.0004173762572463602,0.0010778714204207063,0.5987584590911865,0.5998363494873047,0.3676344156265259,0.4669681489467621,0.14965656399726868,4.2553641833364964e-05,0.023638583719730377,seed0,seed1
1,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",4,danger_zone_codebook_fine,0.3032362759113312,0.9546083211898804,0.1857713758945465,0.9828308820724487,0.5787774324417114,0.9404179453849792,1.0471429824829102,0.5517821907997131,0.9468035101890564,0.006621880456805229,0.008479959331452847,224914.9375,145,384,0.3032362759113312,0.9546083211898804,0.0004285629838705063,0.0003933357074856758,0.3074544370174408,0.00016639093519188464,3.336914232932031e-05,0.0004815903084818274,0.0004173762572463602,0.0010778714204207063,0.5987584590911865,0.5998363494873047,0.3676344156265259,0.4669681489467621,0.14965656399726868,4.2553641833364964e-05,0.023638583719730377,seed0,seed1
1,128,transformer.h.0.attn.c_proj.weight,transformer.h.0.attn.c_proj.weight,"(384, 384)",8,muon_global_codebook_fine,0.2949438691139221,0.9570688605308533,0.14984549582004547,0.9888357520103455,0.6333351731300354,0.8782577514648438,1.04860520362854,0.6041145920753479,0.889816403388977,0.005245257634669542,0.007178880739957094,224914.9375,145,384,0.2949438691139221,0.9570688605308533,0.0003452344099059701,0.00031607429264113307,0.2941690981388092,0.0001312545355176553,2.645819040481001e-05,0.000386679545044899,0.0003409988130442798,0.0009828003821894526,0.6046561598777771,0.6056389808654785,0.3655097186565399,0.47004973888397217,0.15031498670578003,2.5236509827664122e-05,0.01552646141499281,seed0,seed1
